artista,fecha,visitas,promedio,diferencia
Aitana,2019-01-23,1292,1360,23
Alaska y Dinarama,2019-01-23,201,203,0
Ana Belén,2019-01-23,278,461,-22
Anita Ward,2019-01-23,4,11,436
Astrud,2019-01-23,13,17,635
Barry Ryan,2019-01-23,11,10,210
Becky G,2019-01-23,5051,5290,-16
Boney M.,2019-01-23,541,662,-9
Buraka Som Sistema,2019-01-23,4,9,222
Camilo Sesto,2019-01-23,1052,1536,-43
Carlos Baute,2019-01-23,571,989,-70
Chayanne,2019-01-23,1152,1712,-29
Cher,2019-01-23,1015,1835,5
Culture Club,2019-01-23,163,178,30
Dani Martín,2019-01-23,594,526,-15
Depeche Mode,2019-01-23,589,661,2
Desireless,2019-01-23,52,53,100
Double You,2019-01-23,17,17,-17
Dúo Dinámico,2019-01-23,117,209,-8
Eddy Grant,2019-01-23,14,33,300
Elton John,2019-01-23,991,1464,-37
Enigma!,2019-01-23,9,7,28
Enrique Guzmán ,2019-01-23,3054,3303,-16
Estopa,2019-01-23,278,356,-24
Europe,2019-01-23,282,321,64
F. R. David,2019-01-23,52,47,157
Gilbert Bécaud,2019-01-23,14,34,82
Glenn Medeiros,2019-01-23,25,41,329
Guru Josh,2019-01-23,26,37,129
Imagination,2019-01-23,10,13,100
Innocence,2019-01-23,34,38,284
Julio Iglesias,2019-01-23,1740,2241,-30
Kaoma,2019-01-23,72,72,47
Karina,2019-01-23,261,564,-34
La Oreja de Van Gogh,2019-01-23,863,742,1
Les Surfs,2019-01-23,26,19,436
Lionel Richie,2019-01-23,267,356,-4
Lolita,2019-01-23,354,495,-47
Londonbeat,2019-01-23,23,23,69
Los Bravos,2019-01-23,93,253,-9
Los Diablos,2019-01-23,27,76,44
Los Payos,2019-01-23,17,26,580
Los Planetas,2019-01-23,99,124,36
Lou Bega,2019-01-23,48,77,38
Luis Aguilé,2019-01-23,97,124,107
Luis Fonsi,2019-01-23,6022,2251,-53
Manolo Otero,2019-01-23,103,145,227
Mecano,2019-01-23,579,618,-22
Miguel Ángel Muñoz,2019-01-23,402,589,-22
Mike Oldfield,2019-01-23,211,210,72
Natti Natasha,2019-01-23,1864,2131,-28
Nino Bravo,2019-01-23,652,1037,91
Pablo Abraira,2019-01-23,64,107,325
Patrick Hernández,2019-01-23,45,51,241
Pic-nic,2019-01-23,11,16,131
Pop-Tops,2019-01-23,34,23,152
Raphael,2019-01-23,607,2357,-68
Raúl,2019-01-23,56,129,96
Ricardo Cocciante,2019-01-23,1,1,100
Richard Anthony,2019-01-23,7,11,181
Roberto Carlos,2019-01-23,608,983,-26
Roxette,2019-01-23,301,355,74
Sandie Shaw,2019-01-23,16,19,415
Sandro Giacobbe,2019-01-23,19,18,661
Silver Convention,2019-01-23,32,19,31
The Communards,2019-01-23,48,54,129
Tom Jones,2019-01-23,538,393,2
Umberto Tozzi,2019-01-23,49,74,121
Violadores del Verso,2019-01-23,183,192,28
Víctor Manuel,2019-01-23,186,294,-9
Whigfield,2019-01-23,37,48,25
