"artista","fecha","visitas"
"Aitana","2019-01-23",1292
"Aitana","2019-01-24",1796
"Aitana","2019-01-25",1555
"Aitana","2019-01-26",1436
"Aitana","2019-01-27",2356
"Aitana","2019-01-28",2395
"Aitana","2019-01-29",1922
"Aitana","2019-01-30",1406
"Aitana","2019-01-31",1339
"Aitana","2019-02-01",1258
"Aitana","2019-02-02",1307
"Aitana","2019-02-03",1364
"Aitana","2019-02-04",1093
"Aitana","2019-02-05",1388
"Aitana","2019-02-06",1210
"Aitana","2019-02-07",1066
"Aitana","2019-02-08",1181
"Aitana","2019-02-09",1275
"Aitana","2019-02-10",1369
"Aitana","2019-02-11",1244
"Aitana","2019-02-12",1470
"Aitana","2019-02-13",1059
"Aitana","2019-02-14",970
"Aitana","2019-02-15",858
"Aitana","2019-02-16",1048
"Aitana","2019-02-17",1145
"Aitana","2019-02-18",1316
"Aitana","2019-02-19",1174
"Aitana","2019-02-20",1021
"Aitana","2019-02-21",934
"Aitana","2019-02-22",1092
"Aitana","2019-02-23",1171
"Aitana","2019-02-24",2115
"Aitana","2019-02-25",1749
"Aitana","2019-02-26",1260
"Aitana","2019-02-27",922
"Aitana","2019-02-28",883
"Aitana","2019-03-01",890
"Aitana","2019-03-02",846
"Aitana","2019-03-03",879
"Aitana","2019-03-04",1050
"Aitana","2019-03-05",957
"Aitana","2019-03-06",975
"Aitana","2019-03-07",960
"Aitana","2019-03-08",665
"Aitana","2019-03-09",799
"Aitana","2019-03-10",967
"Aitana","2019-03-11",963
"Aitana","2019-03-12",1106
"Aitana","2019-03-13",1002
"Aitana","2019-03-14",1378
"Aitana","2019-03-15",1122
"Aitana","2019-03-16",1334
"Aitana","2019-03-17",1078
"Aitana","2019-03-18",967
"Aitana","2019-03-19",921
"Aitana","2019-03-20",1223
"Aitana","2019-03-21",1082
"Aitana","2019-03-22",1098
"Aitana","2019-03-23",1030
"Aitana","2019-03-24",1118
"Aitana","2019-03-25",1043
"Aitana","2019-03-26",986
"Aitana","2019-03-27",1179
"Aitana","2019-03-28",1165
"Aitana","2019-03-29",1097
"Aitana","2019-03-30",1340
"Aitana","2019-03-31",1746
"Aitana","2019-04-01",1119
"Aitana","2019-04-02",935
"Aitana","2019-04-03",1069
"Aitana","2019-04-04",1054
"Aitana","2019-04-05",973
"Aitana","2019-04-06",1029
"Aitana","2019-04-07",1209
"Aitana","2019-04-08",1056
"Aitana","2019-04-09",1025
"Aitana","2019-04-10",1093
"Aitana","2019-04-11",1039
"Aitana","2019-04-12",1696
"Aitana","2019-04-13",1379
"Aitana","2019-04-14",1328
"Aitana","2019-04-15",13176
"Aitana","2019-04-16",2546
"Aitana","2019-04-17",1423
"Aitana","2019-04-18",1132
"Aitana","2019-04-19",1490
"Aitana","2019-04-20",1244
"Aitana","2019-04-21",2166
"Aitana","2019-04-22",2556
"Aitana","2019-04-23",1675
"Aitana","2019-04-24",1289
"Aitana","2019-04-25",1357
"Aitana","2019-04-26",1167
"Aitana","2019-04-27",1057
"Aitana","2019-04-28",1020
"Aitana","2019-04-29",968
"Aitana","2019-04-30",849
"Aitana","2019-05-01",979
"Aitana","2019-05-02",1076
"Aitana","2019-05-03",1133
"Aitana","2019-05-04",1116
"Aitana","2019-05-05",1320
"Aitana","2019-05-06",1019
"Aitana","2019-05-07",978
"Aitana","2019-05-08",981
"Aitana","2019-05-09",1055
"Aitana","2019-05-10",897
"Aitana","2019-05-11",1021
"Aitana","2019-05-12",1306
"Aitana","2019-05-13",1310
"Aitana","2019-05-14",1282
"Aitana","2019-05-15",1103
"Aitana","2019-05-16",1725
"Aitana","2019-05-17",2853
"Aitana","2019-05-18",2231
"Aitana","2019-05-19",2316
"Aitana","2019-05-20",1548
"Aitana","2019-05-21",1464
