"artista","fecha","visitas"
"Anita Ward","2019-01-23",4
"Anita Ward","2019-01-24",8
"Anita Ward","2019-01-25",19
"Anita Ward","2019-01-26",15
"Anita Ward","2019-01-27",6
"Anita Ward","2019-01-28",9
"Anita Ward","2019-01-29",15
"Anita Ward","2019-01-30",11
"Anita Ward","2019-01-31",9
"Anita Ward","2019-02-01",13
"Anita Ward","2019-02-02",8
"Anita Ward","2019-02-03",11
"Anita Ward","2019-02-04",10
"Anita Ward","2019-02-05",18
"Anita Ward","2019-02-06",13
"Anita Ward","2019-02-07",12
"Anita Ward","2019-02-08",12
"Anita Ward","2019-02-09",20
"Anita Ward","2019-02-10",15
"Anita Ward","2019-02-11",10
"Anita Ward","2019-02-12",17
"Anita Ward","2019-02-13",12
"Anita Ward","2019-02-14",14
"Anita Ward","2019-02-15",14
"Anita Ward","2019-02-16",19
"Anita Ward","2019-02-17",13
"Anita Ward","2019-02-18",18
"Anita Ward","2019-02-19",10
"Anita Ward","2019-02-20",17
"Anita Ward","2019-02-21",13
"Anita Ward","2019-02-22",6
"Anita Ward","2019-02-23",8
"Anita Ward","2019-02-24",7
"Anita Ward","2019-02-25",20
"Anita Ward","2019-02-26",12
"Anita Ward","2019-02-27",15
"Anita Ward","2019-02-28",11
"Anita Ward","2019-03-01",8
"Anita Ward","2019-03-02",9
"Anita Ward","2019-03-03",17
"Anita Ward","2019-03-04",16
"Anita Ward","2019-03-05",13
"Anita Ward","2019-03-06",9
"Anita Ward","2019-03-07",14
"Anita Ward","2019-03-08",13
"Anita Ward","2019-03-09",10
"Anita Ward","2019-03-10",13
"Anita Ward","2019-03-11",11
"Anita Ward","2019-03-12",10
"Anita Ward","2019-03-13",13
"Anita Ward","2019-03-14",13
"Anita Ward","2019-03-15",10
"Anita Ward","2019-03-16",16
"Anita Ward","2019-03-17",7
"Anita Ward","2019-03-18",12
"Anita Ward","2019-03-19",7
"Anita Ward","2019-03-20",10
"Anita Ward","2019-03-21",6
"Anita Ward","2019-03-22",9
"Anita Ward","2019-03-23",20
"Anita Ward","2019-03-24",10
"Anita Ward","2019-03-25",7
"Anita Ward","2019-03-26",11
"Anita Ward","2019-03-27",14
"Anita Ward","2019-03-28",15
"Anita Ward","2019-03-29",8
"Anita Ward","2019-03-30",7
"Anita Ward","2019-03-31",13
"Anita Ward","2019-04-01",15
"Anita Ward","2019-04-02",6
"Anita Ward","2019-04-03",10
"Anita Ward","2019-04-04",9
"Anita Ward","2019-04-05",10
"Anita Ward","2019-04-06",11
"Anita Ward","2019-04-07",16
"Anita Ward","2019-04-08",12
"Anita Ward","2019-04-09",12
"Anita Ward","2019-04-10",17
"Anita Ward","2019-04-11",13
"Anita Ward","2019-04-12",13
"Anita Ward","2019-04-13",12
"Anita Ward","2019-04-14",15
"Anita Ward","2019-04-15",12
"Anita Ward","2019-04-16",5
"Anita Ward","2019-04-17",14
"Anita Ward","2019-04-18",7
"Anita Ward","2019-04-19",6
"Anita Ward","2019-04-20",6
"Anita Ward","2019-04-21",12
"Anita Ward","2019-04-22",11
"Anita Ward","2019-04-23",59
"Anita Ward","2019-04-24",12
"Anita Ward","2019-04-25",7
"Anita Ward","2019-04-26",13
"Anita Ward","2019-04-27",16
"Anita Ward","2019-04-28",8
"Anita Ward","2019-04-29",12
"Anita Ward","2019-04-30",18
"Anita Ward","2019-05-01",17
"Anita Ward","2019-05-02",12
"Anita Ward","2019-05-03",14
"Anita Ward","2019-05-04",7
"Anita Ward","2019-05-05",13
"Anita Ward","2019-05-06",10
"Anita Ward","2019-05-07",10
"Anita Ward","2019-05-08",13
"Anita Ward","2019-05-09",7
"Anita Ward","2019-05-10",6
"Anita Ward","2019-05-11",16
"Anita Ward","2019-05-12",19
"Anita Ward","2019-05-13",10
"Anita Ward","2019-05-14",10
"Anita Ward","2019-05-15",6
"Anita Ward","2019-05-16",15
"Anita Ward","2019-05-17",12
"Anita Ward","2019-05-18",5
"Anita Ward","2019-05-19",11
"Anita Ward","2019-05-20",10
"Anita Ward","2019-05-21",13
