"artista","fecha","visitas"
"Astrud","2019-01-23",13
"Astrud","2019-01-24",16
"Astrud","2019-01-25",19
"Astrud","2019-01-26",13
"Astrud","2019-01-27",35
"Astrud","2019-01-28",13
"Astrud","2019-01-29",16
"Astrud","2019-01-30",25
"Astrud","2019-01-31",22
"Astrud","2019-02-01",22
"Astrud","2019-02-02",13
"Astrud","2019-02-03",10
"Astrud","2019-02-04",14
"Astrud","2019-02-05",18
"Astrud","2019-02-06",14
"Astrud","2019-02-07",18
"Astrud","2019-02-08",22
"Astrud","2019-02-09",20
"Astrud","2019-02-10",22
"Astrud","2019-02-11",25
"Astrud","2019-02-12",21
"Astrud","2019-02-13",25
"Astrud","2019-02-14",19
"Astrud","2019-02-15",22
"Astrud","2019-02-16",16
"Astrud","2019-02-17",13
"Astrud","2019-02-18",18
"Astrud","2019-02-19",10
"Astrud","2019-02-20",16
"Astrud","2019-02-21",14
"Astrud","2019-02-22",16
"Astrud","2019-02-23",18
"Astrud","2019-02-24",20
"Astrud","2019-02-25",24
"Astrud","2019-02-26",24
"Astrud","2019-02-27",16
"Astrud","2019-02-28",17
"Astrud","2019-03-01",19
"Astrud","2019-03-02",20
"Astrud","2019-03-03",23
"Astrud","2019-03-04",22
"Astrud","2019-03-05",10
"Astrud","2019-03-06",9
"Astrud","2019-03-07",14
"Astrud","2019-03-08",12
"Astrud","2019-03-09",11
"Astrud","2019-03-10",14
"Astrud","2019-03-11",15
"Astrud","2019-03-12",21
"Astrud","2019-03-13",18
"Astrud","2019-03-14",14
"Astrud","2019-03-15",20
"Astrud","2019-03-16",15
"Astrud","2019-03-17",17
"Astrud","2019-03-18",10
"Astrud","2019-03-19",14
"Astrud","2019-03-20",11
"Astrud","2019-03-21",16
"Astrud","2019-03-22",25
"Astrud","2019-03-23",18
"Astrud","2019-03-24",17
"Astrud","2019-03-25",12
"Astrud","2019-03-26",19
"Astrud","2019-03-27",24
"Astrud","2019-03-28",15
"Astrud","2019-03-29",12
"Astrud","2019-03-30",13
"Astrud","2019-03-31",18
"Astrud","2019-04-01",21
"Astrud","2019-04-02",7
"Astrud","2019-04-03",16
"Astrud","2019-04-04",16
"Astrud","2019-04-05",10
"Astrud","2019-04-06",16
"Astrud","2019-04-07",17
"Astrud","2019-04-08",20
"Astrud","2019-04-09",16
"Astrud","2019-04-10",21
"Astrud","2019-04-11",18
"Astrud","2019-04-12",12
"Astrud","2019-04-13",62
"Astrud","2019-04-14",12
"Astrud","2019-04-15",9
"Astrud","2019-04-16",15
"Astrud","2019-04-17",9
"Astrud","2019-04-18",18
"Astrud","2019-04-19",14
"Astrud","2019-04-20",11
"Astrud","2019-04-21",16
"Astrud","2019-04-22",11
"Astrud","2019-04-23",125
"Astrud","2019-04-24",40
"Astrud","2019-04-25",17
"Astrud","2019-04-26",22
"Astrud","2019-04-27",7
"Astrud","2019-04-28",13
"Astrud","2019-04-29",10
"Astrud","2019-04-30",20
"Astrud","2019-05-01",23
"Astrud","2019-05-02",29
"Astrud","2019-05-03",9
"Astrud","2019-05-04",15
"Astrud","2019-05-05",14
"Astrud","2019-05-06",18
"Astrud","2019-05-07",17
"Astrud","2019-05-08",17
"Astrud","2019-05-09",15
"Astrud","2019-05-10",9
"Astrud","2019-05-11",13
"Astrud","2019-05-12",22
"Astrud","2019-05-13",13
"Astrud","2019-05-14",22
"Astrud","2019-05-15",14
"Astrud","2019-05-16",15
"Astrud","2019-05-17",21
"Astrud","2019-05-18",10
"Astrud","2019-05-19",17
"Astrud","2019-05-20",14
"Astrud","2019-05-21",44
