"artista","fecha","visitas"
"Becky G","2019-01-23",5051
"Becky G","2019-01-24",4840
"Becky G","2019-01-25",4466
"Becky G","2019-01-26",4410
"Becky G","2019-01-27",4598
"Becky G","2019-01-28",3980
"Becky G","2019-01-29",3676
"Becky G","2019-01-30",3763
"Becky G","2019-01-31",3662
"Becky G","2019-02-01",3498
"Becky G","2019-02-02",4173
"Becky G","2019-02-03",4469
"Becky G","2019-02-04",3839
"Becky G","2019-02-05",3463
"Becky G","2019-02-06",3266
"Becky G","2019-02-07",3347
"Becky G","2019-02-08",3771
"Becky G","2019-02-09",4466
"Becky G","2019-02-10",4252
"Becky G","2019-02-11",4072
"Becky G","2019-02-12",4011
"Becky G","2019-02-13",3901
"Becky G","2019-02-14",4431
"Becky G","2019-02-15",3978
"Becky G","2019-02-16",4231
"Becky G","2019-02-17",4303
"Becky G","2019-02-18",4334
"Becky G","2019-02-19",4699
"Becky G","2019-02-20",4833
"Becky G","2019-02-21",5811
"Becky G","2019-02-22",7068
"Becky G","2019-02-23",10675
"Becky G","2019-02-24",15589
"Becky G","2019-02-25",11129
"Becky G","2019-02-26",6837
"Becky G","2019-02-27",14906
"Becky G","2019-02-28",9617
"Becky G","2019-03-01",13041
"Becky G","2019-03-02",90089
"Becky G","2019-03-03",17395
"Becky G","2019-03-04",10637
"Becky G","2019-03-05",6838
"Becky G","2019-03-06",5543
"Becky G","2019-03-07",4903
"Becky G","2019-03-08",4202
"Becky G","2019-03-09",4652
"Becky G","2019-03-10",4800
"Becky G","2019-03-11",3975
"Becky G","2019-03-12",3425
"Becky G","2019-03-13",3208
"Becky G","2019-03-14",3043
"Becky G","2019-03-15",3448
"Becky G","2019-03-16",3776
"Becky G","2019-03-17",4176
"Becky G","2019-03-18",3464
"Becky G","2019-03-19",3160
"Becky G","2019-03-20",3304
"Becky G","2019-03-21",3394
"Becky G","2019-03-22",3845
"Becky G","2019-03-23",3810
"Becky G","2019-03-24",6022
"Becky G","2019-03-25",4358
"Becky G","2019-03-26",3502
"Becky G","2019-03-27",3782
"Becky G","2019-03-28",3107
"Becky G","2019-03-29",2980
"Becky G","2019-03-30",3159
"Becky G","2019-03-31",3770
"Becky G","2019-04-01",3446
"Becky G","2019-04-02",3043
"Becky G","2019-04-03",2927
"Becky G","2019-04-04",3084
"Becky G","2019-04-05",3166
"Becky G","2019-04-06",3452
"Becky G","2019-04-07",3681
"Becky G","2019-04-08",3282
"Becky G","2019-04-09",2977
"Becky G","2019-04-10",3439
"Becky G","2019-04-11",3052
"Becky G","2019-04-12",3444
"Becky G","2019-04-13",3499
"Becky G","2019-04-14",3517
"Becky G","2019-04-15",3028
"Becky G","2019-04-16",2984
"Becky G","2019-04-17",2657
"Becky G","2019-04-18",2962
"Becky G","2019-04-19",4723
"Becky G","2019-04-20",5191
"Becky G","2019-04-21",4948
"Becky G","2019-04-22",4264
"Becky G","2019-04-23",4403
"Becky G","2019-04-24",4397
"Becky G","2019-04-25",4267
"Becky G","2019-04-26",6014
"Becky G","2019-04-27",5003
"Becky G","2019-04-28",5884
"Becky G","2019-04-29",4144
"Becky G","2019-04-30",3400
"Becky G","2019-05-01",4071
"Becky G","2019-05-02",6590
"Becky G","2019-05-03",4382
"Becky G","2019-05-04",4499
"Becky G","2019-05-05",4005
"Becky G","2019-05-06",3338
"Becky G","2019-05-07",3015
"Becky G","2019-05-08",2840
"Becky G","2019-05-09",2796
"Becky G","2019-05-10",2783
"Becky G","2019-05-11",3164
"Becky G","2019-05-12",3163
"Becky G","2019-05-13",3008
"Becky G","2019-05-14",3385
"Becky G","2019-05-15",3342
"Becky G","2019-05-16",3321
"Becky G","2019-05-17",3173
"Becky G","2019-05-18",3424
"Becky G","2019-05-19",3594
"Becky G","2019-05-20",3375
"Becky G","2019-05-21",2898
