"artista","fecha","visitas"
"Boney M.","2019-01-23",541
"Boney M.","2019-01-24",505
"Boney M.","2019-01-25",597
"Boney M.","2019-01-26",698
"Boney M.","2019-01-27",831
"Boney M.","2019-01-28",643
"Boney M.","2019-01-29",552
"Boney M.","2019-01-30",583
"Boney M.","2019-01-31",559
"Boney M.","2019-02-01",941
"Boney M.","2019-02-02",677
"Boney M.","2019-02-03",793
"Boney M.","2019-02-04",502
"Boney M.","2019-02-05",541
"Boney M.","2019-02-06",537
"Boney M.","2019-02-07",561
"Boney M.","2019-02-08",682
"Boney M.","2019-02-09",701
"Boney M.","2019-02-10",765
"Boney M.","2019-02-11",630
"Boney M.","2019-02-12",551
"Boney M.","2019-02-13",529
"Boney M.","2019-02-14",557
"Boney M.","2019-02-15",680
"Boney M.","2019-02-16",721
"Boney M.","2019-02-17",808
"Boney M.","2019-02-18",572
"Boney M.","2019-02-19",560
"Boney M.","2019-02-20",572
"Boney M.","2019-02-21",592
"Boney M.","2019-02-22",559
"Boney M.","2019-02-23",671
"Boney M.","2019-02-24",788
"Boney M.","2019-02-25",463
"Boney M.","2019-02-26",558
"Boney M.","2019-02-27",510
"Boney M.","2019-02-28",486
"Boney M.","2019-03-01",537
"Boney M.","2019-03-02",708
"Boney M.","2019-03-03",726
"Boney M.","2019-03-04",555
"Boney M.","2019-03-05",467
"Boney M.","2019-03-06",486
"Boney M.","2019-03-07",468
"Boney M.","2019-03-08",495
"Boney M.","2019-03-09",653
"Boney M.","2019-03-10",770
"Boney M.","2019-03-11",523
"Boney M.","2019-03-12",463
"Boney M.","2019-03-13",490
"Boney M.","2019-03-14",522
"Boney M.","2019-03-15",507
"Boney M.","2019-03-16",650
"Boney M.","2019-03-17",772
"Boney M.","2019-03-18",593
"Boney M.","2019-03-19",566
"Boney M.","2019-03-20",574
"Boney M.","2019-03-21",575
"Boney M.","2019-03-22",608
"Boney M.","2019-03-23",711
"Boney M.","2019-03-24",824
"Boney M.","2019-03-25",623
"Boney M.","2019-03-26",528
"Boney M.","2019-03-27",610
"Boney M.","2019-03-28",582
"Boney M.","2019-03-29",591
"Boney M.","2019-03-30",799
"Boney M.","2019-03-31",770
"Boney M.","2019-04-01",547
"Boney M.","2019-04-02",518
"Boney M.","2019-04-03",503
"Boney M.","2019-04-04",518
"Boney M.","2019-04-05",514
"Boney M.","2019-04-06",756
"Boney M.","2019-04-07",762
"Boney M.","2019-04-08",556
"Boney M.","2019-04-09",530
"Boney M.","2019-04-10",590
"Boney M.","2019-04-11",692
"Boney M.","2019-04-12",717
"Boney M.","2019-04-13",823
"Boney M.","2019-04-14",866
"Boney M.","2019-04-15",593
"Boney M.","2019-04-16",532
"Boney M.","2019-04-17",562
"Boney M.","2019-04-18",597
"Boney M.","2019-04-19",708
"Boney M.","2019-04-20",734
"Boney M.","2019-04-21",763
"Boney M.","2019-04-22",593
"Boney M.","2019-04-23",599
"Boney M.","2019-04-24",560
"Boney M.","2019-04-25",492
"Boney M.","2019-04-26",574
"Boney M.","2019-04-27",689
"Boney M.","2019-04-28",657
"Boney M.","2019-04-29",502
"Boney M.","2019-04-30",530
"Boney M.","2019-05-01",644
"Boney M.","2019-05-02",519
"Boney M.","2019-05-03",559
"Boney M.","2019-05-04",679
"Boney M.","2019-05-05",662
"Boney M.","2019-05-06",550
"Boney M.","2019-05-07",461
"Boney M.","2019-05-08",2340
"Boney M.","2019-05-09",964
"Boney M.","2019-05-10",752
"Boney M.","2019-05-11",895
"Boney M.","2019-05-12",1206
"Boney M.","2019-05-13",1367
"Boney M.","2019-05-14",934
"Boney M.","2019-05-15",878
"Boney M.","2019-05-16",796
"Boney M.","2019-05-17",816
"Boney M.","2019-05-18",1021
"Boney M.","2019-05-19",1071
"Boney M.","2019-05-20",661
"Boney M.","2019-05-21",645
