"artista","fecha","visitas"
"Camilo Sesto","2019-01-23",1052
"Camilo Sesto","2019-01-24",872
"Camilo Sesto","2019-01-25",947
"Camilo Sesto","2019-01-26",1105
"Camilo Sesto","2019-01-27",1215
"Camilo Sesto","2019-01-28",923
"Camilo Sesto","2019-01-29",800
"Camilo Sesto","2019-01-30",752
"Camilo Sesto","2019-01-31",940
"Camilo Sesto","2019-02-01",1170
"Camilo Sesto","2019-02-02",1149
"Camilo Sesto","2019-02-03",1397
"Camilo Sesto","2019-02-04",1474
"Camilo Sesto","2019-02-05",3988
"Camilo Sesto","2019-02-06",1214
"Camilo Sesto","2019-02-07",1044
"Camilo Sesto","2019-02-08",1127
"Camilo Sesto","2019-02-09",3288
"Camilo Sesto","2019-02-10",5281
"Camilo Sesto","2019-02-11",1235
"Camilo Sesto","2019-02-12",1068
"Camilo Sesto","2019-02-13",1225
"Camilo Sesto","2019-02-14",1163
"Camilo Sesto","2019-02-15",1361
"Camilo Sesto","2019-02-16",1685
"Camilo Sesto","2019-02-17",2036
"Camilo Sesto","2019-02-18",1096
"Camilo Sesto","2019-02-19",1006
"Camilo Sesto","2019-02-20",1039
"Camilo Sesto","2019-02-21",1005
"Camilo Sesto","2019-02-22",1239
"Camilo Sesto","2019-02-23",1197
"Camilo Sesto","2019-02-24",1242
"Camilo Sesto","2019-02-25",1022
"Camilo Sesto","2019-02-26",3197
"Camilo Sesto","2019-02-27",991
"Camilo Sesto","2019-02-28",967
"Camilo Sesto","2019-03-01",876
"Camilo Sesto","2019-03-02",1082
"Camilo Sesto","2019-03-03",1387
"Camilo Sesto","2019-03-04",1022
"Camilo Sesto","2019-03-05",973
"Camilo Sesto","2019-03-06",806
"Camilo Sesto","2019-03-07",808
"Camilo Sesto","2019-03-08",797
"Camilo Sesto","2019-03-09",962
"Camilo Sesto","2019-03-10",1155
"Camilo Sesto","2019-03-11",859
"Camilo Sesto","2019-03-12",857
"Camilo Sesto","2019-03-13",872
"Camilo Sesto","2019-03-14",832
"Camilo Sesto","2019-03-15",1392
"Camilo Sesto","2019-03-16",1207
"Camilo Sesto","2019-03-17",1439
"Camilo Sesto","2019-03-18",877
"Camilo Sesto","2019-03-19",791
"Camilo Sesto","2019-03-20",829
"Camilo Sesto","2019-03-21",925
"Camilo Sesto","2019-03-22",2251
"Camilo Sesto","2019-03-23",1442
"Camilo Sesto","2019-03-24",1867
"Camilo Sesto","2019-03-25",1325
"Camilo Sesto","2019-03-26",914
"Camilo Sesto","2019-03-27",895
"Camilo Sesto","2019-03-28",838
"Camilo Sesto","2019-03-29",854
"Camilo Sesto","2019-03-30",1065
"Camilo Sesto","2019-03-31",1165
"Camilo Sesto","2019-04-01",927
"Camilo Sesto","2019-04-02",755
"Camilo Sesto","2019-04-03",771
"Camilo Sesto","2019-04-04",835
"Camilo Sesto","2019-04-05",989
"Camilo Sesto","2019-04-06",1054
"Camilo Sesto","2019-04-07",1483
"Camilo Sesto","2019-04-08",841
"Camilo Sesto","2019-04-09",808
"Camilo Sesto","2019-04-10",865
"Camilo Sesto","2019-04-11",778
"Camilo Sesto","2019-04-12",9585
"Camilo Sesto","2019-04-13",1119
"Camilo Sesto","2019-04-14",1241
"Camilo Sesto","2019-04-15",847
"Camilo Sesto","2019-04-16",758
"Camilo Sesto","2019-04-17",815
"Camilo Sesto","2019-04-18",1170
"Camilo Sesto","2019-04-19",1191
"Camilo Sesto","2019-04-20",1227
"Camilo Sesto","2019-04-21",1287
"Camilo Sesto","2019-04-22",887
"Camilo Sesto","2019-04-23",871
"Camilo Sesto","2019-04-24",847
"Camilo Sesto","2019-04-25",813
"Camilo Sesto","2019-04-26",828
"Camilo Sesto","2019-04-27",854
"Camilo Sesto","2019-04-28",967
"Camilo Sesto","2019-04-29",755
"Camilo Sesto","2019-04-30",686
"Camilo Sesto","2019-05-01",791
"Camilo Sesto","2019-05-02",715
"Camilo Sesto","2019-05-03",826
"Camilo Sesto","2019-05-04",932
"Camilo Sesto","2019-05-05",28438
"Camilo Sesto","2019-05-06",4068
"Camilo Sesto","2019-05-07",1720
"Camilo Sesto","2019-05-08",2079
"Camilo Sesto","2019-05-09",2154
"Camilo Sesto","2019-05-10",1550
"Camilo Sesto","2019-05-11",1538
"Camilo Sesto","2019-05-12",1503
"Camilo Sesto","2019-05-13",1102
"Camilo Sesto","2019-05-14",947
"Camilo Sesto","2019-05-15",1202
"Camilo Sesto","2019-05-16",1059
"Camilo Sesto","2019-05-17",3134
"Camilo Sesto","2019-05-18",1665
"Camilo Sesto","2019-05-19",1356
"Camilo Sesto","2019-05-20",818
"Camilo Sesto","2019-05-21",870
