"artista","fecha","visitas"
"Carlos Baute","2019-01-23",571
"Carlos Baute","2019-01-24",1716
"Carlos Baute","2019-01-25",3012
"Carlos Baute","2019-01-26",1643
"Carlos Baute","2019-01-27",1502
"Carlos Baute","2019-01-28",1042
"Carlos Baute","2019-01-29",934
"Carlos Baute","2019-01-30",1095
"Carlos Baute","2019-01-31",1268
"Carlos Baute","2019-02-01",2762
"Carlos Baute","2019-02-02",3134
"Carlos Baute","2019-02-03",2379
"Carlos Baute","2019-02-04",1564
"Carlos Baute","2019-02-05",1206
"Carlos Baute","2019-02-06",1357
"Carlos Baute","2019-02-07",1056
"Carlos Baute","2019-02-08",4293
"Carlos Baute","2019-02-09",1974
"Carlos Baute","2019-02-10",1157
"Carlos Baute","2019-02-11",2423
"Carlos Baute","2019-02-12",1174
"Carlos Baute","2019-02-13",824
"Carlos Baute","2019-02-14",1119
"Carlos Baute","2019-02-15",785
"Carlos Baute","2019-02-16",2019
"Carlos Baute","2019-02-17",2217
"Carlos Baute","2019-02-18",725
"Carlos Baute","2019-02-19",650
"Carlos Baute","2019-02-20",579
"Carlos Baute","2019-02-21",627
"Carlos Baute","2019-02-22",14853
"Carlos Baute","2019-02-23",5376
"Carlos Baute","2019-02-24",2000
"Carlos Baute","2019-02-25",957
"Carlos Baute","2019-02-26",746
"Carlos Baute","2019-02-27",641
"Carlos Baute","2019-02-28",1230
"Carlos Baute","2019-03-01",1263
"Carlos Baute","2019-03-02",459
"Carlos Baute","2019-03-03",815
"Carlos Baute","2019-03-04",648
"Carlos Baute","2019-03-05",431
"Carlos Baute","2019-03-06",409
"Carlos Baute","2019-03-07",420
"Carlos Baute","2019-03-08",701
"Carlos Baute","2019-03-09",678
"Carlos Baute","2019-03-10",498
"Carlos Baute","2019-03-11",356
"Carlos Baute","2019-03-12",331
"Carlos Baute","2019-03-13",326
"Carlos Baute","2019-03-14",819
"Carlos Baute","2019-03-15",2797
"Carlos Baute","2019-03-16",1032
"Carlos Baute","2019-03-17",639
"Carlos Baute","2019-03-18",374
"Carlos Baute","2019-03-19",390
"Carlos Baute","2019-03-20",346
"Carlos Baute","2019-03-21",285
"Carlos Baute","2019-03-22",381
"Carlos Baute","2019-03-23",878
"Carlos Baute","2019-03-24",590
"Carlos Baute","2019-03-25",335
"Carlos Baute","2019-03-26",269
"Carlos Baute","2019-03-27",261
"Carlos Baute","2019-03-28",269
"Carlos Baute","2019-03-29",339
"Carlos Baute","2019-03-30",333
"Carlos Baute","2019-03-31",348
"Carlos Baute","2019-04-01",340
"Carlos Baute","2019-04-02",269
"Carlos Baute","2019-04-03",257
"Carlos Baute","2019-04-04",394
"Carlos Baute","2019-04-05",1618
"Carlos Baute","2019-04-06",1600
"Carlos Baute","2019-04-07",4340
"Carlos Baute","2019-04-08",1170
"Carlos Baute","2019-04-09",462
"Carlos Baute","2019-04-10",415
"Carlos Baute","2019-04-11",358
"Carlos Baute","2019-04-12",526
"Carlos Baute","2019-04-13",325
"Carlos Baute","2019-04-14",532
"Carlos Baute","2019-04-15",336
"Carlos Baute","2019-04-16",329
"Carlos Baute","2019-04-17",346
"Carlos Baute","2019-04-18",329
"Carlos Baute","2019-04-19",360
"Carlos Baute","2019-04-20",379
"Carlos Baute","2019-04-21",462
"Carlos Baute","2019-04-22",294
"Carlos Baute","2019-04-23",291
"Carlos Baute","2019-04-24",313
"Carlos Baute","2019-04-25",358
"Carlos Baute","2019-04-26",303
"Carlos Baute","2019-04-27",478
"Carlos Baute","2019-04-28",428
"Carlos Baute","2019-04-29",1023
"Carlos Baute","2019-04-30",357
"Carlos Baute","2019-05-01",381
"Carlos Baute","2019-05-02",284
"Carlos Baute","2019-05-03",329
"Carlos Baute","2019-05-04",365
"Carlos Baute","2019-05-05",626
"Carlos Baute","2019-05-06",353
"Carlos Baute","2019-05-07",267
"Carlos Baute","2019-05-08",275
"Carlos Baute","2019-05-09",282
"Carlos Baute","2019-05-10",286
"Carlos Baute","2019-05-11",270
"Carlos Baute","2019-05-12",303
"Carlos Baute","2019-05-13",262
"Carlos Baute","2019-05-14",307
"Carlos Baute","2019-05-15",263
"Carlos Baute","2019-05-16",297
"Carlos Baute","2019-05-17",409
"Carlos Baute","2019-05-18",439
"Carlos Baute","2019-05-19",378
"Carlos Baute","2019-05-20",290
"Carlos Baute","2019-05-21",769
