"artista","fecha","visitas"
"Desireless","2019-01-23",52
"Desireless","2019-01-24",53
"Desireless","2019-01-25",73
"Desireless","2019-01-26",58
"Desireless","2019-01-27",56
"Desireless","2019-01-28",49
"Desireless","2019-01-29",65
"Desireless","2019-01-30",43
"Desireless","2019-01-31",42
"Desireless","2019-02-01",42
"Desireless","2019-02-02",68
"Desireless","2019-02-03",42
"Desireless","2019-02-04",47
"Desireless","2019-02-05",67
"Desireless","2019-02-06",42
"Desireless","2019-02-07",98
"Desireless","2019-02-08",71
"Desireless","2019-02-09",79
"Desireless","2019-02-10",62
"Desireless","2019-02-11",55
"Desireless","2019-02-12",63
"Desireless","2019-02-13",51
"Desireless","2019-02-14",50
"Desireless","2019-02-15",48
"Desireless","2019-02-16",41
"Desireless","2019-02-17",53
"Desireless","2019-02-18",57
"Desireless","2019-02-19",56
"Desireless","2019-02-20",47
"Desireless","2019-02-21",52
"Desireless","2019-02-22",43
"Desireless","2019-02-23",49
"Desireless","2019-02-24",54
"Desireless","2019-02-25",38
"Desireless","2019-02-26",52
"Desireless","2019-02-27",37
"Desireless","2019-02-28",40
"Desireless","2019-03-01",34
"Desireless","2019-03-02",54
"Desireless","2019-03-03",48
"Desireless","2019-03-04",56
"Desireless","2019-03-05",50
"Desireless","2019-03-06",54
"Desireless","2019-03-07",43
"Desireless","2019-03-08",70
"Desireless","2019-03-09",47
"Desireless","2019-03-10",61
"Desireless","2019-03-11",62
"Desireless","2019-03-12",61
"Desireless","2019-03-13",75
"Desireless","2019-03-14",56
"Desireless","2019-03-15",46
"Desireless","2019-03-16",62
"Desireless","2019-03-17",69
"Desireless","2019-03-18",51
"Desireless","2019-03-19",59
"Desireless","2019-03-20",47
"Desireless","2019-03-21",59
"Desireless","2019-03-22",54
"Desireless","2019-03-23",67
"Desireless","2019-03-24",75
"Desireless","2019-03-25",74
"Desireless","2019-03-26",47
"Desireless","2019-03-27",40
"Desireless","2019-03-28",45
"Desireless","2019-03-29",52
"Desireless","2019-03-30",60
"Desireless","2019-03-31",57
"Desireless","2019-04-01",43
"Desireless","2019-04-02",60
"Desireless","2019-04-03",65
"Desireless","2019-04-04",41
"Desireless","2019-04-05",50
"Desireless","2019-04-06",73
"Desireless","2019-04-07",49
"Desireless","2019-04-08",45
"Desireless","2019-04-09",44
"Desireless","2019-04-10",48
"Desireless","2019-04-11",52
"Desireless","2019-04-12",63
"Desireless","2019-04-13",39
"Desireless","2019-04-14",49
"Desireless","2019-04-15",44
"Desireless","2019-04-16",29
"Desireless","2019-04-17",43
"Desireless","2019-04-18",37
"Desireless","2019-04-19",52
"Desireless","2019-04-20",69
"Desireless","2019-04-21",49
"Desireless","2019-04-22",43
"Desireless","2019-04-23",106
"Desireless","2019-04-24",57
"Desireless","2019-04-25",37
"Desireless","2019-04-26",45
"Desireless","2019-04-27",58
"Desireless","2019-04-28",66
"Desireless","2019-04-29",35
"Desireless","2019-04-30",64
"Desireless","2019-05-01",50
"Desireless","2019-05-02",49
"Desireless","2019-05-03",52
"Desireless","2019-05-04",64
"Desireless","2019-05-05",63
"Desireless","2019-05-06",51
"Desireless","2019-05-07",70
"Desireless","2019-05-08",61
"Desireless","2019-05-09",43
"Desireless","2019-05-10",51
"Desireless","2019-05-11",58
"Desireless","2019-05-12",57
"Desireless","2019-05-13",40
"Desireless","2019-05-14",50
"Desireless","2019-05-15",37
"Desireless","2019-05-16",47
"Desireless","2019-05-17",67
"Desireless","2019-05-18",44
"Desireless","2019-05-19",48
"Desireless","2019-05-20",59
"Desireless","2019-05-21",44
