"artista","fecha","visitas"
"Double You","2019-01-23",17
"Double You","2019-01-24",20
"Double You","2019-01-25",13
"Double You","2019-01-26",15
"Double You","2019-01-27",14
"Double You","2019-01-28",12
"Double You","2019-01-29",11
"Double You","2019-01-30",16
"Double You","2019-01-31",16
"Double You","2019-02-01",14
"Double You","2019-02-02",18
"Double You","2019-02-03",15
"Double You","2019-02-04",10
"Double You","2019-02-05",20
"Double You","2019-02-06",12
"Double You","2019-02-07",21
"Double You","2019-02-08",25
"Double You","2019-02-09",31
"Double You","2019-02-10",18
"Double You","2019-02-11",26
"Double You","2019-02-12",15
"Double You","2019-02-13",15
"Double You","2019-02-14",16
"Double You","2019-02-15",33
"Double You","2019-02-16",38
"Double You","2019-02-17",105
"Double You","2019-02-18",43
"Double You","2019-02-19",25
"Double You","2019-02-20",20
"Double You","2019-02-21",19
"Double You","2019-02-22",14
"Double You","2019-02-23",26
"Double You","2019-02-24",20
"Double You","2019-02-25",13
"Double You","2019-02-26",12
"Double You","2019-02-27",16
"Double You","2019-02-28",14
"Double You","2019-03-01",15
"Double You","2019-03-02",19
"Double You","2019-03-03",17
"Double You","2019-03-04",23
"Double You","2019-03-05",15
"Double You","2019-03-06",12
"Double You","2019-03-07",11
"Double You","2019-03-08",16
"Double You","2019-03-09",11
"Double You","2019-03-10",20
"Double You","2019-03-11",11
"Double You","2019-03-12",14
"Double You","2019-03-13",18
"Double You","2019-03-14",14
"Double You","2019-03-15",11
"Double You","2019-03-16",11
"Double You","2019-03-17",14
"Double You","2019-03-18",15
"Double You","2019-03-19",17
"Double You","2019-03-20",13
"Double You","2019-03-21",16
"Double You","2019-03-22",9
"Double You","2019-03-23",17
"Double You","2019-03-24",18
"Double You","2019-03-25",21
"Double You","2019-03-26",21
"Double You","2019-03-27",15
"Double You","2019-03-28",7
"Double You","2019-03-29",14
"Double You","2019-03-30",8
"Double You","2019-03-31",15
"Double You","2019-04-01",12
"Double You","2019-04-02",15
"Double You","2019-04-03",11
"Double You","2019-04-04",9
"Double You","2019-04-05",15
"Double You","2019-04-06",9
"Double You","2019-04-07",15
"Double You","2019-04-08",15
"Double You","2019-04-09",13
"Double You","2019-04-10",13
"Double You","2019-04-11",12
"Double You","2019-04-12",17
"Double You","2019-04-13",21
"Double You","2019-04-14",22
"Double You","2019-04-15",4
"Double You","2019-04-16",14
"Double You","2019-04-17",16
"Double You","2019-04-18",18
"Double You","2019-04-19",18
"Double You","2019-04-20",15
"Double You","2019-04-21",11
"Double You","2019-04-22",11
"Double You","2019-04-23",14
"Double You","2019-04-24",16
"Double You","2019-04-25",21
"Double You","2019-04-26",11
"Double You","2019-04-27",21
"Double You","2019-04-28",18
"Double You","2019-04-29",19
"Double You","2019-04-30",51
"Double You","2019-05-01",20
"Double You","2019-05-02",16
"Double You","2019-05-03",21
"Double You","2019-05-04",15
"Double You","2019-05-05",21
"Double You","2019-05-06",18
"Double You","2019-05-07",14
"Double You","2019-05-08",15
"Double You","2019-05-09",18
"Double You","2019-05-10",22
"Double You","2019-05-11",59
"Double You","2019-05-12",54
"Double You","2019-05-13",16
"Double You","2019-05-14",12
"Double You","2019-05-15",14
"Double You","2019-05-16",5
"Double You","2019-05-17",19
"Double You","2019-05-18",15
"Double You","2019-05-19",14
"Double You","2019-05-20",8
"Double You","2019-05-21",8
