"artista","fecha","visitas"
"Eddy Grant","2019-01-23",14
"Eddy Grant","2019-01-24",24
"Eddy Grant","2019-01-25",42
"Eddy Grant","2019-01-26",37
"Eddy Grant","2019-01-27",38
"Eddy Grant","2019-01-28",31
"Eddy Grant","2019-01-29",33
"Eddy Grant","2019-01-30",25
"Eddy Grant","2019-01-31",20
"Eddy Grant","2019-02-01",24
"Eddy Grant","2019-02-02",42
"Eddy Grant","2019-02-03",39
"Eddy Grant","2019-02-04",22
"Eddy Grant","2019-02-05",37
"Eddy Grant","2019-02-06",24
"Eddy Grant","2019-02-07",28
"Eddy Grant","2019-02-08",44
"Eddy Grant","2019-02-09",22
"Eddy Grant","2019-02-10",33
"Eddy Grant","2019-02-11",23
"Eddy Grant","2019-02-12",30
"Eddy Grant","2019-02-13",42
"Eddy Grant","2019-02-14",33
"Eddy Grant","2019-02-15",39
"Eddy Grant","2019-02-16",26
"Eddy Grant","2019-02-17",35
"Eddy Grant","2019-02-18",24
"Eddy Grant","2019-02-19",25
"Eddy Grant","2019-02-20",29
"Eddy Grant","2019-02-21",21
"Eddy Grant","2019-02-22",16
"Eddy Grant","2019-02-23",49
"Eddy Grant","2019-02-24",36
"Eddy Grant","2019-02-25",34
"Eddy Grant","2019-02-26",27
"Eddy Grant","2019-02-27",29
"Eddy Grant","2019-02-28",27
"Eddy Grant","2019-03-01",23
"Eddy Grant","2019-03-02",35
"Eddy Grant","2019-03-03",32
"Eddy Grant","2019-03-04",53
"Eddy Grant","2019-03-05",228
"Eddy Grant","2019-03-06",43
"Eddy Grant","2019-03-07",29
"Eddy Grant","2019-03-08",27
"Eddy Grant","2019-03-09",29
"Eddy Grant","2019-03-10",36
"Eddy Grant","2019-03-11",25
"Eddy Grant","2019-03-12",32
"Eddy Grant","2019-03-13",32
"Eddy Grant","2019-03-14",22
"Eddy Grant","2019-03-15",32
"Eddy Grant","2019-03-16",31
"Eddy Grant","2019-03-17",32
"Eddy Grant","2019-03-18",32
"Eddy Grant","2019-03-19",46
"Eddy Grant","2019-03-20",30
"Eddy Grant","2019-03-21",30
"Eddy Grant","2019-03-22",32
"Eddy Grant","2019-03-23",32
"Eddy Grant","2019-03-24",32
"Eddy Grant","2019-03-25",28
"Eddy Grant","2019-03-26",20
"Eddy Grant","2019-03-27",32
"Eddy Grant","2019-03-28",26
"Eddy Grant","2019-03-29",26
"Eddy Grant","2019-03-30",33
"Eddy Grant","2019-03-31",49
"Eddy Grant","2019-04-01",35
"Eddy Grant","2019-04-02",31
"Eddy Grant","2019-04-03",22
"Eddy Grant","2019-04-04",28
"Eddy Grant","2019-04-05",36
"Eddy Grant","2019-04-06",39
"Eddy Grant","2019-04-07",30
"Eddy Grant","2019-04-08",30
"Eddy Grant","2019-04-09",21
"Eddy Grant","2019-04-10",29
"Eddy Grant","2019-04-11",23
"Eddy Grant","2019-04-12",23
"Eddy Grant","2019-04-13",34
"Eddy Grant","2019-04-14",36
"Eddy Grant","2019-04-15",18
"Eddy Grant","2019-04-16",23
"Eddy Grant","2019-04-17",23
"Eddy Grant","2019-04-18",35
"Eddy Grant","2019-04-19",52
"Eddy Grant","2019-04-20",42
"Eddy Grant","2019-04-21",51
"Eddy Grant","2019-04-22",28
"Eddy Grant","2019-04-23",132
"Eddy Grant","2019-04-24",47
"Eddy Grant","2019-04-25",31
"Eddy Grant","2019-04-26",47
"Eddy Grant","2019-04-27",42
"Eddy Grant","2019-04-28",36
"Eddy Grant","2019-04-29",23
"Eddy Grant","2019-04-30",73
"Eddy Grant","2019-05-01",29
"Eddy Grant","2019-05-02",27
"Eddy Grant","2019-05-03",31
"Eddy Grant","2019-05-04",37
"Eddy Grant","2019-05-05",34
"Eddy Grant","2019-05-06",29
"Eddy Grant","2019-05-07",32
"Eddy Grant","2019-05-08",25
"Eddy Grant","2019-05-09",37
"Eddy Grant","2019-05-10",32
"Eddy Grant","2019-05-11",27
"Eddy Grant","2019-05-12",48
"Eddy Grant","2019-05-13",41
"Eddy Grant","2019-05-14",26
"Eddy Grant","2019-05-15",27
"Eddy Grant","2019-05-16",29
"Eddy Grant","2019-05-17",30
"Eddy Grant","2019-05-18",30
"Eddy Grant","2019-05-19",29
"Eddy Grant","2019-05-20",40
"Eddy Grant","2019-05-21",58
