"artista","fecha","visitas"
"Guru Josh","2019-01-23",26
"Guru Josh","2019-01-24",34
"Guru Josh","2019-01-25",41
"Guru Josh","2019-01-26",45
"Guru Josh","2019-01-27",38
"Guru Josh","2019-01-28",27
"Guru Josh","2019-01-29",43
"Guru Josh","2019-01-30",25
"Guru Josh","2019-01-31",29
"Guru Josh","2019-02-01",30
"Guru Josh","2019-02-02",50
"Guru Josh","2019-02-03",19
"Guru Josh","2019-02-04",22
"Guru Josh","2019-02-05",23
"Guru Josh","2019-02-06",28
"Guru Josh","2019-02-07",34
"Guru Josh","2019-02-08",32
"Guru Josh","2019-02-09",29
"Guru Josh","2019-02-10",39
"Guru Josh","2019-02-11",29
"Guru Josh","2019-02-12",27
"Guru Josh","2019-02-13",38
"Guru Josh","2019-02-14",33
"Guru Josh","2019-02-15",23
"Guru Josh","2019-02-16",25
"Guru Josh","2019-02-17",24
"Guru Josh","2019-02-18",27
"Guru Josh","2019-02-19",30
"Guru Josh","2019-02-20",30
"Guru Josh","2019-02-21",25
"Guru Josh","2019-02-22",25
"Guru Josh","2019-02-23",27
"Guru Josh","2019-02-24",27
"Guru Josh","2019-02-25",22
"Guru Josh","2019-02-26",24
"Guru Josh","2019-02-27",25
"Guru Josh","2019-02-28",22
"Guru Josh","2019-03-01",32
"Guru Josh","2019-03-02",29
"Guru Josh","2019-03-03",23
"Guru Josh","2019-03-04",39
"Guru Josh","2019-03-05",27
"Guru Josh","2019-03-06",24
"Guru Josh","2019-03-07",26
"Guru Josh","2019-03-08",11
"Guru Josh","2019-03-09",23
"Guru Josh","2019-03-10",33
"Guru Josh","2019-03-11",21
"Guru Josh","2019-03-12",16
"Guru Josh","2019-03-13",14
"Guru Josh","2019-03-14",28
"Guru Josh","2019-03-15",19
"Guru Josh","2019-03-16",29
"Guru Josh","2019-03-17",728
"Guru Josh","2019-03-18",32
"Guru Josh","2019-03-19",34
"Guru Josh","2019-03-20",36
"Guru Josh","2019-03-21",22
"Guru Josh","2019-03-22",27
"Guru Josh","2019-03-23",22
"Guru Josh","2019-03-24",12
"Guru Josh","2019-03-25",25
"Guru Josh","2019-03-26",29
"Guru Josh","2019-03-27",25
"Guru Josh","2019-03-28",32
"Guru Josh","2019-03-29",34
"Guru Josh","2019-03-30",18
"Guru Josh","2019-03-31",23
"Guru Josh","2019-04-01",29
"Guru Josh","2019-04-02",27
"Guru Josh","2019-04-03",20
"Guru Josh","2019-04-04",25
"Guru Josh","2019-04-05",24
"Guru Josh","2019-04-06",42
"Guru Josh","2019-04-07",44
"Guru Josh","2019-04-08",32
"Guru Josh","2019-04-09",22
"Guru Josh","2019-04-10",24
"Guru Josh","2019-04-11",35
"Guru Josh","2019-04-12",31
"Guru Josh","2019-04-13",41
"Guru Josh","2019-04-14",27
"Guru Josh","2019-04-15",22
"Guru Josh","2019-04-16",17
"Guru Josh","2019-04-17",22
"Guru Josh","2019-04-18",25
"Guru Josh","2019-04-19",25
"Guru Josh","2019-04-20",29
"Guru Josh","2019-04-21",33
"Guru Josh","2019-04-22",39
"Guru Josh","2019-04-23",85
"Guru Josh","2019-04-24",37
"Guru Josh","2019-04-25",34
"Guru Josh","2019-04-26",27
"Guru Josh","2019-04-27",26
"Guru Josh","2019-04-28",51
"Guru Josh","2019-04-29",35
"Guru Josh","2019-04-30",292
"Guru Josh","2019-05-01",62
"Guru Josh","2019-05-02",70
"Guru Josh","2019-05-03",45
"Guru Josh","2019-05-04",42
"Guru Josh","2019-05-05",35
"Guru Josh","2019-05-06",25
"Guru Josh","2019-05-07",27
"Guru Josh","2019-05-08",42
"Guru Josh","2019-05-09",60
"Guru Josh","2019-05-10",23
"Guru Josh","2019-05-11",25
"Guru Josh","2019-05-12",39
"Guru Josh","2019-05-13",20
"Guru Josh","2019-05-14",17
"Guru Josh","2019-05-15",31
"Guru Josh","2019-05-16",31
"Guru Josh","2019-05-17",40
"Guru Josh","2019-05-18",38
"Guru Josh","2019-05-19",28
"Guru Josh","2019-05-20",27
"Guru Josh","2019-05-21",27
