"artista","fecha","visitas"
"Julio Iglesias","2019-01-23",1740
"Julio Iglesias","2019-01-24",1675
"Julio Iglesias","2019-01-25",1446
"Julio Iglesias","2019-01-26",1630
"Julio Iglesias","2019-01-27",2324
"Julio Iglesias","2019-01-28",3299
"Julio Iglesias","2019-01-29",2009
"Julio Iglesias","2019-01-30",1404
"Julio Iglesias","2019-01-31",1477
"Julio Iglesias","2019-02-01",1375
"Julio Iglesias","2019-02-02",1656
"Julio Iglesias","2019-02-03",2303
"Julio Iglesias","2019-02-04",1460
"Julio Iglesias","2019-02-05",1192
"Julio Iglesias","2019-02-06",1143
"Julio Iglesias","2019-02-07",1464
"Julio Iglesias","2019-02-08",2197
"Julio Iglesias","2019-02-09",3039
"Julio Iglesias","2019-02-10",5682
"Julio Iglesias","2019-02-11",6710
"Julio Iglesias","2019-02-12",2390
"Julio Iglesias","2019-02-13",2197
"Julio Iglesias","2019-02-14",1664
"Julio Iglesias","2019-02-15",1786
"Julio Iglesias","2019-02-16",3028
"Julio Iglesias","2019-02-17",2642
"Julio Iglesias","2019-02-18",1959
"Julio Iglesias","2019-02-19",2269
"Julio Iglesias","2019-02-20",2082
"Julio Iglesias","2019-02-21",2582
"Julio Iglesias","2019-02-22",5702
"Julio Iglesias","2019-02-23",3929
"Julio Iglesias","2019-02-24",5975
"Julio Iglesias","2019-02-25",1812
"Julio Iglesias","2019-02-26",4068
"Julio Iglesias","2019-02-27",1942
"Julio Iglesias","2019-02-28",1887
"Julio Iglesias","2019-03-01",1697
"Julio Iglesias","2019-03-02",1911
"Julio Iglesias","2019-03-03",2034
"Julio Iglesias","2019-03-04",1490
"Julio Iglesias","2019-03-05",1424
"Julio Iglesias","2019-03-06",1313
"Julio Iglesias","2019-03-07",3382
"Julio Iglesias","2019-03-08",2394
"Julio Iglesias","2019-03-09",1958
"Julio Iglesias","2019-03-10",2126
"Julio Iglesias","2019-03-11",1622
"Julio Iglesias","2019-03-12",1647
"Julio Iglesias","2019-03-13",1615
"Julio Iglesias","2019-03-14",1606
"Julio Iglesias","2019-03-15",2056
"Julio Iglesias","2019-03-16",2167
"Julio Iglesias","2019-03-17",3110
"Julio Iglesias","2019-03-18",1920
"Julio Iglesias","2019-03-19",2464
"Julio Iglesias","2019-03-20",1750
"Julio Iglesias","2019-03-21",2051
"Julio Iglesias","2019-03-22",3456
"Julio Iglesias","2019-03-23",2911
"Julio Iglesias","2019-03-24",3141
"Julio Iglesias","2019-03-25",2019
"Julio Iglesias","2019-03-26",1647
"Julio Iglesias","2019-03-27",2155
"Julio Iglesias","2019-03-28",2549
"Julio Iglesias","2019-03-29",2058
"Julio Iglesias","2019-03-30",2390
"Julio Iglesias","2019-03-31",2104
"Julio Iglesias","2019-04-01",2428
"Julio Iglesias","2019-04-02",1687
"Julio Iglesias","2019-04-03",1666
"Julio Iglesias","2019-04-04",3218
"Julio Iglesias","2019-04-05",5102
"Julio Iglesias","2019-04-06",2932
"Julio Iglesias","2019-04-07",3466
"Julio Iglesias","2019-04-08",1727
"Julio Iglesias","2019-04-09",1730
"Julio Iglesias","2019-04-10",1699
"Julio Iglesias","2019-04-11",3404
"Julio Iglesias","2019-04-12",1516
"Julio Iglesias","2019-04-13",1801
"Julio Iglesias","2019-04-14",1753
"Julio Iglesias","2019-04-15",1282
"Julio Iglesias","2019-04-16",1304
"Julio Iglesias","2019-04-17",1255
"Julio Iglesias","2019-04-18",1610
"Julio Iglesias","2019-04-19",2995
"Julio Iglesias","2019-04-20",2079
"Julio Iglesias","2019-04-21",1962
"Julio Iglesias","2019-04-22",2136
"Julio Iglesias","2019-04-23",1561
"Julio Iglesias","2019-04-24",1162
"Julio Iglesias","2019-04-25",1339
"Julio Iglesias","2019-04-26",3262
"Julio Iglesias","2019-04-27",1704
"Julio Iglesias","2019-04-28",1493
"Julio Iglesias","2019-04-29",1144
"Julio Iglesias","2019-04-30",1646
"Julio Iglesias","2019-05-01",3416
"Julio Iglesias","2019-05-02",2144
"Julio Iglesias","2019-05-03",2367
"Julio Iglesias","2019-05-04",3083
"Julio Iglesias","2019-05-05",2397
"Julio Iglesias","2019-05-06",1549
"Julio Iglesias","2019-05-07",2599
"Julio Iglesias","2019-05-08",2211
"Julio Iglesias","2019-05-09",1636
"Julio Iglesias","2019-05-10",1875
"Julio Iglesias","2019-05-11",1835
"Julio Iglesias","2019-05-12",2294
"Julio Iglesias","2019-05-13",1798
"Julio Iglesias","2019-05-14",1593
"Julio Iglesias","2019-05-15",1418
"Julio Iglesias","2019-05-16",1331
"Julio Iglesias","2019-05-17",1411
"Julio Iglesias","2019-05-18",2607
"Julio Iglesias","2019-05-19",3285
"Julio Iglesias","2019-05-20",1884
"Julio Iglesias","2019-05-21",1909
