"artista","fecha","visitas"
"Karina","2019-01-23",261
"Karina","2019-01-24",254
"Karina","2019-01-25",209
"Karina","2019-01-26",161
"Karina","2019-01-27",209
"Karina","2019-01-28",175
"Karina","2019-01-29",148
"Karina","2019-01-30",190
"Karina","2019-01-31",222
"Karina","2019-02-01",222
"Karina","2019-02-02",162
"Karina","2019-02-03",205
"Karina","2019-02-04",153
"Karina","2019-02-05",216
"Karina","2019-02-06",161
"Karina","2019-02-07",240
"Karina","2019-02-08",241
"Karina","2019-02-09",234
"Karina","2019-02-10",220
"Karina","2019-02-11",173
"Karina","2019-02-12",281
"Karina","2019-02-13",325
"Karina","2019-02-14",871
"Karina","2019-02-15",275
"Karina","2019-02-16",220
"Karina","2019-02-17",248
"Karina","2019-02-18",231
"Karina","2019-02-19",1623
"Karina","2019-02-20",304
"Karina","2019-02-21",338
"Karina","2019-02-22",10705
"Karina","2019-02-23",1485
"Karina","2019-02-24",620
"Karina","2019-02-25",477
"Karina","2019-02-26",275
"Karina","2019-02-27",204
"Karina","2019-02-28",214
"Karina","2019-03-01",251
"Karina","2019-03-02",183
"Karina","2019-03-03",304
"Karina","2019-03-04",281
"Karina","2019-03-05",196
"Karina","2019-03-06",156
"Karina","2019-03-07",177
"Karina","2019-03-08",237
"Karina","2019-03-09",219
"Karina","2019-03-10",797
"Karina","2019-03-11",228
"Karina","2019-03-12",398
"Karina","2019-03-13",258
"Karina","2019-03-14",243
"Karina","2019-03-15",191
"Karina","2019-03-16",3463
"Karina","2019-03-17",500
"Karina","2019-03-18",224
"Karina","2019-03-19",221
"Karina","2019-03-20",777
"Karina","2019-03-21",352
"Karina","2019-03-22",578
"Karina","2019-03-23",269
"Karina","2019-03-24",233
"Karina","2019-03-25",249
"Karina","2019-03-26",156
"Karina","2019-03-27",152
"Karina","2019-03-28",191
"Karina","2019-03-29",332
"Karina","2019-03-30",222
"Karina","2019-03-31",1402
"Karina","2019-04-01",248
"Karina","2019-04-02",220
"Karina","2019-04-03",241
"Karina","2019-04-04",1764
"Karina","2019-04-05",8068
"Karina","2019-04-06",1104
"Karina","2019-04-07",1891
"Karina","2019-04-08",502
"Karina","2019-04-09",1277
"Karina","2019-04-10",1836
"Karina","2019-04-11",539
"Karina","2019-04-12",282
"Karina","2019-04-13",312
"Karina","2019-04-14",243
"Karina","2019-04-15",154
"Karina","2019-04-16",127
"Karina","2019-04-17",123
"Karina","2019-04-18",149
"Karina","2019-04-19",129
"Karina","2019-04-20",1714
"Karina","2019-04-21",2729
"Karina","2019-04-22",669
"Karina","2019-04-23",370
"Karina","2019-04-24",192
"Karina","2019-04-25",150
"Karina","2019-04-26",173
"Karina","2019-04-27",146
"Karina","2019-04-28",164
"Karina","2019-04-29",127
"Karina","2019-04-30",105
"Karina","2019-05-01",129
"Karina","2019-05-02",130
"Karina","2019-05-03",117
"Karina","2019-05-04",356
"Karina","2019-05-05",398
"Karina","2019-05-06",116
"Karina","2019-05-07",204
"Karina","2019-05-08",129
"Karina","2019-05-09",132
"Karina","2019-05-10",149
"Karina","2019-05-11",159
"Karina","2019-05-12",135
"Karina","2019-05-13",174
"Karina","2019-05-14",231
"Karina","2019-05-15",152
"Karina","2019-05-16",169
"Karina","2019-05-17",559
"Karina","2019-05-18",746
"Karina","2019-05-19",483
"Karina","2019-05-20",198
"Karina","2019-05-21",146
