"artista","fecha","visitas"
"Les Surfs","2019-01-23",26
"Les Surfs","2019-01-24",18
"Les Surfs","2019-01-25",11
"Les Surfs","2019-01-26",14
"Les Surfs","2019-01-27",28
"Les Surfs","2019-01-28",21
"Les Surfs","2019-01-29",16
"Les Surfs","2019-01-30",29
"Les Surfs","2019-01-31",21
"Les Surfs","2019-02-01",13
"Les Surfs","2019-02-02",11
"Les Surfs","2019-02-03",22
"Les Surfs","2019-02-04",18
"Les Surfs","2019-02-05",12
"Les Surfs","2019-02-06",12
"Les Surfs","2019-02-07",13
"Les Surfs","2019-02-08",19
"Les Surfs","2019-02-09",16
"Les Surfs","2019-02-10",22
"Les Surfs","2019-02-11",16
"Les Surfs","2019-02-12",13
"Les Surfs","2019-02-13",14
"Les Surfs","2019-02-14",9
"Les Surfs","2019-02-15",8
"Les Surfs","2019-02-16",18
"Les Surfs","2019-02-17",18
"Les Surfs","2019-02-18",11
"Les Surfs","2019-02-19",19
"Les Surfs","2019-02-20",14
"Les Surfs","2019-02-21",17
"Les Surfs","2019-02-22",12
"Les Surfs","2019-02-23",14
"Les Surfs","2019-02-24",15
"Les Surfs","2019-02-25",12
"Les Surfs","2019-02-26",9
"Les Surfs","2019-02-27",15
"Les Surfs","2019-02-28",19
"Les Surfs","2019-03-01",23
"Les Surfs","2019-03-02",37
"Les Surfs","2019-03-03",30
"Les Surfs","2019-03-04",17
"Les Surfs","2019-03-05",18
"Les Surfs","2019-03-06",20
"Les Surfs","2019-03-07",19
"Les Surfs","2019-03-08",19
"Les Surfs","2019-03-09",17
"Les Surfs","2019-03-10",30
"Les Surfs","2019-03-11",8
"Les Surfs","2019-03-12",17
"Les Surfs","2019-03-13",13
"Les Surfs","2019-03-14",14
"Les Surfs","2019-03-15",27
"Les Surfs","2019-03-16",21
"Les Surfs","2019-03-17",15
"Les Surfs","2019-03-18",15
"Les Surfs","2019-03-19",15
"Les Surfs","2019-03-20",13
"Les Surfs","2019-03-21",15
"Les Surfs","2019-03-22",42
"Les Surfs","2019-03-23",19
"Les Surfs","2019-03-24",13
"Les Surfs","2019-03-25",17
"Les Surfs","2019-03-26",25
"Les Surfs","2019-03-27",25
"Les Surfs","2019-03-28",13
"Les Surfs","2019-03-29",17
"Les Surfs","2019-03-30",20
"Les Surfs","2019-03-31",23
"Les Surfs","2019-04-01",9
"Les Surfs","2019-04-02",19
"Les Surfs","2019-04-03",20
"Les Surfs","2019-04-04",20
"Les Surfs","2019-04-05",17
"Les Surfs","2019-04-06",22
"Les Surfs","2019-04-07",10
"Les Surfs","2019-04-08",18
"Les Surfs","2019-04-09",23
"Les Surfs","2019-04-10",12
"Les Surfs","2019-04-11",17
"Les Surfs","2019-04-12",29
"Les Surfs","2019-04-13",21
"Les Surfs","2019-04-14",20
"Les Surfs","2019-04-15",14
"Les Surfs","2019-04-16",13
"Les Surfs","2019-04-17",15
"Les Surfs","2019-04-18",19
"Les Surfs","2019-04-19",19
"Les Surfs","2019-04-20",23
"Les Surfs","2019-04-21",16
"Les Surfs","2019-04-22",90
"Les Surfs","2019-04-23",102
"Les Surfs","2019-04-24",39
"Les Surfs","2019-04-25",29
"Les Surfs","2019-04-26",19
"Les Surfs","2019-04-27",20
"Les Surfs","2019-04-28",62
"Les Surfs","2019-04-29",21
"Les Surfs","2019-04-30",14
"Les Surfs","2019-05-01",21
"Les Surfs","2019-05-02",14
"Les Surfs","2019-05-03",14
"Les Surfs","2019-05-04",29
"Les Surfs","2019-05-05",35
"Les Surfs","2019-05-06",21
"Les Surfs","2019-05-07",24
"Les Surfs","2019-05-08",21
"Les Surfs","2019-05-09",13
"Les Surfs","2019-05-10",16
"Les Surfs","2019-05-11",27
"Les Surfs","2019-05-12",26
"Les Surfs","2019-05-13",22
"Les Surfs","2019-05-14",15
"Les Surfs","2019-05-15",16
"Les Surfs","2019-05-16",19
"Les Surfs","2019-05-17",18
"Les Surfs","2019-05-18",25
"Les Surfs","2019-05-19",20
"Les Surfs","2019-05-20",21
"Les Surfs","2019-05-21",22
