"artista","fecha","visitas"
"Los Diablos","2019-01-23",27
"Los Diablos","2019-01-24",18
"Los Diablos","2019-01-25",37
"Los Diablos","2019-01-26",32
"Los Diablos","2019-01-27",34
"Los Diablos","2019-01-28",31
"Los Diablos","2019-01-29",30
"Los Diablos","2019-01-30",36
"Los Diablos","2019-01-31",36
"Los Diablos","2019-02-01",28
"Los Diablos","2019-02-02",53
"Los Diablos","2019-02-03",36
"Los Diablos","2019-02-04",30
"Los Diablos","2019-02-05",59
"Los Diablos","2019-02-06",35
"Los Diablos","2019-02-07",32
"Los Diablos","2019-02-08",41
"Los Diablos","2019-02-09",34
"Los Diablos","2019-02-10",45
"Los Diablos","2019-02-11",29
"Los Diablos","2019-02-12",28
"Los Diablos","2019-02-13",34
"Los Diablos","2019-02-14",31
"Los Diablos","2019-02-15",33
"Los Diablos","2019-02-16",38
"Los Diablos","2019-02-17",35
"Los Diablos","2019-02-18",42
"Los Diablos","2019-02-19",29
"Los Diablos","2019-02-20",27
"Los Diablos","2019-02-21",24
"Los Diablos","2019-02-22",73
"Los Diablos","2019-02-23",56
"Los Diablos","2019-02-24",43
"Los Diablos","2019-02-25",34
"Los Diablos","2019-02-26",36
"Los Diablos","2019-02-27",32
"Los Diablos","2019-02-28",22
"Los Diablos","2019-03-01",29
"Los Diablos","2019-03-02",38
"Los Diablos","2019-03-03",38
"Los Diablos","2019-03-04",38
"Los Diablos","2019-03-05",43
"Los Diablos","2019-03-06",27
"Los Diablos","2019-03-07",59
"Los Diablos","2019-03-08",29
"Los Diablos","2019-03-09",37
"Los Diablos","2019-03-10",67
"Los Diablos","2019-03-11",34
"Los Diablos","2019-03-12",47
"Los Diablos","2019-03-13",35
"Los Diablos","2019-03-14",45
"Los Diablos","2019-03-15",27
"Los Diablos","2019-03-16",32
"Los Diablos","2019-03-17",57
"Los Diablos","2019-03-18",38
"Los Diablos","2019-03-19",30
"Los Diablos","2019-03-20",38
"Los Diablos","2019-03-21",40
"Los Diablos","2019-03-22",89
"Los Diablos","2019-03-23",43
"Los Diablos","2019-03-24",50
"Los Diablos","2019-03-25",56
"Los Diablos","2019-03-26",24
"Los Diablos","2019-03-27",41
"Los Diablos","2019-03-28",30
"Los Diablos","2019-03-29",36
"Los Diablos","2019-03-30",36
"Los Diablos","2019-03-31",52
"Los Diablos","2019-04-01",41
"Los Diablos","2019-04-02",25
"Los Diablos","2019-04-03",302
"Los Diablos","2019-04-04",37
"Los Diablos","2019-04-05",40
"Los Diablos","2019-04-06",64
"Los Diablos","2019-04-07",17
"Los Diablos","2019-04-08",11
"Los Diablos","2019-04-09",38
"Los Diablos","2019-04-10",34
"Los Diablos","2019-04-11",46
"Los Diablos","2019-04-12",44
"Los Diablos","2019-04-13",59
"Los Diablos","2019-04-14",38
"Los Diablos","2019-04-15",28
"Los Diablos","2019-04-16",24
"Los Diablos","2019-04-17",37
"Los Diablos","2019-04-18",41
"Los Diablos","2019-04-19",41
"Los Diablos","2019-04-20",32
"Los Diablos","2019-04-21",50
"Los Diablos","2019-04-22",34
"Los Diablos","2019-04-23",110
"Los Diablos","2019-04-24",50
"Los Diablos","2019-04-25",40
"Los Diablos","2019-04-26",42
"Los Diablos","2019-04-27",41
"Los Diablos","2019-04-28",60
"Los Diablos","2019-04-29",38
"Los Diablos","2019-04-30",59
"Los Diablos","2019-05-01",40
"Los Diablos","2019-05-02",37
"Los Diablos","2019-05-03",65
"Los Diablos","2019-05-04",33
"Los Diablos","2019-05-05",71
"Los Diablos","2019-05-06",3767
"Los Diablos","2019-05-07",90
"Los Diablos","2019-05-08",56
"Los Diablos","2019-05-09",46
"Los Diablos","2019-05-10",66
"Los Diablos","2019-05-11",62
"Los Diablos","2019-05-12",39
"Los Diablos","2019-05-13",201
"Los Diablos","2019-05-14",46
"Los Diablos","2019-05-15",27
"Los Diablos","2019-05-16",55
"Los Diablos","2019-05-17",36
"Los Diablos","2019-05-18",99
"Los Diablos","2019-05-19",128
"Los Diablos","2019-05-20",33
"Los Diablos","2019-05-21",43
