"artista","fecha","visitas"
"Los Payos","2019-01-23",17
"Los Payos","2019-01-24",16
"Los Payos","2019-01-25",26
"Los Payos","2019-01-26",20
"Los Payos","2019-01-27",37
"Los Payos","2019-01-28",31
"Los Payos","2019-01-29",14
"Los Payos","2019-01-30",22
"Los Payos","2019-01-31",21
"Los Payos","2019-02-01",17
"Los Payos","2019-02-02",33
"Los Payos","2019-02-03",27
"Los Payos","2019-02-04",19
"Los Payos","2019-02-05",41
"Los Payos","2019-02-06",21
"Los Payos","2019-02-07",26
"Los Payos","2019-02-08",15
"Los Payos","2019-02-09",35
"Los Payos","2019-02-10",40
"Los Payos","2019-02-11",28
"Los Payos","2019-02-12",16
"Los Payos","2019-02-13",24
"Los Payos","2019-02-14",12
"Los Payos","2019-02-15",24
"Los Payos","2019-02-16",25
"Los Payos","2019-02-17",35
"Los Payos","2019-02-18",30
"Los Payos","2019-02-19",23
"Los Payos","2019-02-20",18
"Los Payos","2019-02-21",25
"Los Payos","2019-02-22",41
"Los Payos","2019-02-23",14
"Los Payos","2019-02-24",30
"Los Payos","2019-02-25",17
"Los Payos","2019-02-26",28
"Los Payos","2019-02-27",26
"Los Payos","2019-02-28",16
"Los Payos","2019-03-01",20
"Los Payos","2019-03-02",15
"Los Payos","2019-03-03",18
"Los Payos","2019-03-04",36
"Los Payos","2019-03-05",30
"Los Payos","2019-03-06",12
"Los Payos","2019-03-07",21
"Los Payos","2019-03-08",31
"Los Payos","2019-03-09",32
"Los Payos","2019-03-10",29
"Los Payos","2019-03-11",27
"Los Payos","2019-03-12",24
"Los Payos","2019-03-13",20
"Los Payos","2019-03-14",26
"Los Payos","2019-03-15",19
"Los Payos","2019-03-16",19
"Los Payos","2019-03-17",33
"Los Payos","2019-03-18",27
"Los Payos","2019-03-19",23
"Los Payos","2019-03-20",32
"Los Payos","2019-03-21",29
"Los Payos","2019-03-22",61
"Los Payos","2019-03-23",38
"Los Payos","2019-03-24",42
"Los Payos","2019-03-25",25
"Los Payos","2019-03-26",22
"Los Payos","2019-03-27",23
"Los Payos","2019-03-28",32
"Los Payos","2019-03-29",21
"Los Payos","2019-03-30",29
"Los Payos","2019-03-31",41
"Los Payos","2019-04-01",34
"Los Payos","2019-04-02",30
"Los Payos","2019-04-03",26
"Los Payos","2019-04-04",27
"Los Payos","2019-04-05",31
"Los Payos","2019-04-06",23
"Los Payos","2019-04-07",29
"Los Payos","2019-04-08",35
"Los Payos","2019-04-09",15
"Los Payos","2019-04-10",29
"Los Payos","2019-04-11",21
"Los Payos","2019-04-12",17
"Los Payos","2019-04-13",22
"Los Payos","2019-04-14",28
"Los Payos","2019-04-15",28
"Los Payos","2019-04-16",12
"Los Payos","2019-04-17",22
"Los Payos","2019-04-18",37
"Los Payos","2019-04-19",21
"Los Payos","2019-04-20",28
"Los Payos","2019-04-21",24
"Los Payos","2019-04-22",29
"Los Payos","2019-04-23",177
"Los Payos","2019-04-24",33
"Los Payos","2019-04-25",23
"Los Payos","2019-04-26",33
"Los Payos","2019-04-27",28
"Los Payos","2019-04-28",26
"Los Payos","2019-04-29",15
"Los Payos","2019-04-30",21
"Los Payos","2019-05-01",18
"Los Payos","2019-05-02",24
"Los Payos","2019-05-03",32
"Los Payos","2019-05-04",28
"Los Payos","2019-05-05",32
"Los Payos","2019-05-06",26
"Los Payos","2019-05-07",23
"Los Payos","2019-05-08",26
"Los Payos","2019-05-09",21
"Los Payos","2019-05-10",19
"Los Payos","2019-05-11",24
"Los Payos","2019-05-12",40
"Los Payos","2019-05-13",19
"Los Payos","2019-05-14",24
"Los Payos","2019-05-15",25
"Los Payos","2019-05-16",26
"Los Payos","2019-05-17",29
"Los Payos","2019-05-18",141
"Los Payos","2019-05-19",22
"Los Payos","2019-05-20",28
"Los Payos","2019-05-21",28
