"artista","fecha","visitas"
"Luis Aguilé","2019-01-23",97
"Luis Aguilé","2019-01-24",107
"Luis Aguilé","2019-01-25",87
"Luis Aguilé","2019-01-26",133
"Luis Aguilé","2019-01-27",145
"Luis Aguilé","2019-01-28",94
"Luis Aguilé","2019-01-29",102
"Luis Aguilé","2019-01-30",107
"Luis Aguilé","2019-01-31",75
"Luis Aguilé","2019-02-01",107
"Luis Aguilé","2019-02-02",103
"Luis Aguilé","2019-02-03",116
"Luis Aguilé","2019-02-04",106
"Luis Aguilé","2019-02-05",90
"Luis Aguilé","2019-02-06",111
"Luis Aguilé","2019-02-07",98
"Luis Aguilé","2019-02-08",92
"Luis Aguilé","2019-02-09",128
"Luis Aguilé","2019-02-10",129
"Luis Aguilé","2019-02-11",77
"Luis Aguilé","2019-02-12",120
"Luis Aguilé","2019-02-13",102
"Luis Aguilé","2019-02-14",89
"Luis Aguilé","2019-02-15",112
"Luis Aguilé","2019-02-16",120
"Luis Aguilé","2019-02-17",112
"Luis Aguilé","2019-02-18",119
"Luis Aguilé","2019-02-19",250
"Luis Aguilé","2019-02-20",111
"Luis Aguilé","2019-02-21",101
"Luis Aguilé","2019-02-22",125
"Luis Aguilé","2019-02-23",164
"Luis Aguilé","2019-02-24",325
"Luis Aguilé","2019-02-25",130
"Luis Aguilé","2019-02-26",96
"Luis Aguilé","2019-02-27",112
"Luis Aguilé","2019-02-28",163
"Luis Aguilé","2019-03-01",126
"Luis Aguilé","2019-03-02",95
"Luis Aguilé","2019-03-03",121
"Luis Aguilé","2019-03-04",74
"Luis Aguilé","2019-03-05",110
"Luis Aguilé","2019-03-06",90
"Luis Aguilé","2019-03-07",95
"Luis Aguilé","2019-03-08",89
"Luis Aguilé","2019-03-09",128
"Luis Aguilé","2019-03-10",91
"Luis Aguilé","2019-03-11",81
"Luis Aguilé","2019-03-12",69
"Luis Aguilé","2019-03-13",91
"Luis Aguilé","2019-03-14",102
"Luis Aguilé","2019-03-15",107
"Luis Aguilé","2019-03-16",141
"Luis Aguilé","2019-03-17",122
"Luis Aguilé","2019-03-18",110
"Luis Aguilé","2019-03-19",136
"Luis Aguilé","2019-03-20",107
"Luis Aguilé","2019-03-21",110
"Luis Aguilé","2019-03-22",128
"Luis Aguilé","2019-03-23",106
"Luis Aguilé","2019-03-24",123
"Luis Aguilé","2019-03-25",111
"Luis Aguilé","2019-03-26",64
"Luis Aguilé","2019-03-27",100
"Luis Aguilé","2019-03-28",101
"Luis Aguilé","2019-03-29",122
"Luis Aguilé","2019-03-30",94
"Luis Aguilé","2019-03-31",128
"Luis Aguilé","2019-04-01",79
"Luis Aguilé","2019-04-02",113
"Luis Aguilé","2019-04-03",95
"Luis Aguilé","2019-04-04",169
"Luis Aguilé","2019-04-05",145
"Luis Aguilé","2019-04-06",103
"Luis Aguilé","2019-04-07",122
"Luis Aguilé","2019-04-08",86
"Luis Aguilé","2019-04-09",95
"Luis Aguilé","2019-04-10",75
"Luis Aguilé","2019-04-11",105
"Luis Aguilé","2019-04-12",129
"Luis Aguilé","2019-04-13",106
"Luis Aguilé","2019-04-14",117
"Luis Aguilé","2019-04-15",87
"Luis Aguilé","2019-04-16",93
"Luis Aguilé","2019-04-17",111
"Luis Aguilé","2019-04-18",110
"Luis Aguilé","2019-04-19",103
"Luis Aguilé","2019-04-20",111
"Luis Aguilé","2019-04-21",121
"Luis Aguilé","2019-04-22",112
"Luis Aguilé","2019-04-23",257
"Luis Aguilé","2019-04-24",107
"Luis Aguilé","2019-04-25",86
"Luis Aguilé","2019-04-26",120
"Luis Aguilé","2019-04-27",269
"Luis Aguilé","2019-04-28",110
"Luis Aguilé","2019-04-29",82
"Luis Aguilé","2019-04-30",104
"Luis Aguilé","2019-05-01",184
"Luis Aguilé","2019-05-02",265
"Luis Aguilé","2019-05-03",499
"Luis Aguilé","2019-05-04",143
"Luis Aguilé","2019-05-05",151
"Luis Aguilé","2019-05-06",115
"Luis Aguilé","2019-05-07",235
"Luis Aguilé","2019-05-08",119
"Luis Aguilé","2019-05-09",137
"Luis Aguilé","2019-05-10",105
"Luis Aguilé","2019-05-11",120
"Luis Aguilé","2019-05-12",134
"Luis Aguilé","2019-05-13",193
"Luis Aguilé","2019-05-14",110
"Luis Aguilé","2019-05-15",112
"Luis Aguilé","2019-05-16",145
"Luis Aguilé","2019-05-17",126
"Luis Aguilé","2019-05-18",130
"Luis Aguilé","2019-05-19",163
"Luis Aguilé","2019-05-20",154
"Luis Aguilé","2019-05-21",321
