"artista","fecha","visitas"
"Manolo Otero","2019-01-23",103
"Manolo Otero","2019-01-24",92
"Manolo Otero","2019-01-25",107
"Manolo Otero","2019-01-26",116
"Manolo Otero","2019-01-27",140
"Manolo Otero","2019-01-28",130
"Manolo Otero","2019-01-29",111
"Manolo Otero","2019-01-30",85
"Manolo Otero","2019-01-31",111
"Manolo Otero","2019-02-01",92
"Manolo Otero","2019-02-02",121
"Manolo Otero","2019-02-03",139
"Manolo Otero","2019-02-04",98
"Manolo Otero","2019-02-05",120
"Manolo Otero","2019-02-06",97
"Manolo Otero","2019-02-07",113
"Manolo Otero","2019-02-08",240
"Manolo Otero","2019-02-09",134
"Manolo Otero","2019-02-10",134
"Manolo Otero","2019-02-11",106
"Manolo Otero","2019-02-12",93
"Manolo Otero","2019-02-13",107
"Manolo Otero","2019-02-14",115
"Manolo Otero","2019-02-15",132
"Manolo Otero","2019-02-16",150
"Manolo Otero","2019-02-17",202
"Manolo Otero","2019-02-18",133
"Manolo Otero","2019-02-19",130
"Manolo Otero","2019-02-20",154
"Manolo Otero","2019-02-21",122
"Manolo Otero","2019-02-22",131
"Manolo Otero","2019-02-23",134
"Manolo Otero","2019-02-24",172
"Manolo Otero","2019-02-25",745
"Manolo Otero","2019-02-26",821
"Manolo Otero","2019-02-27",295
"Manolo Otero","2019-02-28",162
"Manolo Otero","2019-03-01",137
"Manolo Otero","2019-03-02",137
"Manolo Otero","2019-03-03",128
"Manolo Otero","2019-03-04",92
"Manolo Otero","2019-03-05",153
"Manolo Otero","2019-03-06",115
"Manolo Otero","2019-03-07",108
"Manolo Otero","2019-03-08",406
"Manolo Otero","2019-03-09",146
"Manolo Otero","2019-03-10",182
"Manolo Otero","2019-03-11",116
"Manolo Otero","2019-03-12",161
"Manolo Otero","2019-03-13",92
"Manolo Otero","2019-03-14",98
"Manolo Otero","2019-03-15",172
"Manolo Otero","2019-03-16",134
"Manolo Otero","2019-03-17",185
"Manolo Otero","2019-03-18",126
"Manolo Otero","2019-03-19",127
"Manolo Otero","2019-03-20",123
"Manolo Otero","2019-03-21",125
"Manolo Otero","2019-03-22",110
"Manolo Otero","2019-03-23",156
"Manolo Otero","2019-03-24",558
"Manolo Otero","2019-03-25",130
"Manolo Otero","2019-03-26",78
"Manolo Otero","2019-03-27",105
"Manolo Otero","2019-03-28",453
"Manolo Otero","2019-03-29",148
"Manolo Otero","2019-03-30",111
"Manolo Otero","2019-03-31",259
"Manolo Otero","2019-04-01",87
"Manolo Otero","2019-04-02",111
"Manolo Otero","2019-04-03",79
"Manolo Otero","2019-04-04",83
"Manolo Otero","2019-04-05",94
"Manolo Otero","2019-04-06",127
"Manolo Otero","2019-04-07",146
"Manolo Otero","2019-04-08",95
"Manolo Otero","2019-04-09",88
"Manolo Otero","2019-04-10",78
"Manolo Otero","2019-04-11",102
"Manolo Otero","2019-04-12",114
"Manolo Otero","2019-04-13",124
"Manolo Otero","2019-04-14",184
"Manolo Otero","2019-04-15",137
"Manolo Otero","2019-04-16",79
"Manolo Otero","2019-04-17",68
"Manolo Otero","2019-04-18",90
"Manolo Otero","2019-04-19",128
"Manolo Otero","2019-04-20",136
"Manolo Otero","2019-04-21",113
"Manolo Otero","2019-04-22",86
"Manolo Otero","2019-04-23",475
"Manolo Otero","2019-04-24",111
"Manolo Otero","2019-04-25",133
"Manolo Otero","2019-04-26",87
"Manolo Otero","2019-04-27",135
"Manolo Otero","2019-04-28",139
"Manolo Otero","2019-04-29",66
"Manolo Otero","2019-04-30",86
"Manolo Otero","2019-05-01",118
"Manolo Otero","2019-05-02",137
"Manolo Otero","2019-05-03",209
"Manolo Otero","2019-05-04",136
"Manolo Otero","2019-05-05",191
"Manolo Otero","2019-05-06",115
"Manolo Otero","2019-05-07",114
"Manolo Otero","2019-05-08",105
"Manolo Otero","2019-05-09",76
"Manolo Otero","2019-05-10",104
"Manolo Otero","2019-05-11",102
"Manolo Otero","2019-05-12",130
"Manolo Otero","2019-05-13",114
"Manolo Otero","2019-05-14",116
"Manolo Otero","2019-05-15",135
"Manolo Otero","2019-05-16",148
"Manolo Otero","2019-05-17",124
"Manolo Otero","2019-05-18",134
"Manolo Otero","2019-05-19",145
"Manolo Otero","2019-05-20",92
"Manolo Otero","2019-05-21",118
