"artista","fecha","visitas"
"Natti Natasha","2019-01-23",1864
"Natti Natasha","2019-01-24",1848
"Natti Natasha","2019-01-25",1900
"Natti Natasha","2019-01-26",2019
"Natti Natasha","2019-01-27",2034
"Natti Natasha","2019-01-28",1654
"Natti Natasha","2019-01-29",1700
"Natti Natasha","2019-01-30",1639
"Natti Natasha","2019-01-31",1640
"Natti Natasha","2019-02-01",1615
"Natti Natasha","2019-02-02",1973
"Natti Natasha","2019-02-03",2211
"Natti Natasha","2019-02-04",2012
"Natti Natasha","2019-02-05",1733
"Natti Natasha","2019-02-06",1611
"Natti Natasha","2019-02-07",1542
"Natti Natasha","2019-02-08",1585
"Natti Natasha","2019-02-09",1839
"Natti Natasha","2019-02-10",1957
"Natti Natasha","2019-02-11",2389
"Natti Natasha","2019-02-12",2782
"Natti Natasha","2019-02-13",2490
"Natti Natasha","2019-02-14",2355
"Natti Natasha","2019-02-15",2982
"Natti Natasha","2019-02-16",2934
"Natti Natasha","2019-02-17",2595
"Natti Natasha","2019-02-18",2316
"Natti Natasha","2019-02-19",2295
"Natti Natasha","2019-02-20",2464
"Natti Natasha","2019-02-21",2602
"Natti Natasha","2019-02-22",6912
"Natti Natasha","2019-02-23",4292
"Natti Natasha","2019-02-24",3596
"Natti Natasha","2019-02-25",2605
"Natti Natasha","2019-02-26",2304
"Natti Natasha","2019-02-27",2384
"Natti Natasha","2019-02-28",2162
"Natti Natasha","2019-03-01",2013
"Natti Natasha","2019-03-02",3864
"Natti Natasha","2019-03-03",2813
"Natti Natasha","2019-03-04",2201
"Natti Natasha","2019-03-05",2064
"Natti Natasha","2019-03-06",2017
"Natti Natasha","2019-03-07",1988
"Natti Natasha","2019-03-08",1779
"Natti Natasha","2019-03-09",2244
"Natti Natasha","2019-03-10",2402
"Natti Natasha","2019-03-11",2017
"Natti Natasha","2019-03-12",1931
"Natti Natasha","2019-03-13",2118
"Natti Natasha","2019-03-14",2031
"Natti Natasha","2019-03-15",2105
"Natti Natasha","2019-03-16",2083
"Natti Natasha","2019-03-17",2358
"Natti Natasha","2019-03-18",1961
"Natti Natasha","2019-03-19",1827
"Natti Natasha","2019-03-20",2006
"Natti Natasha","2019-03-21",1891
"Natti Natasha","2019-03-22",2306
"Natti Natasha","2019-03-23",2631
"Natti Natasha","2019-03-24",3184
"Natti Natasha","2019-03-25",2415
"Natti Natasha","2019-03-26",1798
"Natti Natasha","2019-03-27",1804
"Natti Natasha","2019-03-28",1715
"Natti Natasha","2019-03-29",1640
"Natti Natasha","2019-03-30",1562
"Natti Natasha","2019-03-31",1709
"Natti Natasha","2019-04-01",3336
"Natti Natasha","2019-04-02",2559
"Natti Natasha","2019-04-03",1766
"Natti Natasha","2019-04-04",1560
"Natti Natasha","2019-04-05",1667
"Natti Natasha","2019-04-06",1892
"Natti Natasha","2019-04-07",1896
"Natti Natasha","2019-04-08",2026
"Natti Natasha","2019-04-09",1592
"Natti Natasha","2019-04-10",1490
"Natti Natasha","2019-04-11",1570
"Natti Natasha","2019-04-12",1540
"Natti Natasha","2019-04-13",1600
"Natti Natasha","2019-04-14",1810
"Natti Natasha","2019-04-15",1459
"Natti Natasha","2019-04-16",1387
"Natti Natasha","2019-04-17",1366
"Natti Natasha","2019-04-18",1614
"Natti Natasha","2019-04-19",1816
"Natti Natasha","2019-04-20",1775
"Natti Natasha","2019-04-21",1940
"Natti Natasha","2019-04-22",1611
"Natti Natasha","2019-04-23",1519
"Natti Natasha","2019-04-24",1563
"Natti Natasha","2019-04-25",1819
"Natti Natasha","2019-04-26",2464
"Natti Natasha","2019-04-27",2248
"Natti Natasha","2019-04-28",2535
"Natti Natasha","2019-04-29",2083
"Natti Natasha","2019-04-30",2033
"Natti Natasha","2019-05-01",2115
"Natti Natasha","2019-05-02",1941
"Natti Natasha","2019-05-03",1781
"Natti Natasha","2019-05-04",2057
"Natti Natasha","2019-05-05",2370
"Natti Natasha","2019-05-06",2091
"Natti Natasha","2019-05-07",1899
"Natti Natasha","2019-05-08",1849
"Natti Natasha","2019-05-09",2493
"Natti Natasha","2019-05-10",1913
"Natti Natasha","2019-05-11",1907
"Natti Natasha","2019-05-12",1967
"Natti Natasha","2019-05-13",1628
"Natti Natasha","2019-05-14",1624
"Natti Natasha","2019-05-15",1869
"Natti Natasha","2019-05-16",2392
"Natti Natasha","2019-05-17",2432
"Natti Natasha","2019-05-18",2710
"Natti Natasha","2019-05-19",2834
"Natti Natasha","2019-05-20",2343
"Natti Natasha","2019-05-21",2027
