"artista","fecha","visitas"
"Pop-Tops","2019-01-23",34
"Pop-Tops","2019-01-24",23
"Pop-Tops","2019-01-25",18
"Pop-Tops","2019-01-26",27
"Pop-Tops","2019-01-27",21
"Pop-Tops","2019-01-28",25
"Pop-Tops","2019-01-29",31
"Pop-Tops","2019-01-30",25
"Pop-Tops","2019-01-31",21
"Pop-Tops","2019-02-01",37
"Pop-Tops","2019-02-02",41
"Pop-Tops","2019-02-03",25
"Pop-Tops","2019-02-04",18
"Pop-Tops","2019-02-05",32
"Pop-Tops","2019-02-06",35
"Pop-Tops","2019-02-07",28
"Pop-Tops","2019-02-08",30
"Pop-Tops","2019-02-09",32
"Pop-Tops","2019-02-10",33
"Pop-Tops","2019-02-11",28
"Pop-Tops","2019-02-12",18
"Pop-Tops","2019-02-13",21
"Pop-Tops","2019-02-14",19
"Pop-Tops","2019-02-15",22
"Pop-Tops","2019-02-16",49
"Pop-Tops","2019-02-17",20
"Pop-Tops","2019-02-18",38
"Pop-Tops","2019-02-19",20
"Pop-Tops","2019-02-20",32
"Pop-Tops","2019-02-21",22
"Pop-Tops","2019-02-22",33
"Pop-Tops","2019-02-23",21
"Pop-Tops","2019-02-24",22
"Pop-Tops","2019-02-25",16
"Pop-Tops","2019-02-26",30
"Pop-Tops","2019-02-27",29
"Pop-Tops","2019-02-28",30
"Pop-Tops","2019-03-01",22
"Pop-Tops","2019-03-02",16
"Pop-Tops","2019-03-03",24
"Pop-Tops","2019-03-04",38
"Pop-Tops","2019-03-05",32
"Pop-Tops","2019-03-06",26
"Pop-Tops","2019-03-07",16
"Pop-Tops","2019-03-08",24
"Pop-Tops","2019-03-09",24
"Pop-Tops","2019-03-10",20
"Pop-Tops","2019-03-11",15
"Pop-Tops","2019-03-12",16
"Pop-Tops","2019-03-13",18
"Pop-Tops","2019-03-14",18
"Pop-Tops","2019-03-15",22
"Pop-Tops","2019-03-16",30
"Pop-Tops","2019-03-17",25
"Pop-Tops","2019-03-18",30
"Pop-Tops","2019-03-19",10
"Pop-Tops","2019-03-20",20
"Pop-Tops","2019-03-21",40
"Pop-Tops","2019-03-22",22
"Pop-Tops","2019-03-23",21
"Pop-Tops","2019-03-24",27
"Pop-Tops","2019-03-25",19
"Pop-Tops","2019-03-26",24
"Pop-Tops","2019-03-27",19
"Pop-Tops","2019-03-28",23
"Pop-Tops","2019-03-29",25
"Pop-Tops","2019-03-30",47
"Pop-Tops","2019-03-31",28
"Pop-Tops","2019-04-01",17
"Pop-Tops","2019-04-02",22
"Pop-Tops","2019-04-03",14
"Pop-Tops","2019-04-04",21
"Pop-Tops","2019-04-05",32
"Pop-Tops","2019-04-06",14
"Pop-Tops","2019-04-07",6
"Pop-Tops","2019-04-08",16
"Pop-Tops","2019-04-09",14
"Pop-Tops","2019-04-10",18
"Pop-Tops","2019-04-11",19
"Pop-Tops","2019-04-12",26
"Pop-Tops","2019-04-13",16
"Pop-Tops","2019-04-14",23
"Pop-Tops","2019-04-15",12
"Pop-Tops","2019-04-16",14
"Pop-Tops","2019-04-17",20
"Pop-Tops","2019-04-18",24
"Pop-Tops","2019-04-19",25
"Pop-Tops","2019-04-20",27
"Pop-Tops","2019-04-21",18
"Pop-Tops","2019-04-22",17
"Pop-Tops","2019-04-23",58
"Pop-Tops","2019-04-24",23
"Pop-Tops","2019-04-25",12
"Pop-Tops","2019-04-26",22
"Pop-Tops","2019-04-27",25
"Pop-Tops","2019-04-28",21
"Pop-Tops","2019-04-29",25
"Pop-Tops","2019-04-30",21
"Pop-Tops","2019-05-01",19
"Pop-Tops","2019-05-02",19
"Pop-Tops","2019-05-03",21
"Pop-Tops","2019-05-04",13
"Pop-Tops","2019-05-05",32
"Pop-Tops","2019-05-06",19
"Pop-Tops","2019-05-07",76
"Pop-Tops","2019-05-08",29
"Pop-Tops","2019-05-09",19
"Pop-Tops","2019-05-10",13
"Pop-Tops","2019-05-11",26
"Pop-Tops","2019-05-12",17
"Pop-Tops","2019-05-13",16
"Pop-Tops","2019-05-14",19
"Pop-Tops","2019-05-15",16
"Pop-Tops","2019-05-16",18
"Pop-Tops","2019-05-17",32
"Pop-Tops","2019-05-18",14
"Pop-Tops","2019-05-19",18
"Pop-Tops","2019-05-20",12
"Pop-Tops","2019-05-21",28
