"artista","fecha","visitas"
"Raúl","2019-01-23",56
"Raúl","2019-01-24",94
"Raúl","2019-01-25",59
"Raúl","2019-01-26",81
"Raúl","2019-01-27",74
"Raúl","2019-01-28",50
"Raúl","2019-01-29",56
"Raúl","2019-01-30",75
"Raúl","2019-01-31",75
"Raúl","2019-02-01",62
"Raúl","2019-02-02",79
"Raúl","2019-02-03",64
"Raúl","2019-02-04",46
"Raúl","2019-02-05",46
"Raúl","2019-02-06",48
"Raúl","2019-02-07",50
"Raúl","2019-02-08",90
"Raúl","2019-02-09",106
"Raúl","2019-02-10",75
"Raúl","2019-02-11",39
"Raúl","2019-02-12",68
"Raúl","2019-02-13",46
"Raúl","2019-02-14",76
"Raúl","2019-02-15",77
"Raúl","2019-02-16",99
"Raúl","2019-02-17",86
"Raúl","2019-02-18",71
"Raúl","2019-02-19",55
"Raúl","2019-02-20",93
"Raúl","2019-02-21",60
"Raúl","2019-02-22",84
"Raúl","2019-02-23",90
"Raúl","2019-02-24",90
"Raúl","2019-02-25",43
"Raúl","2019-02-26",46
"Raúl","2019-02-27",54
"Raúl","2019-02-28",2011
"Raúl","2019-03-01",105
"Raúl","2019-03-02",83
"Raúl","2019-03-03",60
"Raúl","2019-03-04",48
"Raúl","2019-03-05",79
"Raúl","2019-03-06",55
"Raúl","2019-03-07",54
"Raúl","2019-03-08",49
"Raúl","2019-03-09",65
"Raúl","2019-03-10",79
"Raúl","2019-03-11",44
"Raúl","2019-03-12",33
"Raúl","2019-03-13",48
"Raúl","2019-03-14",69
"Raúl","2019-03-15",3343
"Raúl","2019-03-16",517
"Raúl","2019-03-17",178
"Raúl","2019-03-18",105
"Raúl","2019-03-19",84
"Raúl","2019-03-20",85
"Raúl","2019-03-21",90
"Raúl","2019-03-22",192
"Raúl","2019-03-23",98
"Raúl","2019-03-24",84
"Raúl","2019-03-25",59
"Raúl","2019-03-26",63
"Raúl","2019-03-27",70
"Raúl","2019-03-28",45
"Raúl","2019-03-29",63
"Raúl","2019-03-30",84
"Raúl","2019-03-31",63
"Raúl","2019-04-01",50
"Raúl","2019-04-02",50
"Raúl","2019-04-03",42
"Raúl","2019-04-04",45
"Raúl","2019-04-05",52
"Raúl","2019-04-06",66
"Raúl","2019-04-07",46
"Raúl","2019-04-08",43
"Raúl","2019-04-09",62
"Raúl","2019-04-10",60
"Raúl","2019-04-11",68
"Raúl","2019-04-12",65
"Raúl","2019-04-13",90
"Raúl","2019-04-14",60
"Raúl","2019-04-15",46
"Raúl","2019-04-16",67
"Raúl","2019-04-17",55
"Raúl","2019-04-18",73
"Raúl","2019-04-19",109
"Raúl","2019-04-20",110
"Raúl","2019-04-21",104
"Raúl","2019-04-22",43
"Raúl","2019-04-23",253
"Raúl","2019-04-24",68
"Raúl","2019-04-25",63
"Raúl","2019-04-26",72
"Raúl","2019-04-27",68
"Raúl","2019-04-28",56
"Raúl","2019-04-29",48
"Raúl","2019-04-30",61
"Raúl","2019-05-01",59
"Raúl","2019-05-02",48
"Raúl","2019-05-03",48
"Raúl","2019-05-04",81
"Raúl","2019-05-05",76
"Raúl","2019-05-06",39
"Raúl","2019-05-07",47
"Raúl","2019-05-08",65
"Raúl","2019-05-09",88
"Raúl","2019-05-10",68
"Raúl","2019-05-11",80
"Raúl","2019-05-12",124
"Raúl","2019-05-13",62
"Raúl","2019-05-14",289
"Raúl","2019-05-15",86
"Raúl","2019-05-16",218
"Raúl","2019-05-17",78
"Raúl","2019-05-18",488
"Raúl","2019-05-19",696
"Raúl","2019-05-20",72
"Raúl","2019-05-21",47
