"artista","fecha","visitas"
"Ricardo Cocciante","2019-01-23",1
"Ricardo Cocciante","2019-01-24",1
"Ricardo Cocciante","2019-01-26",1
"Ricardo Cocciante","2019-01-27",1
"Ricardo Cocciante","2019-01-29",1
"Ricardo Cocciante","2019-01-30",1
"Ricardo Cocciante","2019-01-31",0
"Ricardo Cocciante","2019-02-01",2
"Ricardo Cocciante","2019-02-03",0
"Ricardo Cocciante","2019-02-06",1
"Ricardo Cocciante","2019-02-07",1
"Ricardo Cocciante","2019-02-08",0
"Ricardo Cocciante","2019-02-10",19
"Ricardo Cocciante","2019-02-11",2
"Ricardo Cocciante","2019-02-12",5
"Ricardo Cocciante","2019-02-13",2
"Ricardo Cocciante","2019-02-15",1
"Ricardo Cocciante","2019-02-16",0
"Ricardo Cocciante","2019-02-18",4
"Ricardo Cocciante","2019-02-19",1
"Ricardo Cocciante","2019-02-20",1
"Ricardo Cocciante","2019-02-21",3
"Ricardo Cocciante","2019-02-23",2
"Ricardo Cocciante","2019-02-24",2
"Ricardo Cocciante","2019-02-25",3
"Ricardo Cocciante","2019-02-26",4
"Ricardo Cocciante","2019-02-27",4
"Ricardo Cocciante","2019-02-28",6
"Ricardo Cocciante","2019-03-01",1
"Ricardo Cocciante","2019-03-02",3
"Ricardo Cocciante","2019-03-03",2
"Ricardo Cocciante","2019-03-04",1
"Ricardo Cocciante","2019-03-05",6
"Ricardo Cocciante","2019-03-06",2
"Ricardo Cocciante","2019-03-07",0
"Ricardo Cocciante","2019-03-08",0
"Ricardo Cocciante","2019-03-09",0
"Ricardo Cocciante","2019-03-10",2
"Ricardo Cocciante","2019-03-11",1
"Ricardo Cocciante","2019-03-12",3
"Ricardo Cocciante","2019-03-13",1
"Ricardo Cocciante","2019-03-14",2
"Ricardo Cocciante","2019-03-15",0
"Ricardo Cocciante","2019-03-16",3
"Ricardo Cocciante","2019-03-17",3
"Ricardo Cocciante","2019-03-18",2
"Ricardo Cocciante","2019-03-19",2
"Ricardo Cocciante","2019-03-20",3
"Ricardo Cocciante","2019-03-21",0
"Ricardo Cocciante","2019-03-22",1
"Ricardo Cocciante","2019-03-23",1
"Ricardo Cocciante","2019-03-24",1
"Ricardo Cocciante","2019-03-25",3
"Ricardo Cocciante","2019-03-27",2
"Ricardo Cocciante","2019-03-28",0
"Ricardo Cocciante","2019-03-29",2
"Ricardo Cocciante","2019-03-30",1
"Ricardo Cocciante","2019-03-31",1
"Ricardo Cocciante","2019-04-01",2
"Ricardo Cocciante","2019-04-02",1
"Ricardo Cocciante","2019-04-04",1
"Ricardo Cocciante","2019-04-05",1
"Ricardo Cocciante","2019-04-06",1
"Ricardo Cocciante","2019-04-07",1
"Ricardo Cocciante","2019-04-08",2
"Ricardo Cocciante","2019-04-09",0
"Ricardo Cocciante","2019-04-11",2
"Ricardo Cocciante","2019-04-12",3
"Ricardo Cocciante","2019-04-13",1
"Ricardo Cocciante","2019-04-14",3
"Ricardo Cocciante","2019-04-17",0
"Ricardo Cocciante","2019-04-18",1
"Ricardo Cocciante","2019-04-19",1
"Ricardo Cocciante","2019-04-20",1
"Ricardo Cocciante","2019-04-21",1
"Ricardo Cocciante","2019-04-23",2
"Ricardo Cocciante","2019-04-24",0
"Ricardo Cocciante","2019-04-25",2
"Ricardo Cocciante","2019-04-26",0
"Ricardo Cocciante","2019-04-27",2
"Ricardo Cocciante","2019-04-28",3
"Ricardo Cocciante","2019-04-29",1
"Ricardo Cocciante","2019-04-30",0
"Ricardo Cocciante","2019-05-01",2
"Ricardo Cocciante","2019-05-02",0
"Ricardo Cocciante","2019-05-03",0
"Ricardo Cocciante","2019-05-04",0
"Ricardo Cocciante","2019-05-05",1
"Ricardo Cocciante","2019-05-08",2
"Ricardo Cocciante","2019-05-10",2
"Ricardo Cocciante","2019-05-11",3
"Ricardo Cocciante","2019-05-12",1
"Ricardo Cocciante","2019-05-13",3
"Ricardo Cocciante","2019-05-15",1
"Ricardo Cocciante","2019-05-16",2
"Ricardo Cocciante","2019-05-17",1
"Ricardo Cocciante","2019-05-19",1
"Ricardo Cocciante","2019-05-20",1
