"artista","fecha","visitas"
"Richard Anthony","2019-01-23",7
"Richard Anthony","2019-01-24",9
"Richard Anthony","2019-01-25",5
"Richard Anthony","2019-01-26",14
"Richard Anthony","2019-01-27",8
"Richard Anthony","2019-01-28",16
"Richard Anthony","2019-01-29",11
"Richard Anthony","2019-01-30",7
"Richard Anthony","2019-01-31",8
"Richard Anthony","2019-02-01",11
"Richard Anthony","2019-02-02",8
"Richard Anthony","2019-02-03",9
"Richard Anthony","2019-02-04",6
"Richard Anthony","2019-02-05",19
"Richard Anthony","2019-02-06",24
"Richard Anthony","2019-02-07",4
"Richard Anthony","2019-02-08",8
"Richard Anthony","2019-02-09",12
"Richard Anthony","2019-02-10",13
"Richard Anthony","2019-02-11",9
"Richard Anthony","2019-02-12",12
"Richard Anthony","2019-02-13",14
"Richard Anthony","2019-02-14",6
"Richard Anthony","2019-02-15",15
"Richard Anthony","2019-02-16",6
"Richard Anthony","2019-02-17",18
"Richard Anthony","2019-02-18",13
"Richard Anthony","2019-02-19",11
"Richard Anthony","2019-02-20",6
"Richard Anthony","2019-02-21",8
"Richard Anthony","2019-02-22",11
"Richard Anthony","2019-02-23",12
"Richard Anthony","2019-02-24",18
"Richard Anthony","2019-02-25",8
"Richard Anthony","2019-02-26",11
"Richard Anthony","2019-02-27",18
"Richard Anthony","2019-02-28",3
"Richard Anthony","2019-03-01",21
"Richard Anthony","2019-03-02",27
"Richard Anthony","2019-03-03",22
"Richard Anthony","2019-03-04",12
"Richard Anthony","2019-03-05",20
"Richard Anthony","2019-03-06",12
"Richard Anthony","2019-03-07",20
"Richard Anthony","2019-03-08",12
"Richard Anthony","2019-03-09",8
"Richard Anthony","2019-03-10",16
"Richard Anthony","2019-03-11",6
"Richard Anthony","2019-03-12",12
"Richard Anthony","2019-03-13",15
"Richard Anthony","2019-03-14",8
"Richard Anthony","2019-03-15",8
"Richard Anthony","2019-03-16",10
"Richard Anthony","2019-03-17",10
"Richard Anthony","2019-03-18",15
"Richard Anthony","2019-03-19",13
"Richard Anthony","2019-03-20",12
"Richard Anthony","2019-03-21",18
"Richard Anthony","2019-03-22",15
"Richard Anthony","2019-03-23",14
"Richard Anthony","2019-03-24",10
"Richard Anthony","2019-03-25",12
"Richard Anthony","2019-03-26",13
"Richard Anthony","2019-03-27",6
"Richard Anthony","2019-03-28",12
"Richard Anthony","2019-03-29",11
"Richard Anthony","2019-03-30",12
"Richard Anthony","2019-03-31",15
"Richard Anthony","2019-04-01",11
"Richard Anthony","2019-04-02",16
"Richard Anthony","2019-04-03",10
"Richard Anthony","2019-04-04",10
"Richard Anthony","2019-04-05",7
"Richard Anthony","2019-04-06",8
"Richard Anthony","2019-04-07",18
"Richard Anthony","2019-04-08",10
"Richard Anthony","2019-04-09",10
"Richard Anthony","2019-04-10",13
"Richard Anthony","2019-04-11",20
"Richard Anthony","2019-04-12",7
"Richard Anthony","2019-04-13",11
"Richard Anthony","2019-04-14",10
"Richard Anthony","2019-04-15",14
"Richard Anthony","2019-04-16",8
"Richard Anthony","2019-04-17",12
"Richard Anthony","2019-04-18",9
"Richard Anthony","2019-04-19",13
"Richard Anthony","2019-04-20",14
"Richard Anthony","2019-04-21",9
"Richard Anthony","2019-04-22",14
"Richard Anthony","2019-04-23",31
"Richard Anthony","2019-04-24",16
"Richard Anthony","2019-04-25",17
"Richard Anthony","2019-04-26",7
"Richard Anthony","2019-04-27",18
"Richard Anthony","2019-04-28",6
"Richard Anthony","2019-04-29",19
"Richard Anthony","2019-04-30",7
"Richard Anthony","2019-05-01",11
"Richard Anthony","2019-05-02",8
"Richard Anthony","2019-05-03",12
"Richard Anthony","2019-05-04",13
"Richard Anthony","2019-05-05",15
"Richard Anthony","2019-05-06",8
"Richard Anthony","2019-05-07",11
"Richard Anthony","2019-05-08",10
"Richard Anthony","2019-05-09",7
"Richard Anthony","2019-05-10",13
"Richard Anthony","2019-05-11",8
"Richard Anthony","2019-05-12",14
"Richard Anthony","2019-05-13",20
"Richard Anthony","2019-05-14",18
"Richard Anthony","2019-05-15",9
"Richard Anthony","2019-05-16",14
"Richard Anthony","2019-05-17",11
"Richard Anthony","2019-05-18",10
"Richard Anthony","2019-05-19",14
"Richard Anthony","2019-05-20",4
"Richard Anthony","2019-05-21",14
