"artista","fecha","visitas"
"Roberto Carlos","2019-01-23",608
"Roberto Carlos","2019-01-24",598
"Roberto Carlos","2019-01-25",668
"Roberto Carlos","2019-01-26",827
"Roberto Carlos","2019-01-27",1023
"Roberto Carlos","2019-01-28",655
"Roberto Carlos","2019-01-29",628
"Roberto Carlos","2019-01-30",715
"Roberto Carlos","2019-01-31",801
"Roberto Carlos","2019-02-01",856
"Roberto Carlos","2019-02-02",1206
"Roberto Carlos","2019-02-03",1131
"Roberto Carlos","2019-02-04",757
"Roberto Carlos","2019-02-05",761
"Roberto Carlos","2019-02-06",711
"Roberto Carlos","2019-02-07",754
"Roberto Carlos","2019-02-08",776
"Roberto Carlos","2019-02-09",885
"Roberto Carlos","2019-02-10",1203
"Roberto Carlos","2019-02-11",822
"Roberto Carlos","2019-02-12",660
"Roberto Carlos","2019-02-13",808
"Roberto Carlos","2019-02-14",848
"Roberto Carlos","2019-02-15",754
"Roberto Carlos","2019-02-16",921
"Roberto Carlos","2019-02-17",1276
"Roberto Carlos","2019-02-18",976
"Roberto Carlos","2019-02-19",770
"Roberto Carlos","2019-02-20",843
"Roberto Carlos","2019-02-21",1399
"Roberto Carlos","2019-02-22",5220
"Roberto Carlos","2019-02-23",1277
"Roberto Carlos","2019-02-24",1713
"Roberto Carlos","2019-02-25",847
"Roberto Carlos","2019-02-26",1243
"Roberto Carlos","2019-02-27",874
"Roberto Carlos","2019-02-28",779
"Roberto Carlos","2019-03-01",683
"Roberto Carlos","2019-03-02",801
"Roberto Carlos","2019-03-03",1034
"Roberto Carlos","2019-03-04",751
"Roberto Carlos","2019-03-05",870
"Roberto Carlos","2019-03-06",987
"Roberto Carlos","2019-03-07",1094
"Roberto Carlos","2019-03-08",976
"Roberto Carlos","2019-03-09",1330
"Roberto Carlos","2019-03-10",2839
"Roberto Carlos","2019-03-11",1077
"Roberto Carlos","2019-03-12",923
"Roberto Carlos","2019-03-13",982
"Roberto Carlos","2019-03-14",808
"Roberto Carlos","2019-03-15",938
"Roberto Carlos","2019-03-16",1511
"Roberto Carlos","2019-03-17",1337
"Roberto Carlos","2019-03-18",957
"Roberto Carlos","2019-03-19",1025
"Roberto Carlos","2019-03-20",861
"Roberto Carlos","2019-03-21",914
"Roberto Carlos","2019-03-22",911
"Roberto Carlos","2019-03-23",990
"Roberto Carlos","2019-03-24",1306
"Roberto Carlos","2019-03-25",927
"Roberto Carlos","2019-03-26",815
"Roberto Carlos","2019-03-27",758
"Roberto Carlos","2019-03-28",758
"Roberto Carlos","2019-03-29",880
"Roberto Carlos","2019-03-30",894
"Roberto Carlos","2019-03-31",1029
"Roberto Carlos","2019-04-01",716
"Roberto Carlos","2019-04-02",831
"Roberto Carlos","2019-04-03",701
"Roberto Carlos","2019-04-04",822
"Roberto Carlos","2019-04-05",908
"Roberto Carlos","2019-04-06",900
"Roberto Carlos","2019-04-07",1066
"Roberto Carlos","2019-04-08",758
"Roberto Carlos","2019-04-09",765
"Roberto Carlos","2019-04-10",1064
"Roberto Carlos","2019-04-11",749
"Roberto Carlos","2019-04-12",792
"Roberto Carlos","2019-04-13",904
"Roberto Carlos","2019-04-14",1054
"Roberto Carlos","2019-04-15",699
"Roberto Carlos","2019-04-16",647
"Roberto Carlos","2019-04-17",780
"Roberto Carlos","2019-04-18",936
"Roberto Carlos","2019-04-19",1722
"Roberto Carlos","2019-04-20",1159
"Roberto Carlos","2019-04-21",1073
"Roberto Carlos","2019-04-22",1066
"Roberto Carlos","2019-04-23",727
"Roberto Carlos","2019-04-24",685
"Roberto Carlos","2019-04-25",725
"Roberto Carlos","2019-04-26",670
"Roberto Carlos","2019-04-27",872
"Roberto Carlos","2019-04-28",1084
"Roberto Carlos","2019-04-29",882
"Roberto Carlos","2019-04-30",736
"Roberto Carlos","2019-05-01",1006
"Roberto Carlos","2019-05-02",972
"Roberto Carlos","2019-05-03",787
"Roberto Carlos","2019-05-04",1072
"Roberto Carlos","2019-05-05",1746
"Roberto Carlos","2019-05-06",855
"Roberto Carlos","2019-05-07",641
"Roberto Carlos","2019-05-08",569
"Roberto Carlos","2019-05-09",671
"Roberto Carlos","2019-05-10",690
"Roberto Carlos","2019-05-11",838
"Roberto Carlos","2019-05-12",1001
"Roberto Carlos","2019-05-13",724
"Roberto Carlos","2019-05-14",595
"Roberto Carlos","2019-05-15",929
"Roberto Carlos","2019-05-16",791
"Roberto Carlos","2019-05-17",874
"Roberto Carlos","2019-05-18",980
"Roberto Carlos","2019-05-19",1176
"Roberto Carlos","2019-05-20",893
"Roberto Carlos","2019-05-21",2874
