"artista","fecha","visitas"
"Roxette","2019-01-23",301
"Roxette","2019-01-24",334
"Roxette","2019-01-25",345
"Roxette","2019-01-26",347
"Roxette","2019-01-27",396
"Roxette","2019-01-28",327
"Roxette","2019-01-29",331
"Roxette","2019-01-30",342
"Roxette","2019-01-31",360
"Roxette","2019-02-01",306
"Roxette","2019-02-02",349
"Roxette","2019-02-03",354
"Roxette","2019-02-04",311
"Roxette","2019-02-05",317
"Roxette","2019-02-06",417
"Roxette","2019-02-07",298
"Roxette","2019-02-08",356
"Roxette","2019-02-09",344
"Roxette","2019-02-10",357
"Roxette","2019-02-11",315
"Roxette","2019-02-12",329
"Roxette","2019-02-13",285
"Roxette","2019-02-14",381
"Roxette","2019-02-15",347
"Roxette","2019-02-16",375
"Roxette","2019-02-17",406
"Roxette","2019-02-18",312
"Roxette","2019-02-19",339
"Roxette","2019-02-20",269
"Roxette","2019-02-21",299
"Roxette","2019-02-22",353
"Roxette","2019-02-23",372
"Roxette","2019-02-24",377
"Roxette","2019-02-25",274
"Roxette","2019-02-26",287
"Roxette","2019-02-27",278
"Roxette","2019-02-28",288
"Roxette","2019-03-01",345
"Roxette","2019-03-02",302
"Roxette","2019-03-03",342
"Roxette","2019-03-04",322
"Roxette","2019-03-05",295
"Roxette","2019-03-06",309
"Roxette","2019-03-07",266
"Roxette","2019-03-08",277
"Roxette","2019-03-09",360
"Roxette","2019-03-10",402
"Roxette","2019-03-11",363
"Roxette","2019-03-12",313
"Roxette","2019-03-13",300
"Roxette","2019-03-14",369
"Roxette","2019-03-15",377
"Roxette","2019-03-16",397
"Roxette","2019-03-17",401
"Roxette","2019-03-18",279
"Roxette","2019-03-19",268
"Roxette","2019-03-20",323
"Roxette","2019-03-21",296
"Roxette","2019-03-22",313
"Roxette","2019-03-23",375
"Roxette","2019-03-24",373
"Roxette","2019-03-25",322
"Roxette","2019-03-26",300
"Roxette","2019-03-27",285
"Roxette","2019-03-28",291
"Roxette","2019-03-29",278
"Roxette","2019-03-30",357
"Roxette","2019-03-31",397
"Roxette","2019-04-01",349
"Roxette","2019-04-02",320
"Roxette","2019-04-03",294
"Roxette","2019-04-04",355
"Roxette","2019-04-05",322
"Roxette","2019-04-06",404
"Roxette","2019-04-07",448
"Roxette","2019-04-08",312
"Roxette","2019-04-09",420
"Roxette","2019-04-10",387
"Roxette","2019-04-11",412
"Roxette","2019-04-12",410
"Roxette","2019-04-13",425
"Roxette","2019-04-14",401
"Roxette","2019-04-15",389
"Roxette","2019-04-16",319
"Roxette","2019-04-17",371
"Roxette","2019-04-18",395
"Roxette","2019-04-19",592
"Roxette","2019-04-20",386
"Roxette","2019-04-21",631
"Roxette","2019-04-22",321
"Roxette","2019-04-23",619
"Roxette","2019-04-24",356
"Roxette","2019-04-25",316
"Roxette","2019-04-26",373
"Roxette","2019-04-27",550
"Roxette","2019-04-28",957
"Roxette","2019-04-29",315
"Roxette","2019-04-30",398
"Roxette","2019-05-01",420
"Roxette","2019-05-02",339
"Roxette","2019-05-03",349
"Roxette","2019-05-04",472
"Roxette","2019-05-05",503
"Roxette","2019-05-06",374
"Roxette","2019-05-07",315
"Roxette","2019-05-08",355
"Roxette","2019-05-09",297
"Roxette","2019-05-10",399
"Roxette","2019-05-11",385
"Roxette","2019-05-12",391
"Roxette","2019-05-13",283
"Roxette","2019-05-14",284
"Roxette","2019-05-15",266
"Roxette","2019-05-16",301
"Roxette","2019-05-17",334
"Roxette","2019-05-18",364
"Roxette","2019-05-19",426
"Roxette","2019-05-20",320
"Roxette","2019-05-21",286
