"artista","fecha","visitas"
"Sandie Shaw","2019-01-23",16
"Sandie Shaw","2019-01-24",11
"Sandie Shaw","2019-01-25",15
"Sandie Shaw","2019-01-26",12
"Sandie Shaw","2019-01-27",18
"Sandie Shaw","2019-01-28",8
"Sandie Shaw","2019-01-29",15
"Sandie Shaw","2019-01-30",6
"Sandie Shaw","2019-01-31",22
"Sandie Shaw","2019-02-01",20
"Sandie Shaw","2019-02-02",14
"Sandie Shaw","2019-02-03",13
"Sandie Shaw","2019-02-04",24
"Sandie Shaw","2019-02-05",17
"Sandie Shaw","2019-02-06",7
"Sandie Shaw","2019-02-07",9
"Sandie Shaw","2019-02-08",22
"Sandie Shaw","2019-02-09",21
"Sandie Shaw","2019-02-10",24
"Sandie Shaw","2019-02-11",15
"Sandie Shaw","2019-02-12",14
"Sandie Shaw","2019-02-13",20
"Sandie Shaw","2019-02-14",14
"Sandie Shaw","2019-02-15",16
"Sandie Shaw","2019-02-16",13
"Sandie Shaw","2019-02-17",16
"Sandie Shaw","2019-02-18",8
"Sandie Shaw","2019-02-19",17
"Sandie Shaw","2019-02-20",16
"Sandie Shaw","2019-02-21",20
"Sandie Shaw","2019-02-22",25
"Sandie Shaw","2019-02-23",16
"Sandie Shaw","2019-02-24",17
"Sandie Shaw","2019-02-25",23
"Sandie Shaw","2019-02-26",121
"Sandie Shaw","2019-02-27",29
"Sandie Shaw","2019-02-28",9
"Sandie Shaw","2019-03-01",5
"Sandie Shaw","2019-03-02",14
"Sandie Shaw","2019-03-03",9
"Sandie Shaw","2019-03-04",17
"Sandie Shaw","2019-03-05",8
"Sandie Shaw","2019-03-06",18
"Sandie Shaw","2019-03-07",17
"Sandie Shaw","2019-03-08",12
"Sandie Shaw","2019-03-09",11
"Sandie Shaw","2019-03-10",17
"Sandie Shaw","2019-03-11",8
"Sandie Shaw","2019-03-12",14
"Sandie Shaw","2019-03-13",18
"Sandie Shaw","2019-03-14",8
"Sandie Shaw","2019-03-15",9
"Sandie Shaw","2019-03-16",9
"Sandie Shaw","2019-03-17",11
"Sandie Shaw","2019-03-18",19
"Sandie Shaw","2019-03-19",11
"Sandie Shaw","2019-03-20",15
"Sandie Shaw","2019-03-21",14
"Sandie Shaw","2019-03-22",18
"Sandie Shaw","2019-03-23",9
"Sandie Shaw","2019-03-24",19
"Sandie Shaw","2019-03-25",8
"Sandie Shaw","2019-03-26",13
"Sandie Shaw","2019-03-27",16
"Sandie Shaw","2019-03-28",21
"Sandie Shaw","2019-03-29",15
"Sandie Shaw","2019-03-30",15
"Sandie Shaw","2019-03-31",17
"Sandie Shaw","2019-04-01",10
"Sandie Shaw","2019-04-02",19
"Sandie Shaw","2019-04-03",21
"Sandie Shaw","2019-04-04",19
"Sandie Shaw","2019-04-05",37
"Sandie Shaw","2019-04-06",23
"Sandie Shaw","2019-04-07",20
"Sandie Shaw","2019-04-08",27
"Sandie Shaw","2019-04-09",20
"Sandie Shaw","2019-04-10",4
"Sandie Shaw","2019-04-11",4
"Sandie Shaw","2019-04-12",7
"Sandie Shaw","2019-04-13",14
"Sandie Shaw","2019-04-14",18
"Sandie Shaw","2019-04-15",5
"Sandie Shaw","2019-04-16",13
"Sandie Shaw","2019-04-17",19
"Sandie Shaw","2019-04-18",12
"Sandie Shaw","2019-04-19",10
"Sandie Shaw","2019-04-20",17
"Sandie Shaw","2019-04-21",24
"Sandie Shaw","2019-04-22",14
"Sandie Shaw","2019-04-23",98
"Sandie Shaw","2019-04-24",20
"Sandie Shaw","2019-04-25",5
"Sandie Shaw","2019-04-26",16
"Sandie Shaw","2019-04-27",14
"Sandie Shaw","2019-04-28",6
"Sandie Shaw","2019-04-29",10
"Sandie Shaw","2019-04-30",6
"Sandie Shaw","2019-05-01",13
"Sandie Shaw","2019-05-02",12
"Sandie Shaw","2019-05-03",10
"Sandie Shaw","2019-05-04",14
"Sandie Shaw","2019-05-05",17
"Sandie Shaw","2019-05-06",14
"Sandie Shaw","2019-05-07",121
"Sandie Shaw","2019-05-08",17
"Sandie Shaw","2019-05-09",14
"Sandie Shaw","2019-05-10",22
"Sandie Shaw","2019-05-11",18
"Sandie Shaw","2019-05-12",18
"Sandie Shaw","2019-05-13",21
"Sandie Shaw","2019-05-14",123
"Sandie Shaw","2019-05-15",35
"Sandie Shaw","2019-05-16",30
"Sandie Shaw","2019-05-17",25
"Sandie Shaw","2019-05-18",102
"Sandie Shaw","2019-05-19",62
"Sandie Shaw","2019-05-20",31
"Sandie Shaw","2019-05-21",19
