"artista","fecha","visitas"
"Sandro Giacobbe","2019-01-23",19
"Sandro Giacobbe","2019-01-24",23
"Sandro Giacobbe","2019-01-25",19
"Sandro Giacobbe","2019-01-26",12
"Sandro Giacobbe","2019-01-27",18
"Sandro Giacobbe","2019-01-28",9
"Sandro Giacobbe","2019-01-29",13
"Sandro Giacobbe","2019-01-30",9
"Sandro Giacobbe","2019-01-31",4
"Sandro Giacobbe","2019-02-01",15
"Sandro Giacobbe","2019-02-02",22
"Sandro Giacobbe","2019-02-03",12
"Sandro Giacobbe","2019-02-04",12
"Sandro Giacobbe","2019-02-05",10
"Sandro Giacobbe","2019-02-06",12
"Sandro Giacobbe","2019-02-07",15
"Sandro Giacobbe","2019-02-08",17
"Sandro Giacobbe","2019-02-09",22
"Sandro Giacobbe","2019-02-10",12
"Sandro Giacobbe","2019-02-11",13
"Sandro Giacobbe","2019-02-12",15
"Sandro Giacobbe","2019-02-13",18
"Sandro Giacobbe","2019-02-14",18
"Sandro Giacobbe","2019-02-15",15
"Sandro Giacobbe","2019-02-16",14
"Sandro Giacobbe","2019-02-17",12
"Sandro Giacobbe","2019-02-18",9
"Sandro Giacobbe","2019-02-19",20
"Sandro Giacobbe","2019-02-20",14
"Sandro Giacobbe","2019-02-21",10
"Sandro Giacobbe","2019-02-22",20
"Sandro Giacobbe","2019-02-23",8
"Sandro Giacobbe","2019-02-24",14
"Sandro Giacobbe","2019-02-25",17
"Sandro Giacobbe","2019-02-26",28
"Sandro Giacobbe","2019-02-27",14
"Sandro Giacobbe","2019-02-28",15
"Sandro Giacobbe","2019-03-01",25
"Sandro Giacobbe","2019-03-02",18
"Sandro Giacobbe","2019-03-03",19
"Sandro Giacobbe","2019-03-04",12
"Sandro Giacobbe","2019-03-05",16
"Sandro Giacobbe","2019-03-06",12
"Sandro Giacobbe","2019-03-07",19
"Sandro Giacobbe","2019-03-08",26
"Sandro Giacobbe","2019-03-09",28
"Sandro Giacobbe","2019-03-10",17
"Sandro Giacobbe","2019-03-11",23
"Sandro Giacobbe","2019-03-12",26
"Sandro Giacobbe","2019-03-13",16
"Sandro Giacobbe","2019-03-14",18
"Sandro Giacobbe","2019-03-15",16
"Sandro Giacobbe","2019-03-16",28
"Sandro Giacobbe","2019-03-17",26
"Sandro Giacobbe","2019-03-18",14
"Sandro Giacobbe","2019-03-19",11
"Sandro Giacobbe","2019-03-20",29
"Sandro Giacobbe","2019-03-21",18
"Sandro Giacobbe","2019-03-22",12
"Sandro Giacobbe","2019-03-23",14
"Sandro Giacobbe","2019-03-24",19
"Sandro Giacobbe","2019-03-25",11
"Sandro Giacobbe","2019-03-26",19
"Sandro Giacobbe","2019-03-27",9
"Sandro Giacobbe","2019-03-28",20
"Sandro Giacobbe","2019-03-29",24
"Sandro Giacobbe","2019-03-30",21
"Sandro Giacobbe","2019-03-31",16
"Sandro Giacobbe","2019-04-01",14
"Sandro Giacobbe","2019-04-02",18
"Sandro Giacobbe","2019-04-03",27
"Sandro Giacobbe","2019-04-04",32
"Sandro Giacobbe","2019-04-05",12
"Sandro Giacobbe","2019-04-06",26
"Sandro Giacobbe","2019-04-07",23
"Sandro Giacobbe","2019-04-08",20
"Sandro Giacobbe","2019-04-09",15
"Sandro Giacobbe","2019-04-10",11
"Sandro Giacobbe","2019-04-11",21
"Sandro Giacobbe","2019-04-12",18
"Sandro Giacobbe","2019-04-13",21
"Sandro Giacobbe","2019-04-14",20
"Sandro Giacobbe","2019-04-15",14
"Sandro Giacobbe","2019-04-16",16
"Sandro Giacobbe","2019-04-17",15
"Sandro Giacobbe","2019-04-18",18
"Sandro Giacobbe","2019-04-19",28
"Sandro Giacobbe","2019-04-20",20
"Sandro Giacobbe","2019-04-21",15
"Sandro Giacobbe","2019-04-22",27
"Sandro Giacobbe","2019-04-23",137
"Sandro Giacobbe","2019-04-24",29
"Sandro Giacobbe","2019-04-25",14
"Sandro Giacobbe","2019-04-26",21
"Sandro Giacobbe","2019-04-27",25
"Sandro Giacobbe","2019-04-28",27
"Sandro Giacobbe","2019-04-29",26
"Sandro Giacobbe","2019-04-30",17
"Sandro Giacobbe","2019-05-01",12
"Sandro Giacobbe","2019-05-02",20
"Sandro Giacobbe","2019-05-03",21
"Sandro Giacobbe","2019-05-04",20
"Sandro Giacobbe","2019-05-05",18
"Sandro Giacobbe","2019-05-06",15
"Sandro Giacobbe","2019-05-07",19
"Sandro Giacobbe","2019-05-08",28
"Sandro Giacobbe","2019-05-09",16
"Sandro Giacobbe","2019-05-10",20
"Sandro Giacobbe","2019-05-11",21
"Sandro Giacobbe","2019-05-12",19
"Sandro Giacobbe","2019-05-13",17
"Sandro Giacobbe","2019-05-14",20
"Sandro Giacobbe","2019-05-15",17
"Sandro Giacobbe","2019-05-16",15
"Sandro Giacobbe","2019-05-17",24
"Sandro Giacobbe","2019-05-18",32
"Sandro Giacobbe","2019-05-19",31
"Sandro Giacobbe","2019-05-20",17
"Sandro Giacobbe","2019-05-21",11
