"artista","fecha","visitas"
"The Communards","2019-01-23",48
"The Communards","2019-01-24",54
"The Communards","2019-01-25",62
"The Communards","2019-01-26",62
"The Communards","2019-01-27",55
"The Communards","2019-01-28",43
"The Communards","2019-01-29",46
"The Communards","2019-01-30",46
"The Communards","2019-01-31",55
"The Communards","2019-02-01",91
"The Communards","2019-02-02",70
"The Communards","2019-02-03",52
"The Communards","2019-02-04",47
"The Communards","2019-02-05",47
"The Communards","2019-02-06",47
"The Communards","2019-02-07",44
"The Communards","2019-02-08",55
"The Communards","2019-02-09",52
"The Communards","2019-02-10",85
"The Communards","2019-02-11",50
"The Communards","2019-02-12",51
"The Communards","2019-02-13",50
"The Communards","2019-02-14",60
"The Communards","2019-02-15",63
"The Communards","2019-02-16",82
"The Communards","2019-02-17",50
"The Communards","2019-02-18",48
"The Communards","2019-02-19",45
"The Communards","2019-02-20",57
"The Communards","2019-02-21",55
"The Communards","2019-02-22",60
"The Communards","2019-02-23",58
"The Communards","2019-02-24",100
"The Communards","2019-02-25",47
"The Communards","2019-02-26",46
"The Communards","2019-02-27",50
"The Communards","2019-02-28",36
"The Communards","2019-03-01",69
"The Communards","2019-03-02",44
"The Communards","2019-03-03",66
"The Communards","2019-03-04",52
"The Communards","2019-03-05",54
"The Communards","2019-03-06",47
"The Communards","2019-03-07",29
"The Communards","2019-03-08",44
"The Communards","2019-03-09",61
"The Communards","2019-03-10",53
"The Communards","2019-03-11",33
"The Communards","2019-03-12",45
"The Communards","2019-03-13",57
"The Communards","2019-03-14",38
"The Communards","2019-03-15",69
"The Communards","2019-03-16",83
"The Communards","2019-03-17",72
"The Communards","2019-03-18",44
"The Communards","2019-03-19",43
"The Communards","2019-03-20",52
"The Communards","2019-03-21",39
"The Communards","2019-03-22",41
"The Communards","2019-03-23",72
"The Communards","2019-03-24",54
"The Communards","2019-03-25",50
"The Communards","2019-03-26",47
"The Communards","2019-03-27",58
"The Communards","2019-03-28",50
"The Communards","2019-03-29",67
"The Communards","2019-03-30",36
"The Communards","2019-03-31",58
"The Communards","2019-04-01",47
"The Communards","2019-04-02",47
"The Communards","2019-04-03",44
"The Communards","2019-04-04",40
"The Communards","2019-04-05",40
"The Communards","2019-04-06",67
"The Communards","2019-04-07",82
"The Communards","2019-04-08",46
"The Communards","2019-04-09",53
"The Communards","2019-04-10",43
"The Communards","2019-04-11",39
"The Communards","2019-04-12",77
"The Communards","2019-04-13",54
"The Communards","2019-04-14",64
"The Communards","2019-04-15",41
"The Communards","2019-04-16",58
"The Communards","2019-04-17",47
"The Communards","2019-04-18",57
"The Communards","2019-04-19",68
"The Communards","2019-04-20",93
"The Communards","2019-04-21",53
"The Communards","2019-04-22",57
"The Communards","2019-04-23",124
"The Communards","2019-04-24",60
"The Communards","2019-04-25",68
"The Communards","2019-04-26",76
"The Communards","2019-04-27",60
"The Communards","2019-04-28",54
"The Communards","2019-04-29",34
"The Communards","2019-04-30",41
"The Communards","2019-05-01",52
"The Communards","2019-05-02",48
"The Communards","2019-05-03",46
"The Communards","2019-05-04",72
"The Communards","2019-05-05",54
"The Communards","2019-05-06",45
"The Communards","2019-05-07",92
"The Communards","2019-05-08",44
"The Communards","2019-05-09",55
"The Communards","2019-05-10",43
"The Communards","2019-05-11",72
"The Communards","2019-05-12",74
"The Communards","2019-05-13",39
"The Communards","2019-05-14",44
"The Communards","2019-05-15",36
"The Communards","2019-05-16",33
"The Communards","2019-05-17",52
"The Communards","2019-05-18",79
"The Communards","2019-05-19",51
"The Communards","2019-05-20",61
"The Communards","2019-05-21",62
