"artista","fecha","visitas"
"Ana Torroja","2019-02-21",786
"Ana Torroja","2019-02-22",1086
"Ana Torroja","2019-02-23",642
"Ana Torroja","2019-02-24",1977
"Ana Torroja","2019-02-25",615
"Ana Torroja","2019-02-26",986
"Ana Torroja","2019-02-27",791
"Ana Torroja","2019-02-28",558
"Ana Torroja","2019-03-01",771
"Ana Torroja","2019-03-02",606
"Ana Torroja","2019-03-03",564
"Ana Torroja","2019-03-04",531
"Ana Torroja","2019-03-05",609
"Ana Torroja","2019-03-06",496
"Ana Torroja","2019-03-07",21166
"Ana Torroja","2019-03-08",4535
"Ana Torroja","2019-03-09",7674
"Ana Torroja","2019-03-10",1323
"Ana Torroja","2019-03-11",753
"Ana Torroja","2019-03-12",650
"Ana Torroja","2019-03-13",669
"Ana Torroja","2019-03-14",575
"Ana Torroja","2019-03-15",634
"Ana Torroja","2019-03-16",504
"Ana Torroja","2019-03-17",693
"Ana Torroja","2019-03-18",523
"Ana Torroja","2019-03-19",425
"Ana Torroja","2019-03-20",468
"Ana Torroja","2019-03-21",732
"Ana Torroja","2019-03-22",2293
"Ana Torroja","2019-03-23",819
"Ana Torroja","2019-03-24",968
"Ana Torroja","2019-03-25",594
"Ana Torroja","2019-03-26",469
"Ana Torroja","2019-03-27",522
"Ana Torroja","2019-03-28",2187
"Ana Torroja","2019-03-29",1252
"Ana Torroja","2019-03-30",1062
"Ana Torroja","2019-03-31",964
"Ana Torroja","2019-04-01",753
"Ana Torroja","2019-04-02",492
"Ana Torroja","2019-04-03",578
"Ana Torroja","2019-04-04",578
"Ana Torroja","2019-04-05",634
"Ana Torroja","2019-04-06",768
"Ana Torroja","2019-04-07",603
"Ana Torroja","2019-04-08",828
"Ana Torroja","2019-04-09",568
"Ana Torroja","2019-04-10",590
"Ana Torroja","2019-04-11",741
"Ana Torroja","2019-04-12",3835
"Ana Torroja","2019-04-13",1402
"Ana Torroja","2019-04-14",827
"Ana Torroja","2019-04-15",575
"Ana Torroja","2019-04-16",416
"Ana Torroja","2019-04-17",436
"Ana Torroja","2019-04-18",480
"Ana Torroja","2019-04-19",539
"Ana Torroja","2019-04-20",554
"Ana Torroja","2019-04-21",1227
"Ana Torroja","2019-04-22",784
"Ana Torroja","2019-04-23",465
"Ana Torroja","2019-04-24",386
"Ana Torroja","2019-04-25",832
"Ana Torroja","2019-04-26",552
"Ana Torroja","2019-04-27",510
"Ana Torroja","2019-04-28",492
"Ana Torroja","2019-04-29",430
"Ana Torroja","2019-04-30",439
"Ana Torroja","2019-05-01",564
"Ana Torroja","2019-05-02",465
"Ana Torroja","2019-05-03",497
"Ana Torroja","2019-05-04",619
"Ana Torroja","2019-05-05",672
"Ana Torroja","2019-05-06",505
"Ana Torroja","2019-05-07",943
"Ana Torroja","2019-05-08",460
"Ana Torroja","2019-05-09",553
"Ana Torroja","2019-05-10",493
"Ana Torroja","2019-05-11",698
"Ana Torroja","2019-05-12",777
"Ana Torroja","2019-05-13",1859
"Ana Torroja","2019-05-14",566
"Ana Torroja","2019-05-15",530
"Ana Torroja","2019-05-16",659
"Ana Torroja","2019-05-17",557
"Ana Torroja","2019-05-18",635
"Ana Torroja","2019-05-19",944
"Ana Torroja","2019-05-20",554
"Ana Torroja","2019-05-21",597
"Ana Torroja","2019-05-22",445
"Ana Torroja","2019-05-23",421
"Ana Torroja","2019-05-24",518
"Ana Torroja","2019-05-25",608
"Ana Torroja","2019-05-26",550
"Ana Torroja","2019-05-27",506
"Ana Torroja","2019-05-28",515
