"artista","fecha","visitas"
"Cómplices","2019-02-21",87
"Cómplices","2019-02-22",70
"Cómplices","2019-02-23",86
"Cómplices","2019-02-24",79
"Cómplices","2019-02-25",59
"Cómplices","2019-02-26",74
"Cómplices","2019-02-27",55
"Cómplices","2019-02-28",83
"Cómplices","2019-03-01",84
"Cómplices","2019-03-02",144
"Cómplices","2019-03-03",125
"Cómplices","2019-03-04",104
"Cómplices","2019-03-05",87
"Cómplices","2019-03-06",102
"Cómplices","2019-03-07",88
"Cómplices","2019-03-08",87
"Cómplices","2019-03-09",55
"Cómplices","2019-03-10",75
"Cómplices","2019-03-11",93
"Cómplices","2019-03-12",84
"Cómplices","2019-03-13",62
"Cómplices","2019-03-14",124
"Cómplices","2019-03-15",92
"Cómplices","2019-03-16",80
"Cómplices","2019-03-17",70
"Cómplices","2019-03-18",75
"Cómplices","2019-03-19",71
"Cómplices","2019-03-20",67
"Cómplices","2019-03-21",78
"Cómplices","2019-03-22",123
"Cómplices","2019-03-23",89
"Cómplices","2019-03-24",70
"Cómplices","2019-03-25",65
"Cómplices","2019-03-26",80
"Cómplices","2019-03-27",73
"Cómplices","2019-03-28",79
"Cómplices","2019-03-29",71
"Cómplices","2019-03-30",73
"Cómplices","2019-03-31",72
"Cómplices","2019-04-01",65
"Cómplices","2019-04-02",59
"Cómplices","2019-04-03",83
"Cómplices","2019-04-04",60
"Cómplices","2019-04-05",73
"Cómplices","2019-04-06",72
"Cómplices","2019-04-07",152
"Cómplices","2019-04-08",76
"Cómplices","2019-04-09",117
"Cómplices","2019-04-10",75
"Cómplices","2019-04-11",70
"Cómplices","2019-04-12",68
"Cómplices","2019-04-13",84
"Cómplices","2019-04-14",75
"Cómplices","2019-04-15",65
"Cómplices","2019-04-16",73
"Cómplices","2019-04-17",51
"Cómplices","2019-04-18",71
"Cómplices","2019-04-19",71
"Cómplices","2019-04-20",78
"Cómplices","2019-04-21",101
"Cómplices","2019-04-22",45
"Cómplices","2019-04-23",54
"Cómplices","2019-04-24",59
"Cómplices","2019-04-25",249
"Cómplices","2019-04-26",171
"Cómplices","2019-04-27",111
"Cómplices","2019-04-28",72
"Cómplices","2019-04-29",68
"Cómplices","2019-04-30",75
"Cómplices","2019-05-01",101
"Cómplices","2019-05-02",82
"Cómplices","2019-05-03",70
"Cómplices","2019-05-04",68
"Cómplices","2019-05-05",99
"Cómplices","2019-05-06",61
"Cómplices","2019-05-07",61
"Cómplices","2019-05-08",77
"Cómplices","2019-05-09",64
"Cómplices","2019-05-10",63
"Cómplices","2019-05-11",102
"Cómplices","2019-05-12",83
"Cómplices","2019-05-13",71
"Cómplices","2019-05-14",46
"Cómplices","2019-05-15",75
"Cómplices","2019-05-16",87
"Cómplices","2019-05-17",90
"Cómplices","2019-05-18",91
"Cómplices","2019-05-19",62
"Cómplices","2019-05-20",65
"Cómplices","2019-05-21",160
"Cómplices","2019-05-22",74
"Cómplices","2019-05-23",94
"Cómplices","2019-05-24",101
"Cómplices","2019-05-25",83
"Cómplices","2019-05-26",85
"Cómplices","2019-05-27",51
"Cómplices","2019-05-28",52
