"artista","fecha","visitas"
"Greta y los Garbo","2019-02-21",34
"Greta y los Garbo","2019-02-22",25
"Greta y los Garbo","2019-02-23",17
"Greta y los Garbo","2019-02-24",34
"Greta y los Garbo","2019-02-25",23
"Greta y los Garbo","2019-02-26",23
"Greta y los Garbo","2019-02-27",25
"Greta y los Garbo","2019-02-28",18
"Greta y los Garbo","2019-03-01",24
"Greta y los Garbo","2019-03-02",8
"Greta y los Garbo","2019-03-03",28
"Greta y los Garbo","2019-03-04",17
"Greta y los Garbo","2019-03-05",25
"Greta y los Garbo","2019-03-06",18
"Greta y los Garbo","2019-03-07",8
"Greta y los Garbo","2019-03-08",24
"Greta y los Garbo","2019-03-09",34
"Greta y los Garbo","2019-03-10",19
"Greta y los Garbo","2019-03-11",13
"Greta y los Garbo","2019-03-12",17
"Greta y los Garbo","2019-03-13",26
"Greta y los Garbo","2019-03-14",13
"Greta y los Garbo","2019-03-15",28
"Greta y los Garbo","2019-03-16",20
"Greta y los Garbo","2019-03-17",23
"Greta y los Garbo","2019-03-18",22
"Greta y los Garbo","2019-03-19",17
"Greta y los Garbo","2019-03-20",27
"Greta y los Garbo","2019-03-21",18
"Greta y los Garbo","2019-03-22",29
"Greta y los Garbo","2019-03-23",16
"Greta y los Garbo","2019-03-24",22
"Greta y los Garbo","2019-03-25",16
"Greta y los Garbo","2019-03-26",18
"Greta y los Garbo","2019-03-27",14
"Greta y los Garbo","2019-03-28",24
"Greta y los Garbo","2019-03-29",24
"Greta y los Garbo","2019-03-30",17
"Greta y los Garbo","2019-03-31",27
"Greta y los Garbo","2019-04-01",10
"Greta y los Garbo","2019-04-02",12
"Greta y los Garbo","2019-04-03",15
"Greta y los Garbo","2019-04-04",12
"Greta y los Garbo","2019-04-05",25
"Greta y los Garbo","2019-04-06",25
"Greta y los Garbo","2019-04-07",16
"Greta y los Garbo","2019-04-08",27
"Greta y los Garbo","2019-04-09",12
"Greta y los Garbo","2019-04-10",13
"Greta y los Garbo","2019-04-11",19
"Greta y los Garbo","2019-04-12",58
"Greta y los Garbo","2019-04-13",17
"Greta y los Garbo","2019-04-14",20
"Greta y los Garbo","2019-04-15",13
"Greta y los Garbo","2019-04-16",21
"Greta y los Garbo","2019-04-17",23
"Greta y los Garbo","2019-04-18",25
"Greta y los Garbo","2019-04-19",22
"Greta y los Garbo","2019-04-20",19
"Greta y los Garbo","2019-04-21",33
"Greta y los Garbo","2019-04-22",16
"Greta y los Garbo","2019-04-23",15
"Greta y los Garbo","2019-04-24",13
"Greta y los Garbo","2019-04-25",18
"Greta y los Garbo","2019-04-26",15
"Greta y los Garbo","2019-04-27",25
"Greta y los Garbo","2019-04-28",25
"Greta y los Garbo","2019-04-29",14
"Greta y los Garbo","2019-04-30",21
"Greta y los Garbo","2019-05-01",23
"Greta y los Garbo","2019-05-02",14
"Greta y los Garbo","2019-05-03",16
"Greta y los Garbo","2019-05-04",15
"Greta y los Garbo","2019-05-05",16
"Greta y los Garbo","2019-05-06",9
"Greta y los Garbo","2019-05-07",23
"Greta y los Garbo","2019-05-08",23
"Greta y los Garbo","2019-05-09",33
"Greta y los Garbo","2019-05-10",19
"Greta y los Garbo","2019-05-11",18
"Greta y los Garbo","2019-05-12",20
"Greta y los Garbo","2019-05-13",14
"Greta y los Garbo","2019-05-14",10
"Greta y los Garbo","2019-05-15",23
"Greta y los Garbo","2019-05-16",23
"Greta y los Garbo","2019-05-17",19
"Greta y los Garbo","2019-05-18",27
"Greta y los Garbo","2019-05-19",17
"Greta y los Garbo","2019-05-20",12
"Greta y los Garbo","2019-05-21",336
"Greta y los Garbo","2019-05-22",56
"Greta y los Garbo","2019-05-23",20
"Greta y los Garbo","2019-05-24",38
"Greta y los Garbo","2019-05-25",25
"Greta y los Garbo","2019-05-26",35
"Greta y los Garbo","2019-05-27",21
"Greta y los Garbo","2019-05-28",25
