"artista","fecha","visitas"
"Jarabedepalo","2019-02-21",308
"Jarabedepalo","2019-02-22",267
"Jarabedepalo","2019-02-23",255
"Jarabedepalo","2019-02-24",278
"Jarabedepalo","2019-02-25",223
"Jarabedepalo","2019-02-26",238
"Jarabedepalo","2019-02-27",241
"Jarabedepalo","2019-02-28",224
"Jarabedepalo","2019-03-01",441
"Jarabedepalo","2019-03-02",250
"Jarabedepalo","2019-03-03",288
"Jarabedepalo","2019-03-04",235
"Jarabedepalo","2019-03-05",241
"Jarabedepalo","2019-03-06",228
"Jarabedepalo","2019-03-07",238
"Jarabedepalo","2019-03-08",277
"Jarabedepalo","2019-03-09",241
"Jarabedepalo","2019-03-10",252
"Jarabedepalo","2019-03-11",240
"Jarabedepalo","2019-03-12",265
"Jarabedepalo","2019-03-13",227
"Jarabedepalo","2019-03-14",239
"Jarabedepalo","2019-03-15",609
"Jarabedepalo","2019-03-16",406
"Jarabedepalo","2019-03-17",326
"Jarabedepalo","2019-03-18",285
"Jarabedepalo","2019-03-19",269
"Jarabedepalo","2019-03-20",251
"Jarabedepalo","2019-03-21",326
"Jarabedepalo","2019-03-22",256
"Jarabedepalo","2019-03-23",250
"Jarabedepalo","2019-03-24",268
"Jarabedepalo","2019-03-25",274
"Jarabedepalo","2019-03-26",234
"Jarabedepalo","2019-03-27",230
"Jarabedepalo","2019-03-28",286
"Jarabedepalo","2019-03-29",235
"Jarabedepalo","2019-03-30",292
"Jarabedepalo","2019-03-31",392
"Jarabedepalo","2019-04-01",330
"Jarabedepalo","2019-04-02",365
"Jarabedepalo","2019-04-03",281
"Jarabedepalo","2019-04-04",287
"Jarabedepalo","2019-04-05",420
"Jarabedepalo","2019-04-06",360
"Jarabedepalo","2019-04-07",326
"Jarabedepalo","2019-04-08",259
"Jarabedepalo","2019-04-09",254
"Jarabedepalo","2019-04-10",198
"Jarabedepalo","2019-04-11",235
"Jarabedepalo","2019-04-12",235
"Jarabedepalo","2019-04-13",270
"Jarabedepalo","2019-04-14",300
"Jarabedepalo","2019-04-15",213
"Jarabedepalo","2019-04-16",203
"Jarabedepalo","2019-04-17",209
"Jarabedepalo","2019-04-18",230
"Jarabedepalo","2019-04-19",224
"Jarabedepalo","2019-04-20",289
"Jarabedepalo","2019-04-21",240
"Jarabedepalo","2019-04-22",218
"Jarabedepalo","2019-04-23",250
"Jarabedepalo","2019-04-24",269
"Jarabedepalo","2019-04-25",205
"Jarabedepalo","2019-04-26",265
"Jarabedepalo","2019-04-27",241
"Jarabedepalo","2019-04-28",238
"Jarabedepalo","2019-04-29",218
"Jarabedepalo","2019-04-30",226
"Jarabedepalo","2019-05-01",250
"Jarabedepalo","2019-05-02",229
"Jarabedepalo","2019-05-03",242
"Jarabedepalo","2019-05-04",273
"Jarabedepalo","2019-05-05",262
"Jarabedepalo","2019-05-06",224
"Jarabedepalo","2019-05-07",191
"Jarabedepalo","2019-05-08",213
"Jarabedepalo","2019-05-09",242
"Jarabedepalo","2019-05-10",261
"Jarabedepalo","2019-05-11",237
"Jarabedepalo","2019-05-12",280
"Jarabedepalo","2019-05-13",205
"Jarabedepalo","2019-05-14",266
"Jarabedepalo","2019-05-15",270
"Jarabedepalo","2019-05-16",260
"Jarabedepalo","2019-05-17",256
"Jarabedepalo","2019-05-18",266
"Jarabedepalo","2019-05-19",282
"Jarabedepalo","2019-05-20",271
"Jarabedepalo","2019-05-21",289
"Jarabedepalo","2019-05-22",199
"Jarabedepalo","2019-05-23",226
"Jarabedepalo","2019-05-24",253
"Jarabedepalo","2019-05-25",257
"Jarabedepalo","2019-05-26",231
"Jarabedepalo","2019-05-27",226
"Jarabedepalo","2019-05-28",208
