"artista","fecha","visitas"
"José Ángel Hevia","2019-02-21",155
"José Ángel Hevia","2019-02-22",82
"José Ángel Hevia","2019-02-23",32
"José Ángel Hevia","2019-02-24",36
"José Ángel Hevia","2019-02-25",28
"José Ángel Hevia","2019-02-26",52
"José Ángel Hevia","2019-02-27",479
"José Ángel Hevia","2019-02-28",122
"José Ángel Hevia","2019-03-01",52
"José Ángel Hevia","2019-03-02",41
"José Ángel Hevia","2019-03-03",39
"José Ángel Hevia","2019-03-04",354
"José Ángel Hevia","2019-03-05",79
"José Ángel Hevia","2019-03-06",41
"José Ángel Hevia","2019-03-07",44
"José Ángel Hevia","2019-03-08",45
"José Ángel Hevia","2019-03-09",46
"José Ángel Hevia","2019-03-10",78
"José Ángel Hevia","2019-03-11",36
"José Ángel Hevia","2019-03-12",57
"José Ángel Hevia","2019-03-13",46
"José Ángel Hevia","2019-03-14",37
"José Ángel Hevia","2019-03-15",44
"José Ángel Hevia","2019-03-16",45
"José Ángel Hevia","2019-03-17",48
"José Ángel Hevia","2019-03-18",44
"José Ángel Hevia","2019-03-19",43
"José Ángel Hevia","2019-03-20",81
"José Ángel Hevia","2019-03-21",50
"José Ángel Hevia","2019-03-22",86
"José Ángel Hevia","2019-03-23",55
"José Ángel Hevia","2019-03-24",52
"José Ángel Hevia","2019-03-25",36
"José Ángel Hevia","2019-03-26",38
"José Ángel Hevia","2019-03-27",25
"José Ángel Hevia","2019-03-28",61
"José Ángel Hevia","2019-03-29",25
"José Ángel Hevia","2019-03-30",40
"José Ángel Hevia","2019-03-31",40
"José Ángel Hevia","2019-04-01",36
"José Ángel Hevia","2019-04-02",94
"José Ángel Hevia","2019-04-03",45
"José Ángel Hevia","2019-04-04",39
"José Ángel Hevia","2019-04-05",41
"José Ángel Hevia","2019-04-06",52
"José Ángel Hevia","2019-04-07",36
"José Ángel Hevia","2019-04-08",43
"José Ángel Hevia","2019-04-09",41
"José Ángel Hevia","2019-04-10",34
"José Ángel Hevia","2019-04-11",40
"José Ángel Hevia","2019-04-12",23
"José Ángel Hevia","2019-04-13",36
"José Ángel Hevia","2019-04-14",33
"José Ángel Hevia","2019-04-15",31
"José Ángel Hevia","2019-04-16",46
"José Ángel Hevia","2019-04-17",31
"José Ángel Hevia","2019-04-18",42
"José Ángel Hevia","2019-04-19",47
"José Ángel Hevia","2019-04-20",22
"José Ángel Hevia","2019-04-21",32
"José Ángel Hevia","2019-04-22",36
"José Ángel Hevia","2019-04-23",29
"José Ángel Hevia","2019-04-24",31
"José Ángel Hevia","2019-04-25",32
"José Ángel Hevia","2019-04-26",50
"José Ángel Hevia","2019-04-27",33
"José Ángel Hevia","2019-04-28",29
"José Ángel Hevia","2019-04-29",42
"José Ángel Hevia","2019-04-30",36
"José Ángel Hevia","2019-05-01",53
"José Ángel Hevia","2019-05-02",25
"José Ángel Hevia","2019-05-03",49
"José Ángel Hevia","2019-05-04",41
"José Ángel Hevia","2019-05-05",53
"José Ángel Hevia","2019-05-06",39
"José Ángel Hevia","2019-05-07",23
"José Ángel Hevia","2019-05-08",28
"José Ángel Hevia","2019-05-09",37
"José Ángel Hevia","2019-05-10",41
"José Ángel Hevia","2019-05-11",44
"José Ángel Hevia","2019-05-12",49
"José Ángel Hevia","2019-05-13",50
"José Ángel Hevia","2019-05-14",37
"José Ángel Hevia","2019-05-15",37
"José Ángel Hevia","2019-05-16",25
"José Ángel Hevia","2019-05-17",43
"José Ángel Hevia","2019-05-18",45
"José Ángel Hevia","2019-05-19",37
"José Ángel Hevia","2019-05-20",49
"José Ángel Hevia","2019-05-21",260
"José Ángel Hevia","2019-05-22",70
"José Ángel Hevia","2019-05-23",37
"José Ángel Hevia","2019-05-24",23
"José Ángel Hevia","2019-05-25",34
"José Ángel Hevia","2019-05-26",94
"José Ángel Hevia","2019-05-27",34
"José Ángel Hevia","2019-05-28",34
