"artista","fecha","visitas"
"La Guardia","2019-02-21",50
"La Guardia","2019-02-22",57
"La Guardia","2019-02-23",42
"La Guardia","2019-02-24",67
"La Guardia","2019-02-25",41
"La Guardia","2019-02-26",45
"La Guardia","2019-02-27",30
"La Guardia","2019-02-28",38
"La Guardia","2019-03-01",61
"La Guardia","2019-03-02",36
"La Guardia","2019-03-03",33
"La Guardia","2019-03-04",36
"La Guardia","2019-03-05",59
"La Guardia","2019-03-06",67
"La Guardia","2019-03-07",35
"La Guardia","2019-03-08",28
"La Guardia","2019-03-09",48
"La Guardia","2019-03-10",58
"La Guardia","2019-03-11",48
"La Guardia","2019-03-12",49
"La Guardia","2019-03-13",33
"La Guardia","2019-03-14",35
"La Guardia","2019-03-15",34
"La Guardia","2019-03-16",47
"La Guardia","2019-03-17",65
"La Guardia","2019-03-18",45
"La Guardia","2019-03-19",39
"La Guardia","2019-03-20",54
"La Guardia","2019-03-21",248
"La Guardia","2019-03-22",222
"La Guardia","2019-03-23",107
"La Guardia","2019-03-24",96
"La Guardia","2019-03-25",65
"La Guardia","2019-03-26",54
"La Guardia","2019-03-27",78
"La Guardia","2019-03-28",59
"La Guardia","2019-03-29",65
"La Guardia","2019-03-30",60
"La Guardia","2019-03-31",65
"La Guardia","2019-04-01",49
"La Guardia","2019-04-02",35
"La Guardia","2019-04-03",46
"La Guardia","2019-04-04",41
"La Guardia","2019-04-05",39
"La Guardia","2019-04-06",49
"La Guardia","2019-04-07",63
"La Guardia","2019-04-08",43
"La Guardia","2019-04-09",51
"La Guardia","2019-04-10",48
"La Guardia","2019-04-11",46
"La Guardia","2019-04-12",58
"La Guardia","2019-04-13",88
"La Guardia","2019-04-14",44
"La Guardia","2019-04-15",34
"La Guardia","2019-04-16",42
"La Guardia","2019-04-17",60
"La Guardia","2019-04-18",56
"La Guardia","2019-04-19",73
"La Guardia","2019-04-20",95
"La Guardia","2019-04-21",61
"La Guardia","2019-04-22",36
"La Guardia","2019-04-23",56
"La Guardia","2019-04-24",40
"La Guardia","2019-04-25",41
"La Guardia","2019-04-26",54
"La Guardia","2019-04-27",105
"La Guardia","2019-04-28",71
"La Guardia","2019-04-29",36
"La Guardia","2019-04-30",60
"La Guardia","2019-05-01",41
"La Guardia","2019-05-02",51
"La Guardia","2019-05-03",60
"La Guardia","2019-05-04",94
"La Guardia","2019-05-05",93
"La Guardia","2019-05-06",36
"La Guardia","2019-05-07",38
"La Guardia","2019-05-08",51
"La Guardia","2019-05-09",56
"La Guardia","2019-05-10",80
"La Guardia","2019-05-11",64
"La Guardia","2019-05-12",55
"La Guardia","2019-05-13",45
"La Guardia","2019-05-14",53
"La Guardia","2019-05-15",58
"La Guardia","2019-05-16",51
"La Guardia","2019-05-17",60
"La Guardia","2019-05-18",59
"La Guardia","2019-05-19",48
"La Guardia","2019-05-20",54
"La Guardia","2019-05-21",319
"La Guardia","2019-05-22",61
"La Guardia","2019-05-23",84
"La Guardia","2019-05-24",156
"La Guardia","2019-05-25",84
"La Guardia","2019-05-26",60
"La Guardia","2019-05-27",40
"La Guardia","2019-05-28",38
