"artista","fecha","visitas"
"La trampa","2019-02-21",3
"La trampa","2019-02-22",6
"La trampa","2019-02-23",0
"La trampa","2019-02-24",2
"La trampa","2019-02-25",1
"La trampa","2019-02-26",0
"La trampa","2019-02-27",2
"La trampa","2019-02-28",3
"La trampa","2019-03-01",3
"La trampa","2019-03-02",2
"La trampa","2019-03-03",0
"La trampa","2019-03-04",4
"La trampa","2019-03-05",8
"La trampa","2019-03-06",5
"La trampa","2019-03-07",2
"La trampa","2019-03-09",6
"La trampa","2019-03-10",6
"La trampa","2019-03-11",1
"La trampa","2019-03-12",3
"La trampa","2019-03-14",3
"La trampa","2019-03-15",1
"La trampa","2019-03-17",3
"La trampa","2019-03-18",4
"La trampa","2019-03-19",3
"La trampa","2019-03-20",2
"La trampa","2019-03-21",2
"La trampa","2019-03-22",1
"La trampa","2019-03-23",0
"La trampa","2019-03-24",1
"La trampa","2019-03-25",3
"La trampa","2019-03-26",5
"La trampa","2019-03-27",3
"La trampa","2019-03-28",9
"La trampa","2019-03-29",1
"La trampa","2019-03-30",2
"La trampa","2019-03-31",0
"La trampa","2019-04-01",2
"La trampa","2019-04-02",6
"La trampa","2019-04-03",4
"La trampa","2019-04-04",2
"La trampa","2019-04-05",4
"La trampa","2019-04-06",3
"La trampa","2019-04-07",3
"La trampa","2019-04-08",5
"La trampa","2019-04-09",2
"La trampa","2019-04-10",3
"La trampa","2019-04-11",4
"La trampa","2019-04-12",3
"La trampa","2019-04-13",5
"La trampa","2019-04-14",1
"La trampa","2019-04-15",5
"La trampa","2019-04-16",2
"La trampa","2019-04-17",6
"La trampa","2019-04-18",9
"La trampa","2019-04-19",1
"La trampa","2019-04-20",0
"La trampa","2019-04-21",10
"La trampa","2019-04-22",2
"La trampa","2019-04-23",2
"La trampa","2019-04-24",1
"La trampa","2019-04-25",2
"La trampa","2019-04-26",2
"La trampa","2019-04-27",0
"La trampa","2019-04-28",0
"La trampa","2019-04-30",2
"La trampa","2019-05-01",4
"La trampa","2019-05-02",1
"La trampa","2019-05-03",1
"La trampa","2019-05-04",0
"La trampa","2019-05-05",1
"La trampa","2019-05-06",5
"La trampa","2019-05-07",0
"La trampa","2019-05-08",4
"La trampa","2019-05-09",4
"La trampa","2019-05-10",2
"La trampa","2019-05-11",5
"La trampa","2019-05-12",3
"La trampa","2019-05-13",1
"La trampa","2019-05-14",4
"La trampa","2019-05-15",1
"La trampa","2019-05-16",2
"La trampa","2019-05-17",0
"La trampa","2019-05-18",1
"La trampa","2019-05-19",0
"La trampa","2019-05-21",2
"La trampa","2019-05-22",1
"La trampa","2019-05-23",0
"La trampa","2019-05-24",1
"La trampa","2019-05-25",1
"La trampa","2019-05-26",3
"La trampa","2019-05-27",3
"La trampa","2019-05-28",4
