"artista","fecha","visitas"
"Los Flechazos","2019-02-21",15
"Los Flechazos","2019-02-22",15
"Los Flechazos","2019-02-23",10
"Los Flechazos","2019-02-24",17
"Los Flechazos","2019-02-25",14
"Los Flechazos","2019-02-26",12
"Los Flechazos","2019-02-27",9
"Los Flechazos","2019-02-28",20
"Los Flechazos","2019-03-01",12
"Los Flechazos","2019-03-02",39
"Los Flechazos","2019-03-03",15
"Los Flechazos","2019-03-04",21
"Los Flechazos","2019-03-05",22
"Los Flechazos","2019-03-06",15
"Los Flechazos","2019-03-07",22
"Los Flechazos","2019-03-08",13
"Los Flechazos","2019-03-09",17
"Los Flechazos","2019-03-10",18
"Los Flechazos","2019-03-11",11
"Los Flechazos","2019-03-12",17
"Los Flechazos","2019-03-13",10
"Los Flechazos","2019-03-14",10
"Los Flechazos","2019-03-15",18
"Los Flechazos","2019-03-16",30
"Los Flechazos","2019-03-17",23
"Los Flechazos","2019-03-18",9
"Los Flechazos","2019-03-19",8
"Los Flechazos","2019-03-20",12
"Los Flechazos","2019-03-21",22
"Los Flechazos","2019-03-22",15
"Los Flechazos","2019-03-23",16
"Los Flechazos","2019-03-24",10
"Los Flechazos","2019-03-25",20
"Los Flechazos","2019-03-26",21
"Los Flechazos","2019-03-27",14
"Los Flechazos","2019-03-28",13
"Los Flechazos","2019-03-29",9
"Los Flechazos","2019-03-30",4
"Los Flechazos","2019-03-31",9
"Los Flechazos","2019-04-01",11
"Los Flechazos","2019-04-02",11
"Los Flechazos","2019-04-03",12
"Los Flechazos","2019-04-04",13
"Los Flechazos","2019-04-05",10
"Los Flechazos","2019-04-06",15
"Los Flechazos","2019-04-07",18
"Los Flechazos","2019-04-08",15
"Los Flechazos","2019-04-09",14
"Los Flechazos","2019-04-10",15
"Los Flechazos","2019-04-11",9
"Los Flechazos","2019-04-12",28
"Los Flechazos","2019-04-13",20
"Los Flechazos","2019-04-14",18
"Los Flechazos","2019-04-15",27
"Los Flechazos","2019-04-16",11
"Los Flechazos","2019-04-17",13
"Los Flechazos","2019-04-18",10
"Los Flechazos","2019-04-19",20
"Los Flechazos","2019-04-20",10
"Los Flechazos","2019-04-21",11
"Los Flechazos","2019-04-22",10
"Los Flechazos","2019-04-23",10
"Los Flechazos","2019-04-24",7
"Los Flechazos","2019-04-25",7
"Los Flechazos","2019-04-26",11
"Los Flechazos","2019-04-27",9
"Los Flechazos","2019-04-28",13
"Los Flechazos","2019-04-29",10
"Los Flechazos","2019-04-30",13
"Los Flechazos","2019-05-01",11
"Los Flechazos","2019-05-02",11
"Los Flechazos","2019-05-03",16
"Los Flechazos","2019-05-04",22
"Los Flechazos","2019-05-05",10
"Los Flechazos","2019-05-06",11
"Los Flechazos","2019-05-07",14
"Los Flechazos","2019-05-08",8
"Los Flechazos","2019-05-09",11
"Los Flechazos","2019-05-10",16
"Los Flechazos","2019-05-11",19
"Los Flechazos","2019-05-12",11
"Los Flechazos","2019-05-13",12
"Los Flechazos","2019-05-14",14
"Los Flechazos","2019-05-15",11
"Los Flechazos","2019-05-16",9
"Los Flechazos","2019-05-17",13
"Los Flechazos","2019-05-18",12
"Los Flechazos","2019-05-19",13
"Los Flechazos","2019-05-20",14
"Los Flechazos","2019-05-21",187
"Los Flechazos","2019-05-22",133
"Los Flechazos","2019-05-23",140
"Los Flechazos","2019-05-24",58
"Los Flechazos","2019-05-25",29
"Los Flechazos","2019-05-26",18
"Los Flechazos","2019-05-27",18
"Los Flechazos","2019-05-28",46
