"artista","fecha","visitas"
"Los Inhumanos","2019-02-21",83
"Los Inhumanos","2019-02-22",72
"Los Inhumanos","2019-02-23",197
"Los Inhumanos","2019-02-24",151
"Los Inhumanos","2019-02-25",93
"Los Inhumanos","2019-02-26",100
"Los Inhumanos","2019-02-27",74
"Los Inhumanos","2019-02-28",377
"Los Inhumanos","2019-03-01",369
"Los Inhumanos","2019-03-02",277
"Los Inhumanos","2019-03-03",149
"Los Inhumanos","2019-03-04",80
"Los Inhumanos","2019-03-05",58
"Los Inhumanos","2019-03-06",49
"Los Inhumanos","2019-03-07",46
"Los Inhumanos","2019-03-08",46
"Los Inhumanos","2019-03-09",63
"Los Inhumanos","2019-03-10",117
"Los Inhumanos","2019-03-11",57
"Los Inhumanos","2019-03-12",74
"Los Inhumanos","2019-03-13",32
"Los Inhumanos","2019-03-14",59
"Los Inhumanos","2019-03-15",68
"Los Inhumanos","2019-03-16",55
"Los Inhumanos","2019-03-17",79
"Los Inhumanos","2019-03-18",63
"Los Inhumanos","2019-03-19",57
"Los Inhumanos","2019-03-20",52
"Los Inhumanos","2019-03-21",54
"Los Inhumanos","2019-03-22",58
"Los Inhumanos","2019-03-23",81
"Los Inhumanos","2019-03-24",61
"Los Inhumanos","2019-03-25",58
"Los Inhumanos","2019-03-26",77
"Los Inhumanos","2019-03-27",82
"Los Inhumanos","2019-03-28",53
"Los Inhumanos","2019-03-29",62
"Los Inhumanos","2019-03-30",85
"Los Inhumanos","2019-03-31",84
"Los Inhumanos","2019-04-01",48
"Los Inhumanos","2019-04-02",60
"Los Inhumanos","2019-04-03",69
"Los Inhumanos","2019-04-04",49
"Los Inhumanos","2019-04-05",74
"Los Inhumanos","2019-04-06",65
"Los Inhumanos","2019-04-07",59
"Los Inhumanos","2019-04-08",69
"Los Inhumanos","2019-04-09",51
"Los Inhumanos","2019-04-10",70
"Los Inhumanos","2019-04-11",64
"Los Inhumanos","2019-04-12",94
"Los Inhumanos","2019-04-13",84
"Los Inhumanos","2019-04-14",48
"Los Inhumanos","2019-04-15",34
"Los Inhumanos","2019-04-16",75
"Los Inhumanos","2019-04-17",67
"Los Inhumanos","2019-04-18",67
"Los Inhumanos","2019-04-19",88
"Los Inhumanos","2019-04-20",65
"Los Inhumanos","2019-04-21",71
"Los Inhumanos","2019-04-22",55
"Los Inhumanos","2019-04-23",55
"Los Inhumanos","2019-04-24",58
"Los Inhumanos","2019-04-25",37
"Los Inhumanos","2019-04-26",57
"Los Inhumanos","2019-04-27",72
"Los Inhumanos","2019-04-28",43
"Los Inhumanos","2019-04-29",53
"Los Inhumanos","2019-04-30",51
"Los Inhumanos","2019-05-01",55
"Los Inhumanos","2019-05-02",51
"Los Inhumanos","2019-05-03",88
"Los Inhumanos","2019-05-04",101
"Los Inhumanos","2019-05-05",47
"Los Inhumanos","2019-05-06",67
"Los Inhumanos","2019-05-07",33
"Los Inhumanos","2019-05-08",61
"Los Inhumanos","2019-05-09",66
"Los Inhumanos","2019-05-10",66
"Los Inhumanos","2019-05-11",54
"Los Inhumanos","2019-05-12",57
"Los Inhumanos","2019-05-13",54
"Los Inhumanos","2019-05-14",69
"Los Inhumanos","2019-05-15",57
"Los Inhumanos","2019-05-16",50
"Los Inhumanos","2019-05-17",68
"Los Inhumanos","2019-05-18",83
"Los Inhumanos","2019-05-19",71
"Los Inhumanos","2019-05-20",43
"Los Inhumanos","2019-05-21",227
"Los Inhumanos","2019-05-22",75
"Los Inhumanos","2019-05-23",74
"Los Inhumanos","2019-05-24",61
"Los Inhumanos","2019-05-25",93
"Los Inhumanos","2019-05-26",82
"Los Inhumanos","2019-05-27",50
"Los Inhumanos","2019-05-28",60
