"artista","fecha","visitas"
"Los Limones","2019-02-21",6
"Los Limones","2019-02-22",18
"Los Limones","2019-02-23",9
"Los Limones","2019-02-24",10
"Los Limones","2019-02-25",17
"Los Limones","2019-02-26",10
"Los Limones","2019-02-27",12
"Los Limones","2019-02-28",11
"Los Limones","2019-03-01",8
"Los Limones","2019-03-02",14
"Los Limones","2019-03-03",11
"Los Limones","2019-03-04",22
"Los Limones","2019-03-05",10
"Los Limones","2019-03-06",15
"Los Limones","2019-03-07",4
"Los Limones","2019-03-08",18
"Los Limones","2019-03-09",21
"Los Limones","2019-03-10",11
"Los Limones","2019-03-11",17
"Los Limones","2019-03-12",11
"Los Limones","2019-03-13",15
"Los Limones","2019-03-14",9
"Los Limones","2019-03-15",36
"Los Limones","2019-03-16",19
"Los Limones","2019-03-17",22
"Los Limones","2019-03-18",15
"Los Limones","2019-03-19",28
"Los Limones","2019-03-20",11
"Los Limones","2019-03-21",26
"Los Limones","2019-03-22",20
"Los Limones","2019-03-23",16
"Los Limones","2019-03-24",16
"Los Limones","2019-03-25",22
"Los Limones","2019-03-26",24
"Los Limones","2019-03-27",20
"Los Limones","2019-03-28",17
"Los Limones","2019-03-29",22
"Los Limones","2019-03-30",19
"Los Limones","2019-03-31",10
"Los Limones","2019-04-01",14
"Los Limones","2019-04-02",16
"Los Limones","2019-04-03",20
"Los Limones","2019-04-04",29
"Los Limones","2019-04-05",21
"Los Limones","2019-04-06",16
"Los Limones","2019-04-07",22
"Los Limones","2019-04-08",20
"Los Limones","2019-04-09",15
"Los Limones","2019-04-10",22
"Los Limones","2019-04-11",18
"Los Limones","2019-04-12",21
"Los Limones","2019-04-13",23
"Los Limones","2019-04-14",19
"Los Limones","2019-04-15",22
"Los Limones","2019-04-16",16
"Los Limones","2019-04-17",6
"Los Limones","2019-04-18",19
"Los Limones","2019-04-19",25
"Los Limones","2019-04-20",13
"Los Limones","2019-04-21",20
"Los Limones","2019-04-22",28
"Los Limones","2019-04-23",20
"Los Limones","2019-04-24",15
"Los Limones","2019-04-25",18
"Los Limones","2019-04-26",16
"Los Limones","2019-04-27",12
"Los Limones","2019-04-28",19
"Los Limones","2019-04-29",18
"Los Limones","2019-04-30",17
"Los Limones","2019-05-01",11
"Los Limones","2019-05-02",13
"Los Limones","2019-05-03",15
"Los Limones","2019-05-04",20
"Los Limones","2019-05-05",14
"Los Limones","2019-05-06",19
"Los Limones","2019-05-07",10
"Los Limones","2019-05-08",16
"Los Limones","2019-05-09",9
"Los Limones","2019-05-10",17
"Los Limones","2019-05-11",9
"Los Limones","2019-05-12",13
"Los Limones","2019-05-13",12
"Los Limones","2019-05-14",14
"Los Limones","2019-05-15",19
"Los Limones","2019-05-16",12
"Los Limones","2019-05-17",17
"Los Limones","2019-05-18",31
"Los Limones","2019-05-19",11
"Los Limones","2019-05-20",30
"Los Limones","2019-05-21",131
"Los Limones","2019-05-22",27
"Los Limones","2019-05-23",21
"Los Limones","2019-05-24",34
"Los Limones","2019-05-25",25
"Los Limones","2019-05-26",12
"Los Limones","2019-05-27",17
"Los Limones","2019-05-28",17
