"artista","fecha","visitas"
"Los Piratas","2019-02-21",69
"Los Piratas","2019-02-22",74
"Los Piratas","2019-02-23",63
"Los Piratas","2019-02-24",69
"Los Piratas","2019-02-25",71
"Los Piratas","2019-02-26",70
"Los Piratas","2019-02-27",64
"Los Piratas","2019-02-28",64
"Los Piratas","2019-03-01",79
"Los Piratas","2019-03-02",71
"Los Piratas","2019-03-03",58
"Los Piratas","2019-03-04",63
"Los Piratas","2019-03-05",77
"Los Piratas","2019-03-06",86
"Los Piratas","2019-03-07",77
"Los Piratas","2019-03-08",60
"Los Piratas","2019-03-09",65
"Los Piratas","2019-03-10",96
"Los Piratas","2019-03-11",64
"Los Piratas","2019-03-12",82
"Los Piratas","2019-03-13",70
"Los Piratas","2019-03-14",98
"Los Piratas","2019-03-15",109
"Los Piratas","2019-03-16",83
"Los Piratas","2019-03-17",67
"Los Piratas","2019-03-18",60
"Los Piratas","2019-03-19",66
"Los Piratas","2019-03-20",66
"Los Piratas","2019-03-21",67
"Los Piratas","2019-03-22",80
"Los Piratas","2019-03-23",105
"Los Piratas","2019-03-24",91
"Los Piratas","2019-03-25",81
"Los Piratas","2019-03-26",65
"Los Piratas","2019-03-27",91
"Los Piratas","2019-03-28",172
"Los Piratas","2019-03-29",314
"Los Piratas","2019-03-30",341
"Los Piratas","2019-03-31",236
"Los Piratas","2019-04-01",172
"Los Piratas","2019-04-02",235
"Los Piratas","2019-04-03",126
"Los Piratas","2019-04-04",109
"Los Piratas","2019-04-05",105
"Los Piratas","2019-04-06",103
"Los Piratas","2019-04-07",96
"Los Piratas","2019-04-08",270
"Los Piratas","2019-04-09",96
"Los Piratas","2019-04-10",84
"Los Piratas","2019-04-11",68
"Los Piratas","2019-04-12",85
"Los Piratas","2019-04-13",77
"Los Piratas","2019-04-14",82
"Los Piratas","2019-04-15",68
"Los Piratas","2019-04-16",58
"Los Piratas","2019-04-17",73
"Los Piratas","2019-04-18",78
"Los Piratas","2019-04-19",80
"Los Piratas","2019-04-20",53
"Los Piratas","2019-04-21",70
"Los Piratas","2019-04-22",61
"Los Piratas","2019-04-23",88
"Los Piratas","2019-04-24",105
"Los Piratas","2019-04-25",121
"Los Piratas","2019-04-26",127
"Los Piratas","2019-04-27",88
"Los Piratas","2019-04-28",48
"Los Piratas","2019-04-29",53
"Los Piratas","2019-04-30",71
"Los Piratas","2019-05-01",76
"Los Piratas","2019-05-02",57
"Los Piratas","2019-05-03",75
"Los Piratas","2019-05-04",60
"Los Piratas","2019-05-05",64
"Los Piratas","2019-05-06",66
"Los Piratas","2019-05-07",73
"Los Piratas","2019-05-08",87
"Los Piratas","2019-05-09",59
"Los Piratas","2019-05-10",101
"Los Piratas","2019-05-11",58
"Los Piratas","2019-05-12",52
"Los Piratas","2019-05-13",72
"Los Piratas","2019-05-14",66
"Los Piratas","2019-05-15",73
"Los Piratas","2019-05-16",64
"Los Piratas","2019-05-17",78
"Los Piratas","2019-05-18",92
"Los Piratas","2019-05-19",63
"Los Piratas","2019-05-20",89
"Los Piratas","2019-05-21",296
"Los Piratas","2019-05-22",105
"Los Piratas","2019-05-23",96
"Los Piratas","2019-05-24",275
"Los Piratas","2019-05-25",159
"Los Piratas","2019-05-26",123
"Los Piratas","2019-05-27",138
"Los Piratas","2019-05-28",123
