"artista","fecha","visitas"
"Los Sencillos","2019-02-21",18
"Los Sencillos","2019-02-22",63
"Los Sencillos","2019-02-23",22
"Los Sencillos","2019-02-24",21
"Los Sencillos","2019-02-25",9
"Los Sencillos","2019-02-26",13
"Los Sencillos","2019-02-27",20
"Los Sencillos","2019-02-28",14
"Los Sencillos","2019-03-01",35
"Los Sencillos","2019-03-02",14
"Los Sencillos","2019-03-03",13
"Los Sencillos","2019-03-04",15
"Los Sencillos","2019-03-05",8
"Los Sencillos","2019-03-06",8
"Los Sencillos","2019-03-07",5
"Los Sencillos","2019-03-08",16
"Los Sencillos","2019-03-09",47
"Los Sencillos","2019-03-10",15
"Los Sencillos","2019-03-11",16
"Los Sencillos","2019-03-12",55
"Los Sencillos","2019-03-13",21
"Los Sencillos","2019-03-14",8
"Los Sencillos","2019-03-15",26
"Los Sencillos","2019-03-16",21
"Los Sencillos","2019-03-17",20
"Los Sencillos","2019-03-18",18
"Los Sencillos","2019-03-19",10
"Los Sencillos","2019-03-20",6
"Los Sencillos","2019-03-21",12
"Los Sencillos","2019-03-22",53
"Los Sencillos","2019-03-23",11
"Los Sencillos","2019-03-24",10
"Los Sencillos","2019-03-25",19
"Los Sencillos","2019-03-26",21
"Los Sencillos","2019-03-27",14
"Los Sencillos","2019-03-28",13
"Los Sencillos","2019-03-29",25
"Los Sencillos","2019-03-30",24
"Los Sencillos","2019-03-31",13
"Los Sencillos","2019-04-01",8
"Los Sencillos","2019-04-02",12
"Los Sencillos","2019-04-03",37
"Los Sencillos","2019-04-04",12
"Los Sencillos","2019-04-05",2190
"Los Sencillos","2019-04-06",50
"Los Sencillos","2019-04-07",25
"Los Sencillos","2019-04-08",29
"Los Sencillos","2019-04-09",13
"Los Sencillos","2019-04-10",15
"Los Sencillos","2019-04-11",20
"Los Sencillos","2019-04-12",15
"Los Sencillos","2019-04-13",13
"Los Sencillos","2019-04-14",12
"Los Sencillos","2019-04-15",7
"Los Sencillos","2019-04-16",5
"Los Sencillos","2019-04-17",7
"Los Sencillos","2019-04-18",16
"Los Sencillos","2019-04-19",11
"Los Sencillos","2019-04-20",17
"Los Sencillos","2019-04-21",14
"Los Sencillos","2019-04-22",16
"Los Sencillos","2019-04-23",9
"Los Sencillos","2019-04-24",11
"Los Sencillos","2019-04-25",9
"Los Sencillos","2019-04-26",10
"Los Sencillos","2019-04-27",17
"Los Sencillos","2019-04-28",9
"Los Sencillos","2019-04-29",8
"Los Sencillos","2019-04-30",14
"Los Sencillos","2019-05-01",46
"Los Sencillos","2019-05-02",20
"Los Sencillos","2019-05-03",30
"Los Sencillos","2019-05-04",18
"Los Sencillos","2019-05-05",17
"Los Sencillos","2019-05-06",12
"Los Sencillos","2019-05-07",13
"Los Sencillos","2019-05-08",7
"Los Sencillos","2019-05-09",21
"Los Sencillos","2019-05-10",41
"Los Sencillos","2019-05-11",8
"Los Sencillos","2019-05-12",20
"Los Sencillos","2019-05-13",31
"Los Sencillos","2019-05-14",35
"Los Sencillos","2019-05-15",50
"Los Sencillos","2019-05-16",27
"Los Sencillos","2019-05-17",20
"Los Sencillos","2019-05-18",19
"Los Sencillos","2019-05-19",14
"Los Sencillos","2019-05-20",16
"Los Sencillos","2019-05-21",239
"Los Sencillos","2019-05-22",47
"Los Sencillos","2019-05-23",16
"Los Sencillos","2019-05-24",28
"Los Sencillos","2019-05-25",12
"Los Sencillos","2019-05-26",11
"Los Sencillos","2019-05-27",9
"Los Sencillos","2019-05-28",4
