"artista","fecha","visitas"
"Los lunes que quedan","2019-02-21",23
"Los lunes que quedan","2019-02-22",28
"Los lunes que quedan","2019-02-23",22
"Los lunes que quedan","2019-02-24",21
"Los lunes que quedan","2019-02-25",16
"Los lunes que quedan","2019-02-26",26
"Los lunes que quedan","2019-02-27",26
"Los lunes que quedan","2019-02-28",38
"Los lunes que quedan","2019-03-01",27
"Los lunes que quedan","2019-03-02",18
"Los lunes que quedan","2019-03-03",15
"Los lunes que quedan","2019-03-04",20
"Los lunes que quedan","2019-03-05",17
"Los lunes que quedan","2019-03-06",18
"Los lunes que quedan","2019-03-07",14
"Los lunes que quedan","2019-03-08",17
"Los lunes que quedan","2019-03-09",19
"Los lunes que quedan","2019-03-10",19
"Los lunes que quedan","2019-03-11",18
"Los lunes que quedan","2019-03-12",37
"Los lunes que quedan","2019-03-13",19
"Los lunes que quedan","2019-03-14",21
"Los lunes que quedan","2019-03-15",23
"Los lunes que quedan","2019-03-16",16
"Los lunes que quedan","2019-03-17",26
"Los lunes que quedan","2019-03-18",35
"Los lunes que quedan","2019-03-19",18
"Los lunes que quedan","2019-03-20",23
"Los lunes que quedan","2019-03-21",26
"Los lunes que quedan","2019-03-22",21
"Los lunes que quedan","2019-03-23",24
"Los lunes que quedan","2019-03-24",32
"Los lunes que quedan","2019-03-25",19
"Los lunes que quedan","2019-03-26",18
"Los lunes que quedan","2019-03-27",19
"Los lunes que quedan","2019-03-28",20
"Los lunes que quedan","2019-03-29",14
"Los lunes que quedan","2019-03-30",14
"Los lunes que quedan","2019-03-31",24
"Los lunes que quedan","2019-04-01",20
"Los lunes que quedan","2019-04-02",15
"Los lunes que quedan","2019-04-03",12
"Los lunes que quedan","2019-04-04",9
"Los lunes que quedan","2019-04-05",14
"Los lunes que quedan","2019-04-06",19
"Los lunes que quedan","2019-04-07",13
"Los lunes que quedan","2019-04-08",16
"Los lunes que quedan","2019-04-09",24
"Los lunes que quedan","2019-04-10",19
"Los lunes que quedan","2019-04-11",15
"Los lunes que quedan","2019-04-12",23
"Los lunes que quedan","2019-04-13",32
"Los lunes que quedan","2019-04-14",13
"Los lunes que quedan","2019-04-15",17
"Los lunes que quedan","2019-04-16",17
"Los lunes que quedan","2019-04-17",8
"Los lunes que quedan","2019-04-18",25
"Los lunes que quedan","2019-04-19",14
"Los lunes que quedan","2019-04-20",14
"Los lunes que quedan","2019-04-21",16
"Los lunes que quedan","2019-04-22",18
"Los lunes que quedan","2019-04-23",10
"Los lunes que quedan","2019-04-24",14
"Los lunes que quedan","2019-04-25",12
"Los lunes que quedan","2019-04-26",19
"Los lunes que quedan","2019-04-27",19
"Los lunes que quedan","2019-04-28",15
"Los lunes que quedan","2019-04-29",10
"Los lunes que quedan","2019-04-30",15
"Los lunes que quedan","2019-05-01",28
"Los lunes que quedan","2019-05-02",14
"Los lunes que quedan","2019-05-03",20
"Los lunes que quedan","2019-05-04",9
"Los lunes que quedan","2019-05-05",23
"Los lunes que quedan","2019-05-06",14
"Los lunes que quedan","2019-05-07",9
"Los lunes que quedan","2019-05-08",10
"Los lunes que quedan","2019-05-09",13
"Los lunes que quedan","2019-05-10",11
"Los lunes que quedan","2019-05-11",10
"Los lunes que quedan","2019-05-12",12
"Los lunes que quedan","2019-05-13",16
"Los lunes que quedan","2019-05-14",10
"Los lunes que quedan","2019-05-15",16
"Los lunes que quedan","2019-05-16",10
"Los lunes que quedan","2019-05-17",15
"Los lunes que quedan","2019-05-18",23
"Los lunes que quedan","2019-05-19",19
"Los lunes que quedan","2019-05-20",16
"Los lunes que quedan","2019-05-21",114
"Los lunes que quedan","2019-05-22",44
"Los lunes que quedan","2019-05-23",34
"Los lunes que quedan","2019-05-24",23
"Los lunes que quedan","2019-05-25",15
"Los lunes que quedan","2019-05-26",27
"Los lunes que quedan","2019-05-27",14
"Los lunes que quedan","2019-05-28",16
