"artista","fecha","visitas"
"Modestia Aparte","2019-02-21",22
"Modestia Aparte","2019-02-22",34
"Modestia Aparte","2019-02-23",16
"Modestia Aparte","2019-02-24",46
"Modestia Aparte","2019-02-25",29
"Modestia Aparte","2019-02-26",14
"Modestia Aparte","2019-02-27",30
"Modestia Aparte","2019-02-28",20
"Modestia Aparte","2019-03-01",34
"Modestia Aparte","2019-03-02",30
"Modestia Aparte","2019-03-03",28
"Modestia Aparte","2019-03-04",17
"Modestia Aparte","2019-03-05",33
"Modestia Aparte","2019-03-06",24
"Modestia Aparte","2019-03-07",20
"Modestia Aparte","2019-03-08",21
"Modestia Aparte","2019-03-09",27
"Modestia Aparte","2019-03-10",29
"Modestia Aparte","2019-03-11",37
"Modestia Aparte","2019-03-12",30
"Modestia Aparte","2019-03-13",25
"Modestia Aparte","2019-03-14",28
"Modestia Aparte","2019-03-15",25
"Modestia Aparte","2019-03-16",29
"Modestia Aparte","2019-03-17",28
"Modestia Aparte","2019-03-18",23
"Modestia Aparte","2019-03-19",30
"Modestia Aparte","2019-03-20",35
"Modestia Aparte","2019-03-21",37
"Modestia Aparte","2019-03-22",17
"Modestia Aparte","2019-03-23",19
"Modestia Aparte","2019-03-24",29
"Modestia Aparte","2019-03-25",28
"Modestia Aparte","2019-03-26",21
"Modestia Aparte","2019-03-27",18
"Modestia Aparte","2019-03-28",23
"Modestia Aparte","2019-03-29",43
"Modestia Aparte","2019-03-30",20
"Modestia Aparte","2019-03-31",18
"Modestia Aparte","2019-04-01",19
"Modestia Aparte","2019-04-02",32
"Modestia Aparte","2019-04-03",25
"Modestia Aparte","2019-04-04",29
"Modestia Aparte","2019-04-05",17
"Modestia Aparte","2019-04-06",17
"Modestia Aparte","2019-04-07",23
"Modestia Aparte","2019-04-08",28
"Modestia Aparte","2019-04-09",32
"Modestia Aparte","2019-04-10",21
"Modestia Aparte","2019-04-11",29
"Modestia Aparte","2019-04-12",22
"Modestia Aparte","2019-04-13",54
"Modestia Aparte","2019-04-14",27
"Modestia Aparte","2019-04-15",23
"Modestia Aparte","2019-04-16",37
"Modestia Aparte","2019-04-17",29
"Modestia Aparte","2019-04-18",31
"Modestia Aparte","2019-04-19",32
"Modestia Aparte","2019-04-20",30
"Modestia Aparte","2019-04-21",34
"Modestia Aparte","2019-04-22",142
"Modestia Aparte","2019-04-23",65
"Modestia Aparte","2019-04-24",26
"Modestia Aparte","2019-04-25",21
"Modestia Aparte","2019-04-26",19
"Modestia Aparte","2019-04-27",24
"Modestia Aparte","2019-04-28",13
"Modestia Aparte","2019-04-29",22
"Modestia Aparte","2019-04-30",42
"Modestia Aparte","2019-05-01",36
"Modestia Aparte","2019-05-02",19
"Modestia Aparte","2019-05-03",43
"Modestia Aparte","2019-05-04",30
"Modestia Aparte","2019-05-05",32
"Modestia Aparte","2019-05-06",22
"Modestia Aparte","2019-05-07",19
"Modestia Aparte","2019-05-08",17
"Modestia Aparte","2019-05-09",20
"Modestia Aparte","2019-05-10",25
"Modestia Aparte","2019-05-11",21
"Modestia Aparte","2019-05-12",24
"Modestia Aparte","2019-05-13",33
"Modestia Aparte","2019-05-14",20
"Modestia Aparte","2019-05-15",30
"Modestia Aparte","2019-05-16",27
"Modestia Aparte","2019-05-17",39
"Modestia Aparte","2019-05-18",38
"Modestia Aparte","2019-05-19",19
"Modestia Aparte","2019-05-20",14
"Modestia Aparte","2019-05-21",99
"Modestia Aparte","2019-05-22",44
"Modestia Aparte","2019-05-23",31
"Modestia Aparte","2019-05-24",47
"Modestia Aparte","2019-05-25",41
"Modestia Aparte","2019-05-26",19
"Modestia Aparte","2019-05-27",30
"Modestia Aparte","2019-05-28",31
