"artista","fecha","visitas"
"Nacho Cano","2019-02-21",311
"Nacho Cano","2019-02-22",261
"Nacho Cano","2019-02-23",240
"Nacho Cano","2019-02-24",352
"Nacho Cano","2019-02-25",305
"Nacho Cano","2019-02-26",1297
"Nacho Cano","2019-02-27",617
"Nacho Cano","2019-02-28",292
"Nacho Cano","2019-03-01",305
"Nacho Cano","2019-03-02",232
"Nacho Cano","2019-03-03",218
"Nacho Cano","2019-03-04",218
"Nacho Cano","2019-03-05",179
"Nacho Cano","2019-03-06",163
"Nacho Cano","2019-03-07",1399
"Nacho Cano","2019-03-08",458
"Nacho Cano","2019-03-09",920
"Nacho Cano","2019-03-10",262
"Nacho Cano","2019-03-11",182
"Nacho Cano","2019-03-12",184
"Nacho Cano","2019-03-13",182
"Nacho Cano","2019-03-14",192
"Nacho Cano","2019-03-15",199
"Nacho Cano","2019-03-16",207
"Nacho Cano","2019-03-17",220
"Nacho Cano","2019-03-18",191
"Nacho Cano","2019-03-19",171
"Nacho Cano","2019-03-20",150
"Nacho Cano","2019-03-21",182
"Nacho Cano","2019-03-22",291
"Nacho Cano","2019-03-23",297
"Nacho Cano","2019-03-24",271
"Nacho Cano","2019-03-25",214
"Nacho Cano","2019-03-26",185
"Nacho Cano","2019-03-27",201
"Nacho Cano","2019-03-28",674
"Nacho Cano","2019-03-29",425
"Nacho Cano","2019-03-30",420
"Nacho Cano","2019-03-31",358
"Nacho Cano","2019-04-01",294
"Nacho Cano","2019-04-02",239
"Nacho Cano","2019-04-03",214
"Nacho Cano","2019-04-04",214
"Nacho Cano","2019-04-05",243
"Nacho Cano","2019-04-06",285
"Nacho Cano","2019-04-07",269
"Nacho Cano","2019-04-08",249
"Nacho Cano","2019-04-09",226
"Nacho Cano","2019-04-10",179
"Nacho Cano","2019-04-11",170
"Nacho Cano","2019-04-12",2073
"Nacho Cano","2019-04-13",659
"Nacho Cano","2019-04-14",374
"Nacho Cano","2019-04-15",266
"Nacho Cano","2019-04-16",177
"Nacho Cano","2019-04-17",221
"Nacho Cano","2019-04-18",183
"Nacho Cano","2019-04-19",233
"Nacho Cano","2019-04-20",194
"Nacho Cano","2019-04-21",297
"Nacho Cano","2019-04-22",360
"Nacho Cano","2019-04-23",195
"Nacho Cano","2019-04-24",151
"Nacho Cano","2019-04-25",469
"Nacho Cano","2019-04-26",246
"Nacho Cano","2019-04-27",250
"Nacho Cano","2019-04-28",260
"Nacho Cano","2019-04-29",175
"Nacho Cano","2019-04-30",215
"Nacho Cano","2019-05-01",306
"Nacho Cano","2019-05-02",221
"Nacho Cano","2019-05-03",231
"Nacho Cano","2019-05-04",300
"Nacho Cano","2019-05-05",273
"Nacho Cano","2019-05-06",234
"Nacho Cano","2019-05-07",1312
"Nacho Cano","2019-05-08",390
"Nacho Cano","2019-05-09",234
"Nacho Cano","2019-05-10",260
"Nacho Cano","2019-05-11",258
"Nacho Cano","2019-05-12",253
"Nacho Cano","2019-05-13",249
"Nacho Cano","2019-05-14",186
"Nacho Cano","2019-05-15",222
"Nacho Cano","2019-05-16",244
"Nacho Cano","2019-05-17",203
"Nacho Cano","2019-05-18",214
"Nacho Cano","2019-05-19",243
"Nacho Cano","2019-05-20",191
"Nacho Cano","2019-05-21",283
"Nacho Cano","2019-05-22",164
"Nacho Cano","2019-05-23",187
"Nacho Cano","2019-05-24",214
"Nacho Cano","2019-05-25",200
"Nacho Cano","2019-05-26",178
"Nacho Cano","2019-05-27",178
"Nacho Cano","2019-05-28",247
