"artista","fecha","visitas"
"OBK","2019-02-21",101
"OBK","2019-02-22",141
"OBK","2019-02-23",172
"OBK","2019-02-24",156
"OBK","2019-02-25",65
"OBK","2019-02-26",86
"OBK","2019-02-27",65
"OBK","2019-02-28",74
"OBK","2019-03-01",104
"OBK","2019-03-02",92
"OBK","2019-03-03",93
"OBK","2019-03-04",69
"OBK","2019-03-05",70
"OBK","2019-03-06",71
"OBK","2019-03-07",68
"OBK","2019-03-08",81
"OBK","2019-03-09",90
"OBK","2019-03-10",119
"OBK","2019-03-11",73
"OBK","2019-03-12",76
"OBK","2019-03-13",82
"OBK","2019-03-14",81
"OBK","2019-03-15",545
"OBK","2019-03-16",102
"OBK","2019-03-17",134
"OBK","2019-03-18",90
"OBK","2019-03-19",63
"OBK","2019-03-20",75
"OBK","2019-03-21",86
"OBK","2019-03-22",89
"OBK","2019-03-23",178
"OBK","2019-03-24",174
"OBK","2019-03-25",113
"OBK","2019-03-26",102
"OBK","2019-03-27",75
"OBK","2019-03-28",74
"OBK","2019-03-29",148
"OBK","2019-03-30",180
"OBK","2019-03-31",108
"OBK","2019-04-01",69
"OBK","2019-04-02",49
"OBK","2019-04-03",53
"OBK","2019-04-04",71
"OBK","2019-04-05",75
"OBK","2019-04-06",61
"OBK","2019-04-07",84
"OBK","2019-04-08",70
"OBK","2019-04-09",62
"OBK","2019-04-10",75
"OBK","2019-04-11",94
"OBK","2019-04-12",112
"OBK","2019-04-13",175
"OBK","2019-04-14",123
"OBK","2019-04-15",76
"OBK","2019-04-16",87
"OBK","2019-04-17",82
"OBK","2019-04-18",67
"OBK","2019-04-19",108
"OBK","2019-04-20",69
"OBK","2019-04-21",103
"OBK","2019-04-22",156
"OBK","2019-04-23",98
"OBK","2019-04-24",81
"OBK","2019-04-25",66
"OBK","2019-04-26",85
"OBK","2019-04-27",91
"OBK","2019-04-28",60
"OBK","2019-04-29",74
"OBK","2019-04-30",243
"OBK","2019-05-01",97
"OBK","2019-05-02",76
"OBK","2019-05-03",97
"OBK","2019-05-04",120
"OBK","2019-05-05",215
"OBK","2019-05-06",165
"OBK","2019-05-07",93
"OBK","2019-05-08",99
"OBK","2019-05-09",86
"OBK","2019-05-10",81
"OBK","2019-05-11",174
"OBK","2019-05-12",162
"OBK","2019-05-13",99
"OBK","2019-05-14",76
"OBK","2019-05-15",89
"OBK","2019-05-16",108
"OBK","2019-05-17",158
"OBK","2019-05-18",140
"OBK","2019-05-19",83
"OBK","2019-05-20",59
"OBK","2019-05-21",103
"OBK","2019-05-22",76
"OBK","2019-05-23",92
"OBK","2019-05-24",287
"OBK","2019-05-25",199
"OBK","2019-05-26",95
"OBK","2019-05-27",56
"OBK","2019-05-28",64
