"artista","fecha","visitas"
"Objetivo Birmania","2019-02-21",86
"Objetivo Birmania","2019-02-22",79
"Objetivo Birmania","2019-02-23",72
"Objetivo Birmania","2019-02-24",135
"Objetivo Birmania","2019-02-25",81
"Objetivo Birmania","2019-02-26",79
"Objetivo Birmania","2019-02-27",62
"Objetivo Birmania","2019-02-28",65
"Objetivo Birmania","2019-03-01",100
"Objetivo Birmania","2019-03-02",90
"Objetivo Birmania","2019-03-03",81
"Objetivo Birmania","2019-03-04",65
"Objetivo Birmania","2019-03-05",78
"Objetivo Birmania","2019-03-06",70
"Objetivo Birmania","2019-03-07",50
"Objetivo Birmania","2019-03-08",83
"Objetivo Birmania","2019-03-09",113
"Objetivo Birmania","2019-03-10",105
"Objetivo Birmania","2019-03-11",90
"Objetivo Birmania","2019-03-12",87
"Objetivo Birmania","2019-03-13",92
"Objetivo Birmania","2019-03-14",68
"Objetivo Birmania","2019-03-15",78
"Objetivo Birmania","2019-03-16",82
"Objetivo Birmania","2019-03-17",99
"Objetivo Birmania","2019-03-18",78
"Objetivo Birmania","2019-03-19",94
"Objetivo Birmania","2019-03-20",71
"Objetivo Birmania","2019-03-21",1174
"Objetivo Birmania","2019-03-22",617
"Objetivo Birmania","2019-03-23",192
"Objetivo Birmania","2019-03-24",171
"Objetivo Birmania","2019-03-25",98
"Objetivo Birmania","2019-03-26",83
"Objetivo Birmania","2019-03-27",78
"Objetivo Birmania","2019-03-28",94
"Objetivo Birmania","2019-03-29",90
"Objetivo Birmania","2019-03-30",107
"Objetivo Birmania","2019-03-31",93
"Objetivo Birmania","2019-04-01",81
"Objetivo Birmania","2019-04-02",88
"Objetivo Birmania","2019-04-03",93
"Objetivo Birmania","2019-04-04",84
"Objetivo Birmania","2019-04-05",84
"Objetivo Birmania","2019-04-06",112
"Objetivo Birmania","2019-04-07",152
"Objetivo Birmania","2019-04-08",95
"Objetivo Birmania","2019-04-09",77
"Objetivo Birmania","2019-04-10",98
"Objetivo Birmania","2019-04-11",91
"Objetivo Birmania","2019-04-12",90
"Objetivo Birmania","2019-04-13",98
"Objetivo Birmania","2019-04-14",109
"Objetivo Birmania","2019-04-15",100
"Objetivo Birmania","2019-04-16",108
"Objetivo Birmania","2019-04-17",110
"Objetivo Birmania","2019-04-18",130
"Objetivo Birmania","2019-04-19",103
"Objetivo Birmania","2019-04-20",128
"Objetivo Birmania","2019-04-21",137
"Objetivo Birmania","2019-04-22",127
"Objetivo Birmania","2019-04-23",87
"Objetivo Birmania","2019-04-24",86
"Objetivo Birmania","2019-04-25",91
"Objetivo Birmania","2019-04-26",109
"Objetivo Birmania","2019-04-27",116
"Objetivo Birmania","2019-04-28",97
"Objetivo Birmania","2019-04-29",101
"Objetivo Birmania","2019-04-30",100
"Objetivo Birmania","2019-05-01",82
"Objetivo Birmania","2019-05-02",68
"Objetivo Birmania","2019-05-03",76
"Objetivo Birmania","2019-05-04",138
"Objetivo Birmania","2019-05-05",93
"Objetivo Birmania","2019-05-06",91
"Objetivo Birmania","2019-05-07",94
"Objetivo Birmania","2019-05-08",79
"Objetivo Birmania","2019-05-09",87
"Objetivo Birmania","2019-05-10",83
"Objetivo Birmania","2019-05-11",102
"Objetivo Birmania","2019-05-12",132
"Objetivo Birmania","2019-05-13",70
"Objetivo Birmania","2019-05-14",88
"Objetivo Birmania","2019-05-15",1268
"Objetivo Birmania","2019-05-16",276
"Objetivo Birmania","2019-05-17",151
"Objetivo Birmania","2019-05-18",137
"Objetivo Birmania","2019-05-19",122
"Objetivo Birmania","2019-05-20",108
"Objetivo Birmania","2019-05-21",1002
"Objetivo Birmania","2019-05-22",205
"Objetivo Birmania","2019-05-23",91
"Objetivo Birmania","2019-05-24",132
"Objetivo Birmania","2019-05-25",103
"Objetivo Birmania","2019-05-26",91
"Objetivo Birmania","2019-05-27",73
"Objetivo Birmania","2019-05-28",85
