"artista","fecha","visitas"
"Revólver","2019-02-21",35
"Revólver","2019-02-22",46
"Revólver","2019-02-23",66
"Revólver","2019-02-24",51
"Revólver","2019-02-25",37
"Revólver","2019-02-26",43
"Revólver","2019-02-27",42
"Revólver","2019-02-28",58
"Revólver","2019-03-01",36
"Revólver","2019-03-02",45
"Revólver","2019-03-03",49
"Revólver","2019-03-04",36
"Revólver","2019-03-05",36
"Revólver","2019-03-06",30
"Revólver","2019-03-07",31
"Revólver","2019-03-08",38
"Revólver","2019-03-09",24
"Revólver","2019-03-10",36
"Revólver","2019-03-11",37
"Revólver","2019-03-12",303
"Revólver","2019-03-13",82
"Revólver","2019-03-14",73
"Revólver","2019-03-15",68
"Revólver","2019-03-16",54
"Revólver","2019-03-17",57
"Revólver","2019-03-18",52
"Revólver","2019-03-19",60
"Revólver","2019-03-20",66
"Revólver","2019-03-21",50
"Revólver","2019-03-22",56
"Revólver","2019-03-23",45
"Revólver","2019-03-24",68
"Revólver","2019-03-25",36
"Revólver","2019-03-26",54
"Revólver","2019-03-27",50
"Revólver","2019-03-28",47
"Revólver","2019-03-29",67
"Revólver","2019-03-30",100
"Revólver","2019-03-31",61
"Revólver","2019-04-01",43
"Revólver","2019-04-02",42
"Revólver","2019-04-03",53
"Revólver","2019-04-04",63
"Revólver","2019-04-05",84
"Revólver","2019-04-06",78
"Revólver","2019-04-07",67
"Revólver","2019-04-08",62
"Revólver","2019-04-09",45
"Revólver","2019-04-10",69
"Revólver","2019-04-11",76
"Revólver","2019-04-12",120
"Revólver","2019-04-13",62
"Revólver","2019-04-14",58
"Revólver","2019-04-15",45
"Revólver","2019-04-16",58
"Revólver","2019-04-17",36
"Revólver","2019-04-18",54
"Revólver","2019-04-19",53
"Revólver","2019-04-20",52
"Revólver","2019-04-21",44
"Revólver","2019-04-22",38
"Revólver","2019-04-23",38
"Revólver","2019-04-24",33
"Revólver","2019-04-25",41
"Revólver","2019-04-26",73
"Revólver","2019-04-27",68
"Revólver","2019-04-28",50
"Revólver","2019-04-29",35
"Revólver","2019-04-30",33
"Revólver","2019-05-01",51
"Revólver","2019-05-02",98
"Revólver","2019-05-03",53
"Revólver","2019-05-04",62
"Revólver","2019-05-05",31
"Revólver","2019-05-06",38
"Revólver","2019-05-07",42
"Revólver","2019-05-08",42
"Revólver","2019-05-09",91
"Revólver","2019-05-10",92
"Revólver","2019-05-11",116
"Revólver","2019-05-12",74
"Revólver","2019-05-13",69
"Revólver","2019-05-14",92
"Revólver","2019-05-15",194
"Revólver","2019-05-16",84
"Revólver","2019-05-17",74
"Revólver","2019-05-18",66
"Revólver","2019-05-19",64
"Revólver","2019-05-20",81
"Revólver","2019-05-21",97
"Revólver","2019-05-22",71
"Revólver","2019-05-23",54
"Revólver","2019-05-24",89
"Revólver","2019-05-25",150
"Revólver","2019-05-26",88
"Revólver","2019-05-27",61
"Revólver","2019-05-28",52
