"artista","fecha","visitas"
"Rosario Flores","2019-02-21",491
"Rosario Flores","2019-02-22",342
"Rosario Flores","2019-02-23",294
"Rosario Flores","2019-02-24",311
"Rosario Flores","2019-02-25",286
"Rosario Flores","2019-02-26",487
"Rosario Flores","2019-02-27",306
"Rosario Flores","2019-02-28",312
"Rosario Flores","2019-03-01",234
"Rosario Flores","2019-03-02",323
"Rosario Flores","2019-03-03",466
"Rosario Flores","2019-03-04",502
"Rosario Flores","2019-03-05",776
"Rosario Flores","2019-03-06",684
"Rosario Flores","2019-03-07",533
"Rosario Flores","2019-03-08",432
"Rosario Flores","2019-03-09",1024
"Rosario Flores","2019-03-10",555
"Rosario Flores","2019-03-11",781
"Rosario Flores","2019-03-12",583
"Rosario Flores","2019-03-13",505
"Rosario Flores","2019-03-14",418
"Rosario Flores","2019-03-15",341
"Rosario Flores","2019-03-16",372
"Rosario Flores","2019-03-17",378
"Rosario Flores","2019-03-18",623
"Rosario Flores","2019-03-19",557
"Rosario Flores","2019-03-20",441
"Rosario Flores","2019-03-21",882
"Rosario Flores","2019-03-22",326
"Rosario Flores","2019-03-23",363
"Rosario Flores","2019-03-24",473
"Rosario Flores","2019-03-25",355
"Rosario Flores","2019-03-26",296
"Rosario Flores","2019-03-27",240
"Rosario Flores","2019-03-28",292
"Rosario Flores","2019-03-29",259
"Rosario Flores","2019-03-30",383
"Rosario Flores","2019-03-31",349
"Rosario Flores","2019-04-01",424
"Rosario Flores","2019-04-02",377
"Rosario Flores","2019-04-03",352
"Rosario Flores","2019-04-04",378
"Rosario Flores","2019-04-05",273
"Rosario Flores","2019-04-06",354
"Rosario Flores","2019-04-07",375
"Rosario Flores","2019-04-08",640
"Rosario Flores","2019-04-09",1647
"Rosario Flores","2019-04-10",1169
"Rosario Flores","2019-04-11",578
"Rosario Flores","2019-04-12",379
"Rosario Flores","2019-04-13",466
"Rosario Flores","2019-04-14",502
"Rosario Flores","2019-04-15",382
"Rosario Flores","2019-04-16",620
"Rosario Flores","2019-04-17",337
"Rosario Flores","2019-04-18",414
"Rosario Flores","2019-04-19",523
"Rosario Flores","2019-04-20",456
"Rosario Flores","2019-04-21",473
"Rosario Flores","2019-04-22",434
"Rosario Flores","2019-04-23",436
"Rosario Flores","2019-04-24",479
"Rosario Flores","2019-04-25",393
"Rosario Flores","2019-04-26",299
"Rosario Flores","2019-04-27",342
"Rosario Flores","2019-04-28",320
"Rosario Flores","2019-04-29",234
"Rosario Flores","2019-04-30",227
"Rosario Flores","2019-05-01",274
"Rosario Flores","2019-05-02",281
"Rosario Flores","2019-05-03",366
"Rosario Flores","2019-05-04",491
"Rosario Flores","2019-05-05",510
"Rosario Flores","2019-05-06",592
"Rosario Flores","2019-05-07",484
"Rosario Flores","2019-05-08",430
"Rosario Flores","2019-05-09",446
"Rosario Flores","2019-05-10",398
"Rosario Flores","2019-05-11",479
"Rosario Flores","2019-05-12",317
"Rosario Flores","2019-05-13",478
"Rosario Flores","2019-05-14",533
"Rosario Flores","2019-05-15",437
"Rosario Flores","2019-05-16",534
"Rosario Flores","2019-05-17",434
"Rosario Flores","2019-05-18",561
"Rosario Flores","2019-05-19",493
"Rosario Flores","2019-05-20",507
"Rosario Flores","2019-05-21",544
"Rosario Flores","2019-05-22",565
"Rosario Flores","2019-05-23",410
"Rosario Flores","2019-05-24",361
"Rosario Flores","2019-05-25",451
"Rosario Flores","2019-05-26",293
"Rosario Flores","2019-05-27",495
"Rosario Flores","2019-05-28",324
