"artista","fecha","visitas"
"Seguridad Social","2019-02-21",74
"Seguridad Social","2019-02-22",86
"Seguridad Social","2019-02-23",100
"Seguridad Social","2019-02-24",114
"Seguridad Social","2019-02-25",77
"Seguridad Social","2019-02-26",61
"Seguridad Social","2019-02-27",51
"Seguridad Social","2019-02-28",69
"Seguridad Social","2019-03-01",44
"Seguridad Social","2019-03-02",70
"Seguridad Social","2019-03-03",66
"Seguridad Social","2019-03-04",61
"Seguridad Social","2019-03-05",52
"Seguridad Social","2019-03-06",65
"Seguridad Social","2019-03-07",71
"Seguridad Social","2019-03-08",67
"Seguridad Social","2019-03-09",90
"Seguridad Social","2019-03-10",97
"Seguridad Social","2019-03-11",71
"Seguridad Social","2019-03-12",509
"Seguridad Social","2019-03-13",162
"Seguridad Social","2019-03-14",107
"Seguridad Social","2019-03-15",744
"Seguridad Social","2019-03-16",194
"Seguridad Social","2019-03-17",120
"Seguridad Social","2019-03-18",86
"Seguridad Social","2019-03-19",85
"Seguridad Social","2019-03-20",98
"Seguridad Social","2019-03-21",71
"Seguridad Social","2019-03-22",108
"Seguridad Social","2019-03-23",168
"Seguridad Social","2019-03-24",117
"Seguridad Social","2019-03-25",65
"Seguridad Social","2019-03-26",84
"Seguridad Social","2019-03-27",75
"Seguridad Social","2019-03-28",67
"Seguridad Social","2019-03-29",112
"Seguridad Social","2019-03-30",106
"Seguridad Social","2019-03-31",78
"Seguridad Social","2019-04-01",75
"Seguridad Social","2019-04-02",76
"Seguridad Social","2019-04-03",44
"Seguridad Social","2019-04-04",62
"Seguridad Social","2019-04-05",97
"Seguridad Social","2019-04-06",51
"Seguridad Social","2019-04-07",47
"Seguridad Social","2019-04-08",69
"Seguridad Social","2019-04-09",59
"Seguridad Social","2019-04-10",73
"Seguridad Social","2019-04-11",64
"Seguridad Social","2019-04-12",61
"Seguridad Social","2019-04-13",72
"Seguridad Social","2019-04-14",72
"Seguridad Social","2019-04-15",55
"Seguridad Social","2019-04-16",50
"Seguridad Social","2019-04-17",55
"Seguridad Social","2019-04-18",65
"Seguridad Social","2019-04-19",77
"Seguridad Social","2019-04-20",70
"Seguridad Social","2019-04-21",56
"Seguridad Social","2019-04-22",66
"Seguridad Social","2019-04-23",59
"Seguridad Social","2019-04-24",32
"Seguridad Social","2019-04-25",63
"Seguridad Social","2019-04-26",78
"Seguridad Social","2019-04-27",100
"Seguridad Social","2019-04-28",79
"Seguridad Social","2019-04-29",60
"Seguridad Social","2019-04-30",89
"Seguridad Social","2019-05-01",63
"Seguridad Social","2019-05-02",85
"Seguridad Social","2019-05-03",95
"Seguridad Social","2019-05-04",82
"Seguridad Social","2019-05-05",56
"Seguridad Social","2019-05-06",58
"Seguridad Social","2019-05-07",60
"Seguridad Social","2019-05-08",70
"Seguridad Social","2019-05-09",49
"Seguridad Social","2019-05-10",40
"Seguridad Social","2019-05-11",88
"Seguridad Social","2019-05-12",87
"Seguridad Social","2019-05-13",78
"Seguridad Social","2019-05-14",55
"Seguridad Social","2019-05-15",68
"Seguridad Social","2019-05-16",66
"Seguridad Social","2019-05-17",82
"Seguridad Social","2019-05-18",81
"Seguridad Social","2019-05-19",67
"Seguridad Social","2019-05-20",63
"Seguridad Social","2019-05-21",219
"Seguridad Social","2019-05-22",72
"Seguridad Social","2019-05-23",95
"Seguridad Social","2019-05-24",99
"Seguridad Social","2019-05-25",93
"Seguridad Social","2019-05-26",84
"Seguridad Social","2019-05-27",67
"Seguridad Social","2019-05-28",56
