"artista","fecha","visitas"
"Un Pingüino en mi Ascensor","2019-02-21",20
"Un Pingüino en mi Ascensor","2019-02-22",30
"Un Pingüino en mi Ascensor","2019-02-23",19
"Un Pingüino en mi Ascensor","2019-02-24",24
"Un Pingüino en mi Ascensor","2019-02-25",36
"Un Pingüino en mi Ascensor","2019-02-26",18
"Un Pingüino en mi Ascensor","2019-02-27",23
"Un Pingüino en mi Ascensor","2019-02-28",14
"Un Pingüino en mi Ascensor","2019-03-01",39
"Un Pingüino en mi Ascensor","2019-03-02",28
"Un Pingüino en mi Ascensor","2019-03-03",22
"Un Pingüino en mi Ascensor","2019-03-04",26
"Un Pingüino en mi Ascensor","2019-03-05",31
"Un Pingüino en mi Ascensor","2019-03-06",23
"Un Pingüino en mi Ascensor","2019-03-07",32
"Un Pingüino en mi Ascensor","2019-03-08",36
"Un Pingüino en mi Ascensor","2019-03-09",28
"Un Pingüino en mi Ascensor","2019-03-10",39
"Un Pingüino en mi Ascensor","2019-03-11",29
"Un Pingüino en mi Ascensor","2019-03-12",30
"Un Pingüino en mi Ascensor","2019-03-13",32
"Un Pingüino en mi Ascensor","2019-03-14",19
"Un Pingüino en mi Ascensor","2019-03-15",24
"Un Pingüino en mi Ascensor","2019-03-16",27
"Un Pingüino en mi Ascensor","2019-03-17",23
"Un Pingüino en mi Ascensor","2019-03-18",21
"Un Pingüino en mi Ascensor","2019-03-19",17
"Un Pingüino en mi Ascensor","2019-03-20",15
"Un Pingüino en mi Ascensor","2019-03-21",25
"Un Pingüino en mi Ascensor","2019-03-22",19
"Un Pingüino en mi Ascensor","2019-03-23",25
"Un Pingüino en mi Ascensor","2019-03-24",20
"Un Pingüino en mi Ascensor","2019-03-25",21
"Un Pingüino en mi Ascensor","2019-03-26",19
"Un Pingüino en mi Ascensor","2019-03-27",18
"Un Pingüino en mi Ascensor","2019-03-28",27
"Un Pingüino en mi Ascensor","2019-03-29",27
"Un Pingüino en mi Ascensor","2019-03-30",21
"Un Pingüino en mi Ascensor","2019-03-31",28
"Un Pingüino en mi Ascensor","2019-04-01",20
"Un Pingüino en mi Ascensor","2019-04-02",23
"Un Pingüino en mi Ascensor","2019-04-03",21
"Un Pingüino en mi Ascensor","2019-04-04",33
"Un Pingüino en mi Ascensor","2019-04-05",49
"Un Pingüino en mi Ascensor","2019-04-06",54
"Un Pingüino en mi Ascensor","2019-04-07",22
"Un Pingüino en mi Ascensor","2019-04-08",24
"Un Pingüino en mi Ascensor","2019-04-09",32
"Un Pingüino en mi Ascensor","2019-04-10",46
"Un Pingüino en mi Ascensor","2019-04-11",34
"Un Pingüino en mi Ascensor","2019-04-12",29
"Un Pingüino en mi Ascensor","2019-04-13",20
"Un Pingüino en mi Ascensor","2019-04-14",16
"Un Pingüino en mi Ascensor","2019-04-15",17
"Un Pingüino en mi Ascensor","2019-04-16",20
"Un Pingüino en mi Ascensor","2019-04-17",20
"Un Pingüino en mi Ascensor","2019-04-18",22
"Un Pingüino en mi Ascensor","2019-04-19",31
"Un Pingüino en mi Ascensor","2019-04-20",19
"Un Pingüino en mi Ascensor","2019-04-21",30
"Un Pingüino en mi Ascensor","2019-04-22",19
"Un Pingüino en mi Ascensor","2019-04-23",19
"Un Pingüino en mi Ascensor","2019-04-24",18
"Un Pingüino en mi Ascensor","2019-04-25",22
"Un Pingüino en mi Ascensor","2019-04-26",17
"Un Pingüino en mi Ascensor","2019-04-27",27
"Un Pingüino en mi Ascensor","2019-04-28",17
"Un Pingüino en mi Ascensor","2019-04-29",14
"Un Pingüino en mi Ascensor","2019-04-30",16
"Un Pingüino en mi Ascensor","2019-05-01",15
"Un Pingüino en mi Ascensor","2019-05-02",22
"Un Pingüino en mi Ascensor","2019-05-03",18
"Un Pingüino en mi Ascensor","2019-05-04",26
"Un Pingüino en mi Ascensor","2019-05-05",20
"Un Pingüino en mi Ascensor","2019-05-06",23
"Un Pingüino en mi Ascensor","2019-05-07",23
"Un Pingüino en mi Ascensor","2019-05-08",18
"Un Pingüino en mi Ascensor","2019-05-09",20
"Un Pingüino en mi Ascensor","2019-05-10",24
"Un Pingüino en mi Ascensor","2019-05-11",62
"Un Pingüino en mi Ascensor","2019-05-12",19
"Un Pingüino en mi Ascensor","2019-05-13",22
"Un Pingüino en mi Ascensor","2019-05-14",24
"Un Pingüino en mi Ascensor","2019-05-15",16
"Un Pingüino en mi Ascensor","2019-05-16",29
"Un Pingüino en mi Ascensor","2019-05-17",20
"Un Pingüino en mi Ascensor","2019-05-18",23
"Un Pingüino en mi Ascensor","2019-05-19",16
"Un Pingüino en mi Ascensor","2019-05-20",20
"Un Pingüino en mi Ascensor","2019-05-21",90
"Un Pingüino en mi Ascensor","2019-05-22",32
"Un Pingüino en mi Ascensor","2019-05-23",29
"Un Pingüino en mi Ascensor","2019-05-24",26
"Un Pingüino en mi Ascensor","2019-05-25",22
"Un Pingüino en mi Ascensor","2019-05-26",19
"Un Pingüino en mi Ascensor","2019-05-27",25
"Un Pingüino en mi Ascensor","2019-05-28",27
