"artista","fecha","visitas"
"Viceversa","2019-02-21",17
"Viceversa","2019-02-22",35
"Viceversa","2019-02-23",33
"Viceversa","2019-02-24",20
"Viceversa","2019-02-25",19
"Viceversa","2019-02-26",16
"Viceversa","2019-02-27",17
"Viceversa","2019-02-28",9
"Viceversa","2019-03-01",11
"Viceversa","2019-03-02",18
"Viceversa","2019-03-03",19
"Viceversa","2019-03-04",25
"Viceversa","2019-03-05",14
"Viceversa","2019-03-06",15
"Viceversa","2019-03-07",9
"Viceversa","2019-03-08",16
"Viceversa","2019-03-09",11
"Viceversa","2019-03-10",18
"Viceversa","2019-03-11",19
"Viceversa","2019-03-12",12
"Viceversa","2019-03-13",11
"Viceversa","2019-03-14",8
"Viceversa","2019-03-15",16
"Viceversa","2019-03-16",15
"Viceversa","2019-03-17",10
"Viceversa","2019-03-18",14
"Viceversa","2019-03-19",11
"Viceversa","2019-03-20",10
"Viceversa","2019-03-21",20
"Viceversa","2019-03-22",18
"Viceversa","2019-03-23",14
"Viceversa","2019-03-24",15
"Viceversa","2019-03-25",11
"Viceversa","2019-03-26",10
"Viceversa","2019-03-27",10
"Viceversa","2019-03-28",12
"Viceversa","2019-03-29",18
"Viceversa","2019-03-30",17
"Viceversa","2019-03-31",9
"Viceversa","2019-04-01",14
"Viceversa","2019-04-02",14
"Viceversa","2019-04-03",11
"Viceversa","2019-04-04",18
"Viceversa","2019-04-05",21
"Viceversa","2019-04-06",19
"Viceversa","2019-04-07",10
"Viceversa","2019-04-08",12
"Viceversa","2019-04-09",13
"Viceversa","2019-04-10",10
"Viceversa","2019-04-11",21
"Viceversa","2019-04-12",9
"Viceversa","2019-04-13",17
"Viceversa","2019-04-14",11
"Viceversa","2019-04-15",13
"Viceversa","2019-04-16",8
"Viceversa","2019-04-17",15
"Viceversa","2019-04-18",19
"Viceversa","2019-04-19",16
"Viceversa","2019-04-20",9
"Viceversa","2019-04-21",18
"Viceversa","2019-04-22",13
"Viceversa","2019-04-23",14
"Viceversa","2019-04-24",13
"Viceversa","2019-04-25",3
"Viceversa","2019-04-26",8
"Viceversa","2019-04-27",11
"Viceversa","2019-04-28",4
"Viceversa","2019-04-29",7
"Viceversa","2019-04-30",40
"Viceversa","2019-05-01",13
"Viceversa","2019-05-02",18
"Viceversa","2019-05-03",15
"Viceversa","2019-05-04",12
"Viceversa","2019-05-05",11
"Viceversa","2019-05-06",15
"Viceversa","2019-05-07",13
"Viceversa","2019-05-08",20
"Viceversa","2019-05-09",49
"Viceversa","2019-05-10",16
"Viceversa","2019-05-11",9
"Viceversa","2019-05-12",18
"Viceversa","2019-05-13",10
"Viceversa","2019-05-14",9
"Viceversa","2019-05-15",16
"Viceversa","2019-05-16",11
"Viceversa","2019-05-17",16
"Viceversa","2019-05-18",16
"Viceversa","2019-05-19",10
"Viceversa","2019-05-20",11
"Viceversa","2019-05-21",32
"Viceversa","2019-05-22",18
"Viceversa","2019-05-23",16
"Viceversa","2019-05-24",25
"Viceversa","2019-05-25",12
"Viceversa","2019-05-26",8
"Viceversa","2019-05-27",13
"Viceversa","2019-05-28",18
