"artista","fecha","visitas"
"Álex de la Nuez","2019-02-21",30
"Álex de la Nuez","2019-02-22",34
"Álex de la Nuez","2019-02-23",35
"Álex de la Nuez","2019-02-24",36
"Álex de la Nuez","2019-02-25",21
"Álex de la Nuez","2019-02-26",29
"Álex de la Nuez","2019-02-27",30
"Álex de la Nuez","2019-02-28",52
"Álex de la Nuez","2019-03-01",16
"Álex de la Nuez","2019-03-02",40
"Álex de la Nuez","2019-03-03",36
"Álex de la Nuez","2019-03-04",16
"Álex de la Nuez","2019-03-05",58
"Álex de la Nuez","2019-03-06",14
"Álex de la Nuez","2019-03-07",23
"Álex de la Nuez","2019-03-08",47
"Álex de la Nuez","2019-03-09",37
"Álex de la Nuez","2019-03-10",38
"Álex de la Nuez","2019-03-11",24
"Álex de la Nuez","2019-03-12",43
"Álex de la Nuez","2019-03-13",40
"Álex de la Nuez","2019-03-14",40
"Álex de la Nuez","2019-03-15",41
"Álex de la Nuez","2019-03-16",62
"Álex de la Nuez","2019-03-17",39
"Álex de la Nuez","2019-03-18",40
"Álex de la Nuez","2019-03-19",45
"Álex de la Nuez","2019-03-20",33
"Álex de la Nuez","2019-03-21",34
"Álex de la Nuez","2019-03-22",40
"Álex de la Nuez","2019-03-23",50
"Álex de la Nuez","2019-03-24",38
"Álex de la Nuez","2019-03-25",37
"Álex de la Nuez","2019-03-26",21
"Álex de la Nuez","2019-03-27",28
"Álex de la Nuez","2019-03-28",33
"Álex de la Nuez","2019-03-29",23
"Álex de la Nuez","2019-03-30",29
"Álex de la Nuez","2019-03-31",28
"Álex de la Nuez","2019-04-01",187
"Álex de la Nuez","2019-04-02",96
"Álex de la Nuez","2019-04-03",79
"Álex de la Nuez","2019-04-04",57
"Álex de la Nuez","2019-04-05",40
"Álex de la Nuez","2019-04-06",65
"Álex de la Nuez","2019-04-07",51
"Álex de la Nuez","2019-04-08",45
"Álex de la Nuez","2019-04-09",37
"Álex de la Nuez","2019-04-10",23
"Álex de la Nuez","2019-04-11",47
"Álex de la Nuez","2019-04-12",55
"Álex de la Nuez","2019-04-13",79
"Álex de la Nuez","2019-04-14",46
"Álex de la Nuez","2019-04-15",34
"Álex de la Nuez","2019-04-16",60
"Álex de la Nuez","2019-04-17",39
"Álex de la Nuez","2019-04-18",58
"Álex de la Nuez","2019-04-19",65
"Álex de la Nuez","2019-04-20",79
"Álex de la Nuez","2019-04-21",53
"Álex de la Nuez","2019-04-22",75
"Álex de la Nuez","2019-04-23",33
"Álex de la Nuez","2019-04-24",52
"Álex de la Nuez","2019-04-25",446
"Álex de la Nuez","2019-04-26",139
"Álex de la Nuez","2019-04-27",161
"Álex de la Nuez","2019-04-28",255
"Álex de la Nuez","2019-04-29",75
"Álex de la Nuez","2019-04-30",32
"Álex de la Nuez","2019-05-01",80
"Álex de la Nuez","2019-05-02",42
"Álex de la Nuez","2019-05-03",47
"Álex de la Nuez","2019-05-04",72
"Álex de la Nuez","2019-05-05",107
"Álex de la Nuez","2019-05-06",71
"Álex de la Nuez","2019-05-07",59
"Álex de la Nuez","2019-05-08",170
"Álex de la Nuez","2019-05-09",117
"Álex de la Nuez","2019-05-10",129
"Álex de la Nuez","2019-05-11",241
"Álex de la Nuez","2019-05-12",109
"Álex de la Nuez","2019-05-13",45
"Álex de la Nuez","2019-05-14",44
"Álex de la Nuez","2019-05-15",65
"Álex de la Nuez","2019-05-16",100
"Álex de la Nuez","2019-05-17",48
"Álex de la Nuez","2019-05-18",46
"Álex de la Nuez","2019-05-19",110
"Álex de la Nuez","2019-05-20",32
"Álex de la Nuez","2019-05-21",264
"Álex de la Nuez","2019-05-22",55
"Álex de la Nuez","2019-05-23",47
"Álex de la Nuez","2019-05-24",42
"Álex de la Nuez","2019-05-25",26
"Álex de la Nuez","2019-05-26",20
"Álex de la Nuez","2019-05-27",54
"Álex de la Nuez","2019-05-28",46
