"artista","fecha","visitas"
"All Saints","2019-02-28",19
"All Saints","2019-03-01",20
"All Saints","2019-03-02",16
"All Saints","2019-03-03",35
"All Saints","2019-03-04",274
"All Saints","2019-03-05",184
"All Saints","2019-03-06",107
"All Saints","2019-03-07",48
"All Saints","2019-03-08",38
"All Saints","2019-03-09",31
"All Saints","2019-03-10",20
"All Saints","2019-03-11",36
"All Saints","2019-03-12",37
"All Saints","2019-03-13",34
"All Saints","2019-03-14",25
"All Saints","2019-03-15",28
"All Saints","2019-03-16",43
"All Saints","2019-03-17",42
"All Saints","2019-03-18",27
"All Saints","2019-03-19",28
"All Saints","2019-03-20",35
"All Saints","2019-03-21",37
"All Saints","2019-03-22",28
"All Saints","2019-03-23",30
"All Saints","2019-03-24",52
"All Saints","2019-03-25",29
"All Saints","2019-03-26",30
"All Saints","2019-03-27",21
"All Saints","2019-03-28",29
"All Saints","2019-03-29",29
"All Saints","2019-03-30",41
"All Saints","2019-03-31",36
"All Saints","2019-04-01",24
"All Saints","2019-04-02",13
"All Saints","2019-04-03",22
"All Saints","2019-04-04",18
"All Saints","2019-04-05",20
"All Saints","2019-04-06",26
"All Saints","2019-04-07",23
"All Saints","2019-04-08",20
"All Saints","2019-04-09",16
"All Saints","2019-04-10",20
"All Saints","2019-04-11",15
"All Saints","2019-04-12",19
"All Saints","2019-04-13",17
"All Saints","2019-04-14",25
"All Saints","2019-04-15",21
"All Saints","2019-04-16",16
"All Saints","2019-04-17",25
"All Saints","2019-04-18",19
"All Saints","2019-04-19",18
"All Saints","2019-04-20",17
"All Saints","2019-04-21",22
"All Saints","2019-04-22",23
"All Saints","2019-04-23",19
"All Saints","2019-04-24",15
"All Saints","2019-04-25",10
"All Saints","2019-04-26",20
"All Saints","2019-04-27",16
"All Saints","2019-04-28",26
"All Saints","2019-04-29",23
"All Saints","2019-04-30",24
"All Saints","2019-05-01",29
"All Saints","2019-05-02",22
"All Saints","2019-05-03",17
"All Saints","2019-05-04",28
"All Saints","2019-05-05",28
"All Saints","2019-05-06",26
"All Saints","2019-05-07",21
"All Saints","2019-05-08",17
"All Saints","2019-05-09",15
"All Saints","2019-05-10",23
"All Saints","2019-05-11",16
"All Saints","2019-05-12",20
"All Saints","2019-05-13",27
"All Saints","2019-05-14",27
"All Saints","2019-05-15",23
"All Saints","2019-05-16",24
"All Saints","2019-05-17",15
"All Saints","2019-05-18",26
"All Saints","2019-05-19",23
"All Saints","2019-05-20",17
"All Saints","2019-05-21",23
"All Saints","2019-05-22",20
"All Saints","2019-05-23",19
"All Saints","2019-05-24",23
"All Saints","2019-05-25",27
"All Saints","2019-05-26",28
"All Saints","2019-05-27",23
"All Saints","2019-05-28",160
"All Saints","2019-05-29",36
"All Saints","2019-05-30",21
"All Saints","2019-05-31",16
"All Saints","2019-06-01",37
"All Saints","2019-06-02",29
"All Saints","2019-06-03",29
"All Saints","2019-06-04",22
