"artista","fecha","visitas"
"Barbara","2019-02-28",38
"Barbara","2019-03-01",18
"Barbara","2019-03-02",31
"Barbara","2019-03-03",41
"Barbara","2019-03-04",25
"Barbara","2019-03-05",38
"Barbara","2019-03-06",37
"Barbara","2019-03-07",47
"Barbara","2019-03-08",42
"Barbara","2019-03-09",42
"Barbara","2019-03-10",51
"Barbara","2019-03-11",44
"Barbara","2019-03-12",44
"Barbara","2019-03-13",26
"Barbara","2019-03-14",39
"Barbara","2019-03-15",38
"Barbara","2019-03-16",46
"Barbara","2019-03-17",67
"Barbara","2019-03-18",55
"Barbara","2019-03-19",47
"Barbara","2019-03-20",41
"Barbara","2019-03-21",44
"Barbara","2019-03-22",37
"Barbara","2019-03-23",38
"Barbara","2019-03-24",32
"Barbara","2019-03-25",40
"Barbara","2019-03-26",50
"Barbara","2019-03-27",36
"Barbara","2019-03-28",33
"Barbara","2019-03-29",27
"Barbara","2019-03-30",27
"Barbara","2019-03-31",42
"Barbara","2019-04-01",31
"Barbara","2019-04-02",41
"Barbara","2019-04-03",41
"Barbara","2019-04-04",36
"Barbara","2019-04-05",24
"Barbara","2019-04-06",22
"Barbara","2019-04-07",33
"Barbara","2019-04-08",36
"Barbara","2019-04-09",24
"Barbara","2019-04-10",44
"Barbara","2019-04-11",35
"Barbara","2019-04-12",26
"Barbara","2019-04-13",39
"Barbara","2019-04-14",34
"Barbara","2019-04-15",27
"Barbara","2019-04-16",35
"Barbara","2019-04-17",34
"Barbara","2019-04-18",33
"Barbara","2019-04-19",36
"Barbara","2019-04-20",31
"Barbara","2019-04-21",34
"Barbara","2019-04-22",41
"Barbara","2019-04-23",39
"Barbara","2019-04-24",41
"Barbara","2019-04-25",39
"Barbara","2019-04-26",35
"Barbara","2019-04-27",25
"Barbara","2019-04-28",27
"Barbara","2019-04-29",33
"Barbara","2019-04-30",37
"Barbara","2019-05-01",37
"Barbara","2019-05-02",42
"Barbara","2019-05-03",35
"Barbara","2019-05-04",36
"Barbara","2019-05-05",28
"Barbara","2019-05-06",30
"Barbara","2019-05-07",26
"Barbara","2019-05-08",38
"Barbara","2019-05-09",26
"Barbara","2019-05-10",41
"Barbara","2019-05-11",31
"Barbara","2019-05-12",31
"Barbara","2019-05-13",31
"Barbara","2019-05-14",25
"Barbara","2019-05-15",28
"Barbara","2019-05-16",34
"Barbara","2019-05-17",30
"Barbara","2019-05-18",29
"Barbara","2019-05-19",40
"Barbara","2019-05-20",33
"Barbara","2019-05-21",26
"Barbara","2019-05-22",25
"Barbara","2019-05-23",37
"Barbara","2019-05-24",37
"Barbara","2019-05-25",22
"Barbara","2019-05-26",24
"Barbara","2019-05-27",30
"Barbara","2019-05-28",45
"Barbara","2019-05-29",32
"Barbara","2019-05-30",29
"Barbara","2019-05-31",40
"Barbara","2019-06-01",24
"Barbara","2019-06-02",32
"Barbara","2019-06-03",30
"Barbara","2019-06-04",25
