"artista","fecha","visitas"
"Blondie","2019-02-28",316
"Blondie","2019-03-01",327
"Blondie","2019-03-02",298
"Blondie","2019-03-03",340
"Blondie","2019-03-04",362
"Blondie","2019-03-05",309
"Blondie","2019-03-06",341
"Blondie","2019-03-07",328
"Blondie","2019-03-08",405
"Blondie","2019-03-09",360
"Blondie","2019-03-10",375
"Blondie","2019-03-11",336
"Blondie","2019-03-12",309
"Blondie","2019-03-13",314
"Blondie","2019-03-14",346
"Blondie","2019-03-15",578
"Blondie","2019-03-16",530
"Blondie","2019-03-17",435
"Blondie","2019-03-18",421
"Blondie","2019-03-19",430
"Blondie","2019-03-20",363
"Blondie","2019-03-21",315
"Blondie","2019-03-22",313
"Blondie","2019-03-23",298
"Blondie","2019-03-24",342
"Blondie","2019-03-25",289
"Blondie","2019-03-26",314
"Blondie","2019-03-27",358
"Blondie","2019-03-28",307
"Blondie","2019-03-29",268
"Blondie","2019-03-30",339
"Blondie","2019-03-31",307
"Blondie","2019-04-01",284
"Blondie","2019-04-02",271
"Blondie","2019-04-03",305
"Blondie","2019-04-04",286
"Blondie","2019-04-05",300
"Blondie","2019-04-06",289
"Blondie","2019-04-07",305
"Blondie","2019-04-08",310
"Blondie","2019-04-09",269
"Blondie","2019-04-10",313
"Blondie","2019-04-11",242
"Blondie","2019-04-12",313
"Blondie","2019-04-13",266
"Blondie","2019-04-14",255
"Blondie","2019-04-15",272
"Blondie","2019-04-16",252
"Blondie","2019-04-17",260
"Blondie","2019-04-18",251
"Blondie","2019-04-19",291
"Blondie","2019-04-20",288
"Blondie","2019-04-21",383
"Blondie","2019-04-22",296
"Blondie","2019-04-23",247
"Blondie","2019-04-24",269
"Blondie","2019-04-25",277
"Blondie","2019-04-26",301
"Blondie","2019-04-27",254
"Blondie","2019-04-28",306
"Blondie","2019-04-29",271
"Blondie","2019-04-30",258
"Blondie","2019-05-01",275
"Blondie","2019-05-02",242
"Blondie","2019-05-03",246
"Blondie","2019-05-04",250
"Blondie","2019-05-05",355
"Blondie","2019-05-06",276
"Blondie","2019-05-07",210
"Blondie","2019-05-08",231
"Blondie","2019-05-09",259
"Blondie","2019-05-10",260
"Blondie","2019-05-11",265
"Blondie","2019-05-12",300
"Blondie","2019-05-13",298
"Blondie","2019-05-14",251
"Blondie","2019-05-15",274
"Blondie","2019-05-16",277
"Blondie","2019-05-17",271
"Blondie","2019-05-18",331
"Blondie","2019-05-19",339
"Blondie","2019-05-20",246
"Blondie","2019-05-21",246
"Blondie","2019-05-22",258
"Blondie","2019-05-23",267
"Blondie","2019-05-24",276
"Blondie","2019-05-25",282
"Blondie","2019-05-26",360
"Blondie","2019-05-27",260
"Blondie","2019-05-28",374
"Blondie","2019-05-29",270
"Blondie","2019-05-30",274
"Blondie","2019-05-31",279
"Blondie","2019-06-01",248
"Blondie","2019-06-02",472
"Blondie","2019-06-03",281
"Blondie","2019-06-04",277
