"artista","fecha","visitas"
"Celia Cruz","2019-02-28",939
"Celia Cruz","2019-03-01",1249
"Celia Cruz","2019-03-02",960
"Celia Cruz","2019-03-03",1020
"Celia Cruz","2019-03-04",924
"Celia Cruz","2019-03-05",1121
"Celia Cruz","2019-03-06",1133
"Celia Cruz","2019-03-07",1062
"Celia Cruz","2019-03-08",990
"Celia Cruz","2019-03-09",900
"Celia Cruz","2019-03-10",1191
"Celia Cruz","2019-03-11",948
"Celia Cruz","2019-03-12",981
"Celia Cruz","2019-03-13",968
"Celia Cruz","2019-03-14",940
"Celia Cruz","2019-03-15",812
"Celia Cruz","2019-03-16",818
"Celia Cruz","2019-03-17",877
"Celia Cruz","2019-03-18",816
"Celia Cruz","2019-03-19",795
"Celia Cruz","2019-03-20",852
"Celia Cruz","2019-03-21",815
"Celia Cruz","2019-03-22",762
"Celia Cruz","2019-03-23",745
"Celia Cruz","2019-03-24",1042
"Celia Cruz","2019-03-25",1039
"Celia Cruz","2019-03-26",838
"Celia Cruz","2019-03-27",865
"Celia Cruz","2019-03-28",885
"Celia Cruz","2019-03-29",813
"Celia Cruz","2019-03-30",754
"Celia Cruz","2019-03-31",884
"Celia Cruz","2019-04-01",887
"Celia Cruz","2019-04-02",923
"Celia Cruz","2019-04-03",824
"Celia Cruz","2019-04-04",869
"Celia Cruz","2019-04-05",834
"Celia Cruz","2019-04-06",753
"Celia Cruz","2019-04-07",908
"Celia Cruz","2019-04-08",980
"Celia Cruz","2019-04-09",869
"Celia Cruz","2019-04-10",851
"Celia Cruz","2019-04-11",836
"Celia Cruz","2019-04-12",1264
"Celia Cruz","2019-04-13",793
"Celia Cruz","2019-04-14",829
"Celia Cruz","2019-04-15",760
"Celia Cruz","2019-04-16",609
"Celia Cruz","2019-04-17",670
"Celia Cruz","2019-04-18",709
"Celia Cruz","2019-04-19",791
"Celia Cruz","2019-04-20",726
"Celia Cruz","2019-04-21",909
"Celia Cruz","2019-04-22",735
"Celia Cruz","2019-04-23",626
"Celia Cruz","2019-04-24",664
"Celia Cruz","2019-04-25",720
"Celia Cruz","2019-04-26",750
"Celia Cruz","2019-04-27",792
"Celia Cruz","2019-04-28",730
"Celia Cruz","2019-04-29",693
"Celia Cruz","2019-04-30",671
"Celia Cruz","2019-05-01",934
"Celia Cruz","2019-05-02",745
"Celia Cruz","2019-05-03",801
"Celia Cruz","2019-05-04",761
"Celia Cruz","2019-05-05",822
"Celia Cruz","2019-05-06",656
"Celia Cruz","2019-05-07",623
"Celia Cruz","2019-05-08",696
"Celia Cruz","2019-05-09",627
"Celia Cruz","2019-05-10",558
"Celia Cruz","2019-05-11",715
"Celia Cruz","2019-05-12",879
"Celia Cruz","2019-05-13",636
"Celia Cruz","2019-05-14",660
"Celia Cruz","2019-05-15",614
"Celia Cruz","2019-05-16",629
"Celia Cruz","2019-05-17",628
"Celia Cruz","2019-05-18",883
"Celia Cruz","2019-05-19",816
"Celia Cruz","2019-05-20",656
"Celia Cruz","2019-05-21",690
"Celia Cruz","2019-05-22",669
"Celia Cruz","2019-05-23",571
"Celia Cruz","2019-05-24",628
"Celia Cruz","2019-05-25",715
"Celia Cruz","2019-05-26",1008
"Celia Cruz","2019-05-27",743
"Celia Cruz","2019-05-28",781
"Celia Cruz","2019-05-29",716
"Celia Cruz","2019-05-30",670
"Celia Cruz","2019-05-31",596
"Celia Cruz","2019-06-01",632
"Celia Cruz","2019-06-02",797
"Celia Cruz","2019-06-03",697
"Celia Cruz","2019-06-04",595
