"artista","fecha","visitas"
"Garbage","2019-02-28",74
"Garbage","2019-03-01",112
"Garbage","2019-03-02",110
"Garbage","2019-03-03",100
"Garbage","2019-03-04",106
"Garbage","2019-03-05",114
"Garbage","2019-03-06",122
"Garbage","2019-03-07",126
"Garbage","2019-03-08",174
"Garbage","2019-03-09",168
"Garbage","2019-03-10",187
"Garbage","2019-03-11",191
"Garbage","2019-03-12",177
"Garbage","2019-03-13",171
"Garbage","2019-03-14",179
"Garbage","2019-03-15",167
"Garbage","2019-03-16",146
"Garbage","2019-03-17",182
"Garbage","2019-03-18",166
"Garbage","2019-03-19",174
"Garbage","2019-03-20",184
"Garbage","2019-03-21",169
"Garbage","2019-03-22",146
"Garbage","2019-03-23",167
"Garbage","2019-03-24",173
"Garbage","2019-03-25",144
"Garbage","2019-03-26",144
"Garbage","2019-03-27",157
"Garbage","2019-03-28",184
"Garbage","2019-03-29",174
"Garbage","2019-03-30",138
"Garbage","2019-03-31",123
"Garbage","2019-04-01",147
"Garbage","2019-04-02",125
"Garbage","2019-04-03",150
"Garbage","2019-04-04",145
"Garbage","2019-04-05",132
"Garbage","2019-04-06",131
"Garbage","2019-04-07",125
"Garbage","2019-04-08",121
"Garbage","2019-04-09",144
"Garbage","2019-04-10",118
"Garbage","2019-04-11",140
"Garbage","2019-04-12",117
"Garbage","2019-04-13",117
"Garbage","2019-04-14",134
"Garbage","2019-04-15",116
"Garbage","2019-04-16",106
"Garbage","2019-04-17",111
"Garbage","2019-04-18",101
"Garbage","2019-04-19",97
"Garbage","2019-04-20",121
"Garbage","2019-04-21",110
"Garbage","2019-04-22",84
"Garbage","2019-04-23",107
"Garbage","2019-04-24",137
"Garbage","2019-04-25",114
"Garbage","2019-04-26",136
"Garbage","2019-04-27",143
"Garbage","2019-04-28",128
"Garbage","2019-04-29",108
"Garbage","2019-04-30",118
"Garbage","2019-05-01",129
"Garbage","2019-05-02",124
"Garbage","2019-05-03",139
"Garbage","2019-05-04",127
"Garbage","2019-05-05",131
"Garbage","2019-05-06",125
"Garbage","2019-05-07",96
"Garbage","2019-05-08",117
"Garbage","2019-05-09",100
"Garbage","2019-05-10",113
"Garbage","2019-05-11",84
"Garbage","2019-05-12",112
"Garbage","2019-05-13",118
"Garbage","2019-05-14",114
"Garbage","2019-05-15",116
"Garbage","2019-05-16",89
"Garbage","2019-05-17",98
"Garbage","2019-05-18",119
"Garbage","2019-05-19",120
"Garbage","2019-05-20",95
"Garbage","2019-05-21",94
"Garbage","2019-05-22",115
"Garbage","2019-05-23",105
"Garbage","2019-05-24",84
"Garbage","2019-05-25",111
"Garbage","2019-05-26",120
"Garbage","2019-05-27",131
"Garbage","2019-05-28",168
"Garbage","2019-05-29",146
"Garbage","2019-05-30",117
"Garbage","2019-05-31",131
"Garbage","2019-06-01",132
"Garbage","2019-06-02",122
"Garbage","2019-06-03",116
"Garbage","2019-06-04",109
