"artista","fecha","visitas"
"Hinds","2019-02-28",55
"Hinds","2019-03-01",43
"Hinds","2019-03-02",46
"Hinds","2019-03-03",40
"Hinds","2019-03-04",50
"Hinds","2019-03-05",55
"Hinds","2019-03-06",51
"Hinds","2019-03-07",85
"Hinds","2019-03-08",63
"Hinds","2019-03-09",45
"Hinds","2019-03-10",44
"Hinds","2019-03-11",53
"Hinds","2019-03-12",39
"Hinds","2019-03-13",52
"Hinds","2019-03-14",53
"Hinds","2019-03-15",54
"Hinds","2019-03-16",45
"Hinds","2019-03-17",45
"Hinds","2019-03-18",41
"Hinds","2019-03-19",52
"Hinds","2019-03-20",32
"Hinds","2019-03-21",64
"Hinds","2019-03-22",39
"Hinds","2019-03-23",53
"Hinds","2019-03-24",51
"Hinds","2019-03-25",43
"Hinds","2019-03-26",60
"Hinds","2019-03-27",48
"Hinds","2019-03-28",51
"Hinds","2019-03-29",44
"Hinds","2019-03-30",45
"Hinds","2019-03-31",57
"Hinds","2019-04-01",63
"Hinds","2019-04-02",74
"Hinds","2019-04-03",61
"Hinds","2019-04-04",110
"Hinds","2019-04-05",100
"Hinds","2019-04-06",80
"Hinds","2019-04-07",113
"Hinds","2019-04-08",96
"Hinds","2019-04-09",56
"Hinds","2019-04-10",63
"Hinds","2019-04-11",45
"Hinds","2019-04-12",40
"Hinds","2019-04-13",46
"Hinds","2019-04-14",44
"Hinds","2019-04-15",44
"Hinds","2019-04-16",71
"Hinds","2019-04-17",80
"Hinds","2019-04-18",56
"Hinds","2019-04-19",55
"Hinds","2019-04-20",42
"Hinds","2019-04-21",55
"Hinds","2019-04-22",46
"Hinds","2019-04-23",54
"Hinds","2019-04-24",44
"Hinds","2019-04-25",43
"Hinds","2019-04-26",72
"Hinds","2019-04-27",45
"Hinds","2019-04-28",36
"Hinds","2019-04-29",44
"Hinds","2019-04-30",54
"Hinds","2019-05-01",42
"Hinds","2019-05-02",42
"Hinds","2019-05-03",37
"Hinds","2019-05-04",32
"Hinds","2019-05-05",59
"Hinds","2019-05-06",51
"Hinds","2019-05-07",35
"Hinds","2019-05-08",22
"Hinds","2019-05-09",55
"Hinds","2019-05-10",44
"Hinds","2019-05-11",37
"Hinds","2019-05-12",44
"Hinds","2019-05-13",37
"Hinds","2019-05-14",42
"Hinds","2019-05-15",30
"Hinds","2019-05-16",80
"Hinds","2019-05-17",123
"Hinds","2019-05-18",68
"Hinds","2019-05-19",79
"Hinds","2019-05-20",69
"Hinds","2019-05-21",42
"Hinds","2019-05-22",47
"Hinds","2019-05-23",96
"Hinds","2019-05-24",45
"Hinds","2019-05-25",83
"Hinds","2019-05-26",65
"Hinds","2019-05-27",58
"Hinds","2019-05-28",193
"Hinds","2019-05-29",98
"Hinds","2019-05-30",67
"Hinds","2019-05-31",75
"Hinds","2019-06-01",50
"Hinds","2019-06-02",50
"Hinds","2019-06-03",55
"Hinds","2019-06-04",62
