"artista","fecha","visitas"
"Kate Bush","2019-02-28",72
"Kate Bush","2019-03-01",91
"Kate Bush","2019-03-02",77
"Kate Bush","2019-03-03",78
"Kate Bush","2019-03-04",86
"Kate Bush","2019-03-05",95
"Kate Bush","2019-03-06",85
"Kate Bush","2019-03-07",100
"Kate Bush","2019-03-08",119
"Kate Bush","2019-03-09",114
"Kate Bush","2019-03-10",89
"Kate Bush","2019-03-11",73
"Kate Bush","2019-03-12",84
"Kate Bush","2019-03-13",78
"Kate Bush","2019-03-14",80
"Kate Bush","2019-03-15",71
"Kate Bush","2019-03-16",81
"Kate Bush","2019-03-17",82
"Kate Bush","2019-03-18",83
"Kate Bush","2019-03-19",84
"Kate Bush","2019-03-20",76
"Kate Bush","2019-03-21",76
"Kate Bush","2019-03-22",83
"Kate Bush","2019-03-23",76
"Kate Bush","2019-03-24",107
"Kate Bush","2019-03-25",87
"Kate Bush","2019-03-26",93
"Kate Bush","2019-03-27",101
"Kate Bush","2019-03-28",83
"Kate Bush","2019-03-29",59
"Kate Bush","2019-03-30",73
"Kate Bush","2019-03-31",89
"Kate Bush","2019-04-01",73
"Kate Bush","2019-04-02",81
"Kate Bush","2019-04-03",80
"Kate Bush","2019-04-04",71
"Kate Bush","2019-04-05",93
"Kate Bush","2019-04-06",85
"Kate Bush","2019-04-07",86
"Kate Bush","2019-04-08",76
"Kate Bush","2019-04-09",64
"Kate Bush","2019-04-10",82
"Kate Bush","2019-04-11",70
"Kate Bush","2019-04-12",65
"Kate Bush","2019-04-13",79
"Kate Bush","2019-04-14",72
"Kate Bush","2019-04-15",86
"Kate Bush","2019-04-16",77
"Kate Bush","2019-04-17",47
"Kate Bush","2019-04-18",73
"Kate Bush","2019-04-19",85
"Kate Bush","2019-04-20",74
"Kate Bush","2019-04-21",78
"Kate Bush","2019-04-22",96
"Kate Bush","2019-04-23",103
"Kate Bush","2019-04-24",63
"Kate Bush","2019-04-25",72
"Kate Bush","2019-04-26",79
"Kate Bush","2019-04-27",74
"Kate Bush","2019-04-28",73
"Kate Bush","2019-04-29",76
"Kate Bush","2019-04-30",87
"Kate Bush","2019-05-01",80
"Kate Bush","2019-05-02",79
"Kate Bush","2019-05-03",69
"Kate Bush","2019-05-04",77
"Kate Bush","2019-05-05",85
"Kate Bush","2019-05-06",85
"Kate Bush","2019-05-07",60
"Kate Bush","2019-05-08",72
"Kate Bush","2019-05-09",73
"Kate Bush","2019-05-10",78
"Kate Bush","2019-05-11",67
"Kate Bush","2019-05-12",73
"Kate Bush","2019-05-13",87
"Kate Bush","2019-05-14",87
"Kate Bush","2019-05-15",68
"Kate Bush","2019-05-16",63
"Kate Bush","2019-05-17",70
"Kate Bush","2019-05-18",92
"Kate Bush","2019-05-19",104
"Kate Bush","2019-05-20",69
"Kate Bush","2019-05-21",63
"Kate Bush","2019-05-22",73
"Kate Bush","2019-05-23",57
"Kate Bush","2019-05-24",62
"Kate Bush","2019-05-25",60
"Kate Bush","2019-05-26",76
"Kate Bush","2019-05-27",70
"Kate Bush","2019-05-28",94
"Kate Bush","2019-05-29",84
"Kate Bush","2019-05-30",79
"Kate Bush","2019-05-31",89
"Kate Bush","2019-06-01",70
"Kate Bush","2019-06-02",75
"Kate Bush","2019-06-03",58
"Kate Bush","2019-06-04",73
