"artista","fecha","visitas"
"Las Migas","2019-02-28",23
"Las Migas","2019-03-01",15
"Las Migas","2019-03-02",120
"Las Migas","2019-03-03",60
"Las Migas","2019-03-04",42
"Las Migas","2019-03-05",28
"Las Migas","2019-03-06",22
"Las Migas","2019-03-07",28
"Las Migas","2019-03-08",33
"Las Migas","2019-03-09",37
"Las Migas","2019-03-10",35
"Las Migas","2019-03-11",38
"Las Migas","2019-03-12",27
"Las Migas","2019-03-13",17
"Las Migas","2019-03-14",34
"Las Migas","2019-03-15",35
"Las Migas","2019-03-16",47
"Las Migas","2019-03-17",39
"Las Migas","2019-03-18",38
"Las Migas","2019-03-19",34
"Las Migas","2019-03-20",36
"Las Migas","2019-03-21",38
"Las Migas","2019-03-22",27
"Las Migas","2019-03-23",26
"Las Migas","2019-03-24",51
"Las Migas","2019-03-25",33
"Las Migas","2019-03-26",37
"Las Migas","2019-03-27",66
"Las Migas","2019-03-28",56
"Las Migas","2019-03-29",60
"Las Migas","2019-03-30",44
"Las Migas","2019-03-31",42
"Las Migas","2019-04-01",62
"Las Migas","2019-04-02",71
"Las Migas","2019-04-03",75
"Las Migas","2019-04-04",61
"Las Migas","2019-04-05",66
"Las Migas","2019-04-06",70
"Las Migas","2019-04-07",82
"Las Migas","2019-04-08",43
"Las Migas","2019-04-09",387
"Las Migas","2019-04-10",36
"Las Migas","2019-04-11",24
"Las Migas","2019-04-12",23
"Las Migas","2019-04-13",30
"Las Migas","2019-04-14",25
"Las Migas","2019-04-15",17
"Las Migas","2019-04-16",32
"Las Migas","2019-04-17",29
"Las Migas","2019-04-18",27
"Las Migas","2019-04-19",43
"Las Migas","2019-04-20",37
"Las Migas","2019-04-21",25
"Las Migas","2019-04-22",32
"Las Migas","2019-04-23",117
"Las Migas","2019-04-24",82
"Las Migas","2019-04-25",208
"Las Migas","2019-04-26",88
"Las Migas","2019-04-27",112
"Las Migas","2019-04-28",56
"Las Migas","2019-04-29",81
"Las Migas","2019-04-30",93
"Las Migas","2019-05-01",29
"Las Migas","2019-05-02",36
"Las Migas","2019-05-03",44
"Las Migas","2019-05-04",38
"Las Migas","2019-05-05",50
"Las Migas","2019-05-06",39
"Las Migas","2019-05-07",33
"Las Migas","2019-05-08",47
"Las Migas","2019-05-09",29
"Las Migas","2019-05-10",26
"Las Migas","2019-05-11",29
"Las Migas","2019-05-12",36
"Las Migas","2019-05-13",45
"Las Migas","2019-05-14",32
"Las Migas","2019-05-15",54
"Las Migas","2019-05-16",35
"Las Migas","2019-05-17",36
"Las Migas","2019-05-18",42
"Las Migas","2019-05-19",39
"Las Migas","2019-05-20",30
"Las Migas","2019-05-21",37
"Las Migas","2019-05-22",29
"Las Migas","2019-05-23",96
"Las Migas","2019-05-24",43
"Las Migas","2019-05-25",52
"Las Migas","2019-05-26",44
"Las Migas","2019-05-27",30
"Las Migas","2019-05-28",451
"Las Migas","2019-05-29",82
"Las Migas","2019-05-30",55
"Las Migas","2019-05-31",54
"Las Migas","2019-06-01",33
"Las Migas","2019-06-02",40
"Las Migas","2019-06-03",36
"Las Migas","2019-06-04",42
