"artista","fecha","visitas"
"Los Romeos","2019-02-28",6
"Los Romeos","2019-03-01",7
"Los Romeos","2019-03-02",9
"Los Romeos","2019-03-03",12
"Los Romeos","2019-03-04",8
"Los Romeos","2019-03-05",5
"Los Romeos","2019-03-06",7
"Los Romeos","2019-03-07",10
"Los Romeos","2019-03-08",9
"Los Romeos","2019-03-09",7
"Los Romeos","2019-03-10",9
"Los Romeos","2019-03-11",9
"Los Romeos","2019-03-12",10
"Los Romeos","2019-03-13",13
"Los Romeos","2019-03-14",9
"Los Romeos","2019-03-15",14
"Los Romeos","2019-03-16",14
"Los Romeos","2019-03-17",12
"Los Romeos","2019-03-18",7
"Los Romeos","2019-03-19",10
"Los Romeos","2019-03-20",7
"Los Romeos","2019-03-21",13
"Los Romeos","2019-03-22",10
"Los Romeos","2019-03-23",3
"Los Romeos","2019-03-24",11
"Los Romeos","2019-03-25",6
"Los Romeos","2019-03-26",2
"Los Romeos","2019-03-27",7
"Los Romeos","2019-03-28",10
"Los Romeos","2019-03-29",3
"Los Romeos","2019-03-30",12
"Los Romeos","2019-03-31",9
"Los Romeos","2019-04-01",12
"Los Romeos","2019-04-02",4
"Los Romeos","2019-04-03",6
"Los Romeos","2019-04-04",16
"Los Romeos","2019-04-05",13
"Los Romeos","2019-04-06",15
"Los Romeos","2019-04-07",8
"Los Romeos","2019-04-08",5
"Los Romeos","2019-04-09",7
"Los Romeos","2019-04-10",11
"Los Romeos","2019-04-11",9
"Los Romeos","2019-04-12",21
"Los Romeos","2019-04-13",6
"Los Romeos","2019-04-14",6
"Los Romeos","2019-04-15",5
"Los Romeos","2019-04-16",14
"Los Romeos","2019-04-17",7
"Los Romeos","2019-04-18",9
"Los Romeos","2019-04-19",10
"Los Romeos","2019-04-20",13
"Los Romeos","2019-04-21",13
"Los Romeos","2019-04-22",17
"Los Romeos","2019-04-23",8
"Los Romeos","2019-04-24",4
"Los Romeos","2019-04-25",23
"Los Romeos","2019-04-26",7
"Los Romeos","2019-04-27",23
"Los Romeos","2019-04-28",6
"Los Romeos","2019-04-29",6
"Los Romeos","2019-04-30",7
"Los Romeos","2019-05-01",7
"Los Romeos","2019-05-02",5
"Los Romeos","2019-05-03",12
"Los Romeos","2019-05-04",16
"Los Romeos","2019-05-05",14
"Los Romeos","2019-05-06",17
"Los Romeos","2019-05-07",11
"Los Romeos","2019-05-08",8
"Los Romeos","2019-05-09",15
"Los Romeos","2019-05-10",9
"Los Romeos","2019-05-11",9
"Los Romeos","2019-05-12",8
"Los Romeos","2019-05-13",16
"Los Romeos","2019-05-14",14
"Los Romeos","2019-05-15",6
"Los Romeos","2019-05-16",11
"Los Romeos","2019-05-17",22
"Los Romeos","2019-05-18",16
"Los Romeos","2019-05-19",4
"Los Romeos","2019-05-20",11
"Los Romeos","2019-05-21",223
"Los Romeos","2019-05-22",33
"Los Romeos","2019-05-23",10
"Los Romeos","2019-05-24",17
"Los Romeos","2019-05-25",13
"Los Romeos","2019-05-26",15
"Los Romeos","2019-05-27",6
"Los Romeos","2019-05-28",140
"Los Romeos","2019-05-29",30
"Los Romeos","2019-05-30",24
"Los Romeos","2019-05-31",13
"Los Romeos","2019-06-01",13
"Los Romeos","2019-06-02",15
"Los Romeos","2019-06-03",8
"Los Romeos","2019-06-04",241
