"artista","fecha","visitas"
"Salt-N-Pepa","2019-02-28",21
"Salt-N-Pepa","2019-03-01",22
"Salt-N-Pepa","2019-03-02",17
"Salt-N-Pepa","2019-03-03",13
"Salt-N-Pepa","2019-03-04",22
"Salt-N-Pepa","2019-03-05",21
"Salt-N-Pepa","2019-03-06",14
"Salt-N-Pepa","2019-03-07",11
"Salt-N-Pepa","2019-03-08",21
"Salt-N-Pepa","2019-03-09",23
"Salt-N-Pepa","2019-03-10",28
"Salt-N-Pepa","2019-03-11",14
"Salt-N-Pepa","2019-03-12",19
"Salt-N-Pepa","2019-03-13",23
"Salt-N-Pepa","2019-03-14",16
"Salt-N-Pepa","2019-03-15",25
"Salt-N-Pepa","2019-03-16",16
"Salt-N-Pepa","2019-03-17",19
"Salt-N-Pepa","2019-03-18",21
"Salt-N-Pepa","2019-03-19",23
"Salt-N-Pepa","2019-03-20",35
"Salt-N-Pepa","2019-03-21",23
"Salt-N-Pepa","2019-03-22",28
"Salt-N-Pepa","2019-03-23",12
"Salt-N-Pepa","2019-03-24",34
"Salt-N-Pepa","2019-03-25",18
"Salt-N-Pepa","2019-03-26",15
"Salt-N-Pepa","2019-03-27",23
"Salt-N-Pepa","2019-03-28",22
"Salt-N-Pepa","2019-03-29",19
"Salt-N-Pepa","2019-03-30",23
"Salt-N-Pepa","2019-03-31",12
"Salt-N-Pepa","2019-04-01",20
"Salt-N-Pepa","2019-04-02",20
"Salt-N-Pepa","2019-04-03",21
"Salt-N-Pepa","2019-04-04",17
"Salt-N-Pepa","2019-04-05",18
"Salt-N-Pepa","2019-04-06",30
"Salt-N-Pepa","2019-04-07",16
"Salt-N-Pepa","2019-04-08",24
"Salt-N-Pepa","2019-04-09",17
"Salt-N-Pepa","2019-04-10",13
"Salt-N-Pepa","2019-04-11",11
"Salt-N-Pepa","2019-04-12",24
"Salt-N-Pepa","2019-04-13",16
"Salt-N-Pepa","2019-04-14",21
"Salt-N-Pepa","2019-04-15",18
"Salt-N-Pepa","2019-04-16",26
"Salt-N-Pepa","2019-04-17",17
"Salt-N-Pepa","2019-04-18",24
"Salt-N-Pepa","2019-04-19",8
"Salt-N-Pepa","2019-04-20",9
"Salt-N-Pepa","2019-04-21",26
"Salt-N-Pepa","2019-04-22",11
"Salt-N-Pepa","2019-04-23",14
"Salt-N-Pepa","2019-04-24",22
"Salt-N-Pepa","2019-04-25",18
"Salt-N-Pepa","2019-04-26",10
"Salt-N-Pepa","2019-04-27",25
"Salt-N-Pepa","2019-04-28",30
"Salt-N-Pepa","2019-04-29",16
"Salt-N-Pepa","2019-04-30",24
"Salt-N-Pepa","2019-05-01",21
"Salt-N-Pepa","2019-05-02",24
"Salt-N-Pepa","2019-05-03",22
"Salt-N-Pepa","2019-05-04",24
"Salt-N-Pepa","2019-05-05",22
"Salt-N-Pepa","2019-05-06",21
"Salt-N-Pepa","2019-05-07",18
"Salt-N-Pepa","2019-05-08",20
"Salt-N-Pepa","2019-05-09",22
"Salt-N-Pepa","2019-05-10",28
"Salt-N-Pepa","2019-05-11",21
"Salt-N-Pepa","2019-05-12",15
"Salt-N-Pepa","2019-05-13",26
"Salt-N-Pepa","2019-05-14",21
"Salt-N-Pepa","2019-05-15",23
"Salt-N-Pepa","2019-05-16",21
"Salt-N-Pepa","2019-05-17",21
"Salt-N-Pepa","2019-05-18",29
"Salt-N-Pepa","2019-05-19",31
"Salt-N-Pepa","2019-05-20",12
"Salt-N-Pepa","2019-05-21",18
"Salt-N-Pepa","2019-05-22",16
"Salt-N-Pepa","2019-05-23",21
"Salt-N-Pepa","2019-05-24",23
"Salt-N-Pepa","2019-05-25",14
"Salt-N-Pepa","2019-05-26",27
"Salt-N-Pepa","2019-05-27",31
"Salt-N-Pepa","2019-05-28",31
"Salt-N-Pepa","2019-05-29",25
"Salt-N-Pepa","2019-05-30",16
"Salt-N-Pepa","2019-05-31",10
"Salt-N-Pepa","2019-06-01",20
"Salt-N-Pepa","2019-06-02",28
"Salt-N-Pepa","2019-06-03",30
"Salt-N-Pepa","2019-06-04",29
