"artista","fecha","visitas"
"Teresa Rabal","2019-02-28",64
"Teresa Rabal","2019-03-01",98
"Teresa Rabal","2019-03-02",110
"Teresa Rabal","2019-03-03",112
"Teresa Rabal","2019-03-04",76
"Teresa Rabal","2019-03-05",59
"Teresa Rabal","2019-03-06",76
"Teresa Rabal","2019-03-07",69
"Teresa Rabal","2019-03-08",342
"Teresa Rabal","2019-03-09",115
"Teresa Rabal","2019-03-10",139
"Teresa Rabal","2019-03-11",282
"Teresa Rabal","2019-03-12",207
"Teresa Rabal","2019-03-13",211
"Teresa Rabal","2019-03-14",172
"Teresa Rabal","2019-03-15",105
"Teresa Rabal","2019-03-16",101
"Teresa Rabal","2019-03-17",94
"Teresa Rabal","2019-03-18",100
"Teresa Rabal","2019-03-19",93
"Teresa Rabal","2019-03-20",244
"Teresa Rabal","2019-03-21",73
"Teresa Rabal","2019-03-22",80
"Teresa Rabal","2019-03-23",153
"Teresa Rabal","2019-03-24",96
"Teresa Rabal","2019-03-25",84
"Teresa Rabal","2019-03-26",65
"Teresa Rabal","2019-03-27",177
"Teresa Rabal","2019-03-28",68
"Teresa Rabal","2019-03-29",110
"Teresa Rabal","2019-03-30",169
"Teresa Rabal","2019-03-31",113
"Teresa Rabal","2019-04-01",49
"Teresa Rabal","2019-04-02",69
"Teresa Rabal","2019-04-03",72
"Teresa Rabal","2019-04-04",107
"Teresa Rabal","2019-04-05",104
"Teresa Rabal","2019-04-06",106
"Teresa Rabal","2019-04-07",132
"Teresa Rabal","2019-04-08",66
"Teresa Rabal","2019-04-09",80
"Teresa Rabal","2019-04-10",89
"Teresa Rabal","2019-04-11",67
"Teresa Rabal","2019-04-12",68
"Teresa Rabal","2019-04-13",94
"Teresa Rabal","2019-04-14",67
"Teresa Rabal","2019-04-15",58
"Teresa Rabal","2019-04-16",67
"Teresa Rabal","2019-04-17",72
"Teresa Rabal","2019-04-18",84
"Teresa Rabal","2019-04-19",91
"Teresa Rabal","2019-04-20",87
"Teresa Rabal","2019-04-21",103
"Teresa Rabal","2019-04-22",67
"Teresa Rabal","2019-04-23",61
"Teresa Rabal","2019-04-24",66
"Teresa Rabal","2019-04-25",78
"Teresa Rabal","2019-04-26",100
"Teresa Rabal","2019-04-27",81
"Teresa Rabal","2019-04-28",72
"Teresa Rabal","2019-04-29",56
"Teresa Rabal","2019-04-30",67
"Teresa Rabal","2019-05-01",81
"Teresa Rabal","2019-05-02",65
"Teresa Rabal","2019-05-03",223
"Teresa Rabal","2019-05-04",265
"Teresa Rabal","2019-05-05",304
"Teresa Rabal","2019-05-06",152
"Teresa Rabal","2019-05-07",434
"Teresa Rabal","2019-05-08",155
"Teresa Rabal","2019-05-09",1860
"Teresa Rabal","2019-05-10",389
"Teresa Rabal","2019-05-11",304
"Teresa Rabal","2019-05-12",246
"Teresa Rabal","2019-05-13",108
"Teresa Rabal","2019-05-14",94
"Teresa Rabal","2019-05-15",125
"Teresa Rabal","2019-05-16",110
"Teresa Rabal","2019-05-17",175
"Teresa Rabal","2019-05-18",169
"Teresa Rabal","2019-05-19",207
"Teresa Rabal","2019-05-20",108
"Teresa Rabal","2019-05-21",97
"Teresa Rabal","2019-05-22",110
"Teresa Rabal","2019-05-23",104
"Teresa Rabal","2019-05-24",97
"Teresa Rabal","2019-05-25",143
"Teresa Rabal","2019-05-26",95
"Teresa Rabal","2019-05-27",75
"Teresa Rabal","2019-05-28",373
"Teresa Rabal","2019-05-29",182
"Teresa Rabal","2019-05-30",223
"Teresa Rabal","2019-05-31",124
"Teresa Rabal","2019-06-01",168
"Teresa Rabal","2019-06-02",128
"Teresa Rabal","2019-06-03",76
"Teresa Rabal","2019-06-04",200
