"artista","fecha","visitas"
"The Bangles","2019-02-28",214
"The Bangles","2019-03-01",197
"The Bangles","2019-03-02",201
"The Bangles","2019-03-03",235
"The Bangles","2019-03-04",196
"The Bangles","2019-03-05",164
"The Bangles","2019-03-06",157
"The Bangles","2019-03-07",204
"The Bangles","2019-03-08",235
"The Bangles","2019-03-09",217
"The Bangles","2019-03-10",188
"The Bangles","2019-03-11",220
"The Bangles","2019-03-12",146
"The Bangles","2019-03-13",157
"The Bangles","2019-03-14",194
"The Bangles","2019-03-15",212
"The Bangles","2019-03-16",250
"The Bangles","2019-03-17",227
"The Bangles","2019-03-18",186
"The Bangles","2019-03-19",219
"The Bangles","2019-03-20",254
"The Bangles","2019-03-21",207
"The Bangles","2019-03-22",231
"The Bangles","2019-03-23",308
"The Bangles","2019-03-24",219
"The Bangles","2019-03-25",189
"The Bangles","2019-03-26",174
"The Bangles","2019-03-27",182
"The Bangles","2019-03-28",212
"The Bangles","2019-03-29",279
"The Bangles","2019-03-30",204
"The Bangles","2019-03-31",285
"The Bangles","2019-04-01",291
"The Bangles","2019-04-02",218
"The Bangles","2019-04-03",204
"The Bangles","2019-04-04",184
"The Bangles","2019-04-05",242
"The Bangles","2019-04-06",232
"The Bangles","2019-04-07",214
"The Bangles","2019-04-08",174
"The Bangles","2019-04-09",181
"The Bangles","2019-04-10",167
"The Bangles","2019-04-11",169
"The Bangles","2019-04-12",208
"The Bangles","2019-04-13",206
"The Bangles","2019-04-14",205
"The Bangles","2019-04-15",210
"The Bangles","2019-04-16",199
"The Bangles","2019-04-17",208
"The Bangles","2019-04-18",197
"The Bangles","2019-04-19",313
"The Bangles","2019-04-20",209
"The Bangles","2019-04-21",233
"The Bangles","2019-04-22",226
"The Bangles","2019-04-23",198
"The Bangles","2019-04-24",203
"The Bangles","2019-04-25",303
"The Bangles","2019-04-26",232
"The Bangles","2019-04-27",248
"The Bangles","2019-04-28",335
"The Bangles","2019-04-29",202
"The Bangles","2019-04-30",222
"The Bangles","2019-05-01",260
"The Bangles","2019-05-02",239
"The Bangles","2019-05-03",229
"The Bangles","2019-05-04",232
"The Bangles","2019-05-05",284
"The Bangles","2019-05-06",239
"The Bangles","2019-05-07",188
"The Bangles","2019-05-08",187
"The Bangles","2019-05-09",190
"The Bangles","2019-05-10",220
"The Bangles","2019-05-11",283
"The Bangles","2019-05-12",278
"The Bangles","2019-05-13",407
"The Bangles","2019-05-14",290
"The Bangles","2019-05-15",209
"The Bangles","2019-05-16",237
"The Bangles","2019-05-17",235
"The Bangles","2019-05-18",253
"The Bangles","2019-05-19",257
"The Bangles","2019-05-20",188
"The Bangles","2019-05-21",200
"The Bangles","2019-05-22",233
"The Bangles","2019-05-23",257
"The Bangles","2019-05-24",314
"The Bangles","2019-05-25",307
"The Bangles","2019-05-26",303
"The Bangles","2019-05-27",285
"The Bangles","2019-05-28",591
"The Bangles","2019-05-29",276
"The Bangles","2019-05-30",256
"The Bangles","2019-05-31",244
"The Bangles","2019-06-01",257
"The Bangles","2019-06-02",272
"The Bangles","2019-06-03",237
"The Bangles","2019-06-04",230
